date,open,high,low,close
2026-04-09 09:15:00+05:30,250.0,250.0,165.15,211.5
2026-04-09 09:20:00+05:30,210.7,239.1,205.5,235.5
2026-04-09 09:25:00+05:30,233.35,252.4,232.2,247.2
2026-04-09 09:30:00+05:30,249.45,253.0,203.8,205.4
2026-04-09 09:35:00+05:30,204.45,219.45,198.25,203.65
2026-04-09 09:40:00+05:30,203.65,208.95,188.0,191.15
2026-04-09 09:45:00+05:30,192.25,198.95,172.75,173.1
2026-04-09 09:50:00+05:30,172.05,178.3,169.0,172.8
2026-04-09 09:55:00+05:30,171.7,173.5,160.9,167.5
2026-04-09 10:00:00+05:30,167.5,178.35,158.5,174.6
2026-04-09 10:05:00+05:30,173.3,180.15,171.3,178.8
2026-04-09 10:10:00+05:30,179.5,189.9,179.45,183.65
2026-04-09 10:15:00+05:30,183.6,196.4,178.8,195.75
2026-04-09 10:20:00+05:30,195.0,195.0,186.6,194.6
2026-04-09 10:25:00+05:30,193.75,195.35,177.55,186.6
2026-04-09 10:30:00+05:30,188.6,193.4,183.85,189.5
2026-04-09 10:35:00+05:30,188.4,194.4,178.7,180.85
2026-04-09 10:40:00+05:30,180.55,182.0,169.0,171.0
2026-04-09 10:45:00+05:30,171.1,177.7,171.1,176.45
2026-04-09 10:50:00+05:30,176.2,177.7,171.3,175.4
2026-04-09 10:55:00+05:30,176.5,182.7,174.0,175.6
2026-04-09 11:00:00+05:30,175.8,189.25,175.8,181.65
2026-04-09 11:05:00+05:30,182.25,188.9,172.85,185.9
2026-04-09 11:10:00+05:30,186.4,190.85,180.7,183.05
2026-04-09 11:15:00+05:30,184.3,186.55,171.35,174.75
2026-04-09 11:20:00+05:30,175.0,181.25,168.85,176.75
2026-04-09 11:25:00+05:30,177.0,186.15,176.75,184.05
2026-04-09 11:30:00+05:30,184.95,193.5,181.0,184.6
2026-04-09 11:35:00+05:30,185.15,188.25,182.05,184.5
2026-04-09 11:40:00+05:30,184.45,191.9,181.15,190.55
2026-04-09 11:45:00+05:30,189.9,199.85,183.9,199.8
2026-04-09 11:50:00+05:30,199.95,203.95,192.1,198.0
2026-04-09 11:55:00+05:30,198.0,207.95,192.45,199.8
2026-04-09 12:00:00+05:30,199.55,205.3,192.35,194.0
2026-04-09 12:05:00+05:30,193.3,203.75,186.1,202.95
2026-04-09 12:10:00+05:30,202.75,206.9,193.55,196.05
2026-04-09 12:15:00+05:30,196.15,198.0,191.3,193.5
2026-04-09 12:20:00+05:30,193.25,196.7,187.85,190.15
2026-04-09 12:25:00+05:30,190.75,197.0,183.8,194.1
2026-04-09 12:30:00+05:30,194.95,197.15,185.7,186.8
2026-04-09 12:35:00+05:30,187.15,189.9,176.2,181.8
2026-04-09 12:40:00+05:30,181.75,186.65,177.0,180.55
2026-04-09 12:45:00+05:30,179.8,179.8,161.1,162.6
2026-04-09 12:50:00+05:30,163.0,170.55,159.1,168.5
2026-04-09 12:55:00+05:30,169.4,171.7,166.5,168.7
2026-04-09 13:00:00+05:30,168.95,171.7,167.0,170.65
2026-04-09 13:05:00+05:30,170.0,172.6,166.15,168.7
2026-04-09 13:10:00+05:30,168.5,168.8,160.25,164.45
2026-04-09 13:15:00+05:30,163.95,164.0,158.15,159.45
2026-04-09 13:20:00+05:30,159.15,159.8,146.9,153.15
2026-04-09 13:25:00+05:30,153.15,154.4,147.35,148.3
