date,open,high,low,close
2026-03-30 09:15:00+05:30,590.05,679.25,557.25,649.5
2026-03-30 09:20:00+05:30,648.3,662.75,626.65,642.45
2026-03-30 09:25:00+05:30,642.7,652.75,600.2,611.15
2026-03-30 09:30:00+05:30,607.35,607.35,546.8,547.3
2026-03-30 09:35:00+05:30,548.9,558.3,522.0,544.65
2026-03-30 09:40:00+05:30,545.6,556.55,529.9,551.95
2026-03-30 09:45:00+05:30,555.25,569.85,535.0,568.0
2026-03-30 09:50:00+05:30,569.5,575.0,549.6,574.35
2026-03-30 09:55:00+05:30,574.35,587.75,564.95,575.65
2026-03-30 10:00:00+05:30,575.65,583.0,549.65,563.05
2026-03-30 10:05:00+05:30,563.05,593.75,563.05,588.55
2026-03-30 10:10:00+05:30,590.05,609.0,583.75,583.75
2026-03-30 10:15:00+05:30,583.75,609.0,573.35,606.8
2026-03-30 10:20:00+05:30,606.8,621.0,601.2,614.5
2026-03-30 10:25:00+05:30,614.5,618.2,602.3,617.7
2026-03-30 10:30:00+05:30,620.75,623.7,616.0,617.6
2026-03-30 10:35:00+05:30,617.15,624.05,606.5,610.1
2026-03-30 10:40:00+05:30,614.3,629.0,605.75,627.3
2026-03-30 10:45:00+05:30,627.5,632.0,612.35,616.4
2026-03-30 10:50:00+05:30,616.4,639.95,614.3,636.35
2026-03-30 10:55:00+05:30,636.35,645.25,621.3,634.0
2026-03-30 11:00:00+05:30,634.0,641.9,625.85,626.0
2026-03-30 11:05:00+05:30,626.0,644.4,624.9,644.4
2026-03-30 11:10:00+05:30,650.0,660.9,644.7,648.6
2026-03-30 11:15:00+05:30,648.6,652.65,638.15,640.85
2026-03-30 11:20:00+05:30,641.95,649.0,637.55,642.8
2026-03-30 11:25:00+05:30,642.5,657.8,641.15,657.8
2026-03-30 11:30:00+05:30,657.8,664.0,627.05,628.9
2026-03-30 11:35:00+05:30,628.25,630.55,610.05,622.85
2026-03-30 11:40:00+05:30,622.85,636.0,618.0,636.0
2026-03-30 11:45:00+05:30,636.0,653.0,636.0,653.0
2026-03-30 11:50:00+05:30,653.0,660.0,641.55,642.95
2026-03-30 11:55:00+05:30,642.95,649.4,631.6,634.3
2026-03-30 12:00:00+05:30,634.3,635.5,580.0,587.4
2026-03-30 12:05:00+05:30,587.4,594.55,559.45,590.0
2026-03-30 12:10:00+05:30,590.0,592.35,576.0,577.7
2026-03-30 12:15:00+05:30,581.2,589.6,573.3,586.3
2026-03-30 12:20:00+05:30,586.3,599.2,565.0,598.25
2026-03-30 12:25:00+05:30,598.25,616.25,596.5,601.85
2026-03-30 12:30:00+05:30,601.85,613.55,601.8,609.3
2026-03-30 12:35:00+05:30,609.3,609.3,569.0,569.05
2026-03-30 12:40:00+05:30,569.05,576.15,562.2,570.05
2026-03-30 12:45:00+05:30,573.8,595.0,570.95,594.3
2026-03-30 12:50:00+05:30,594.3,622.55,594.1,615.75
2026-03-30 12:55:00+05:30,615.75,616.5,609.0,609.85
2026-03-30 13:00:00+05:30,609.85,619.85,604.9,616.4
2026-03-30 13:05:00+05:30,616.4,621.0,606.4,611.65
2026-03-30 13:10:00+05:30,611.65,621.6,602.0,612.4
2026-03-30 13:15:00+05:30,612.4,617.1,596.75,611.0
2026-03-30 13:20:00+05:30,613.75,613.75,601.9,609.2
2026-03-30 13:25:00+05:30,609.2,632.0,607.8,615.0
2026-03-30 13:30:00+05:30,615.0,622.55,610.0,610.0
2026-03-30 13:35:00+05:30,607.0,612.45,594.7,600.0
2026-03-30 13:40:00+05:30,595.75,625.0,595.75,621.0
2026-03-30 13:45:00+05:30,621.0,631.0,614.25,631.0
2026-03-30 13:50:00+05:30,628.85,647.5,625.0,644.2
2026-03-30 13:55:00+05:30,644.2,648.0,633.8,644.0
2026-03-30 14:00:00+05:30,644.25,644.25,595.3,616.5
2026-03-30 14:05:00+05:30,614.35,619.45,607.45,618.0
2026-03-30 14:10:00+05:30,618.0,643.3,618.0,643.3
2026-03-30 14:15:00+05:30,641.6,650.05,635.45,649.0
2026-03-30 14:20:00+05:30,649.0,665.75,631.75,662.9
2026-03-30 14:25:00+05:30,662.9,670.0,660.0,670.0
2026-03-30 14:30:00+05:30,670.0,682.35,650.0,681.25
2026-03-30 14:35:00+05:30,683.4,687.0,673.1,684.3
2026-03-30 14:40:00+05:30,684.3,685.0,675.55,680.0
2026-03-30 14:45:00+05:30,680.0,694.15,671.2,686.25
2026-03-30 14:50:00+05:30,686.25,697.15,674.2,696.85
2026-03-30 14:55:00+05:30,696.85,702.45,689.75,689.75
2026-03-30 15:00:00+05:30,689.75,728.0,689.75,723.25
2026-03-30 15:05:00+05:30,723.25,736.15,722.05,734.5
2026-03-30 15:10:00+05:30,734.5,734.5,693.15,704.85
2026-03-30 15:15:00+05:30,704.85,704.85,682.4,689.95
2026-03-30 15:20:00+05:30,689.95,689.95,662.7,665.1
2026-03-30 15:25:00+05:30,665.1,682.65,655.6,671.45
2026-04-01 09:15:00+05:30,396.35,396.35,313.95,318.65
2026-04-01 09:20:00+05:30,316.15,317.35,305.0,306.2
2026-04-01 09:25:00+05:30,305.1,305.7,290.4,292.15
2026-04-01 09:30:00+05:30,291.55,330.9,288.0,328.4
2026-04-01 09:35:00+05:30,329.8,343.35,329.8,341.8
2026-04-01 09:40:00+05:30,341.1,341.6,312.15,324.6
2026-04-01 09:45:00+05:30,324.95,327.35,298.6,298.6
2026-04-01 09:50:00+05:30,297.95,300.8,278.45,284.9
2026-04-01 09:55:00+05:30,284.0,297.45,282.25,292.7
2026-04-01 10:00:00+05:30,292.5,293.75,271.15,276.5
2026-04-01 10:05:00+05:30,275.8,286.15,275.3,285.0
2026-04-01 10:10:00+05:30,285.35,306.0,285.15,303.45
2026-04-01 10:15:00+05:30,304.65,311.75,299.05,306.1
2026-04-01 10:20:00+05:30,304.9,327.75,298.05,327.45
2026-04-01 10:25:00+05:30,327.3,365.0,327.2,347.8
2026-04-01 10:30:00+05:30,345.6,360.75,338.85,349.85
2026-04-01 10:35:00+05:30,349.9,350.55,335.55,339.2
2026-04-01 10:40:00+05:30,338.05,354.15,336.75,341.25
2026-04-01 10:45:00+05:30,340.95,349.65,331.1,346.85
2026-04-01 10:50:00+05:30,345.7,354.45,340.55,349.05
2026-04-01 10:55:00+05:30,349.2,362.5,349.2,361.25
2026-04-01 11:00:00+05:30,362.45,370.95,360.7,369.9
2026-04-01 11:05:00+05:30,370.25,379.1,354.0,362.5
2026-04-01 11:10:00+05:30,362.0,365.4,347.75,359.6
2026-04-01 11:15:00+05:30,360.0,369.0,357.4,358.0
2026-04-01 11:20:00+05:30,358.25,362.35,349.4,352.15
2026-04-01 11:25:00+05:30,352.0,352.3,339.05,347.7
2026-04-01 11:30:00+05:30,347.6,348.85,330.45,338.25
2026-04-01 11:35:00+05:30,340.0,342.0,328.1,330.65
2026-04-01 11:40:00+05:30,330.15,334.9,321.5,334.7
2026-04-01 11:45:00+05:30,335.2,364.65,335.2,359.1
2026-04-01 11:50:00+05:30,359.7,365.8,348.4,365.5
2026-04-01 11:55:00+05:30,365.5,366.95,345.8,349.85
2026-04-01 12:00:00+05:30,348.75,350.05,305.95,310.7
2026-04-01 12:05:00+05:30,310.55,314.05,305.55,309.25
2026-04-01 12:10:00+05:30,309.15,317.3,295.5,297.75
2026-04-01 12:15:00+05:30,298.2,306.95,297.0,306.0
2026-04-01 12:20:00+05:30,305.35,309.85,299.7,306.9
2026-04-01 12:25:00+05:30,307.35,312.3,302.95,305.05
2026-04-01 12:30:00+05:30,305.75,312.55,299.0,308.5
2026-04-01 12:35:00+05:30,309.2,314.0,301.1,301.1
2026-04-01 12:40:00+05:30,301.3,307.0,296.05,305.0
2026-04-01 12:45:00+05:30,304.25,304.6,283.8,289.7
2026-04-01 12:50:00+05:30,289.9,293.45,285.0,286.85
2026-04-01 12:55:00+05:30,287.3,294.1,285.15,289.85
2026-04-01 13:00:00+05:30,289.6,292.0,284.05,289.05
2026-04-01 13:05:00+05:30,288.7,289.9,280.55,286.85
2026-04-01 13:10:00+05:30,287.0,298.25,279.9,280.05
2026-04-01 13:15:00+05:30,279.7,300.45,274.4,298.8
2026-04-01 13:20:00+05:30,298.85,316.95,298.75,315.45
2026-04-01 13:25:00+05:30,315.5,328.55,314.0,322.35
2026-04-01 13:30:00+05:30,323.05,350.0,323.05,340.3
2026-04-01 13:35:00+05:30,341.7,359.1,341.7,347.7
2026-04-01 13:40:00+05:30,350.3,429.45,350.3,413.8
2026-04-01 13:45:00+05:30,412.9,424.3,380.0,390.0
2026-04-01 13:50:00+05:30,392.0,395.75,376.6,388.8
