date,open,high,low,close
2026-04-02 09:15:00+05:30,118.0,137.7,88.0,98.65
2026-04-02 09:20:00+05:30,99.0,101.5,95.35,98.6
2026-04-02 09:25:00+05:30,99.0,101.5,96.35,97.6
2026-04-02 09:30:00+05:30,97.45,105.3,97.0,102.4
2026-04-02 09:35:00+05:30,101.15,108.6,99.05,101.35
2026-04-02 09:40:00+05:30,101.3,107.0,99.1,102.45
2026-04-02 09:45:00+05:30,101.65,105.0,98.2,99.3
2026-04-02 09:50:00+05:30,99.45,99.8,95.1,95.4
2026-04-02 09:55:00+05:30,95.4,96.2,93.6,93.8
2026-04-02 10:00:00+05:30,93.35,95.45,90.25,91.8
2026-04-02 10:05:00+05:30,92.1,92.7,89.15,89.4
2026-04-02 10:10:00+05:30,89.55,92.85,87.85,91.7
2026-04-02 10:15:00+05:30,91.25,91.45,87.6,89.3
2026-04-02 10:20:00+05:30,89.5,91.25,85.15,85.8
2026-04-02 10:25:00+05:30,85.7,90.75,85.6,89.95
2026-04-02 10:30:00+05:30,89.9,92.2,89.2,90.0
2026-04-02 10:35:00+05:30,90.05,91.6,88.25,90.7
2026-04-02 10:40:00+05:30,90.7,91.95,88.75,88.95
2026-04-02 10:45:00+05:30,89.5,89.95,83.4,84.05
2026-04-02 10:50:00+05:30,84.0,88.7,83.05,87.15
2026-04-02 10:55:00+05:30,86.85,90.75,86.0,89.0
2026-04-02 11:00:00+05:30,89.1,90.0,86.9,87.45
2026-04-02 11:05:00+05:30,87.35,88.65,84.75,86.0
2026-04-02 11:10:00+05:30,86.4,86.4,83.25,84.35
2026-04-02 11:15:00+05:30,84.3,85.0,79.8,82.0
2026-04-02 11:20:00+05:30,82.0,82.0,79.0,80.0
2026-04-02 11:25:00+05:30,79.55,81.25,78.85,79.9
2026-04-02 11:30:00+05:30,79.95,83.1,79.95,82.3
2026-04-02 11:35:00+05:30,82.3,84.8,82.0,84.0
2026-04-02 11:40:00+05:30,83.6,84.3,81.8,81.9
2026-04-02 11:45:00+05:30,81.75,87.45,81.75,86.5
2026-04-02 11:50:00+05:30,86.55,88.7,86.1,87.3
2026-04-02 11:55:00+05:30,87.35,97.1,86.7,93.0
2026-04-02 12:00:00+05:30,92.95,95.25,89.55,91.15
2026-04-02 12:05:00+05:30,91.15,91.55,86.1,89.5
2026-04-02 12:10:00+05:30,89.3,91.15,86.0,88.15
2026-04-02 12:15:00+05:30,88.45,89.55,86.6,88.3
2026-04-02 12:20:00+05:30,88.25,89.3,82.9,87.75
2026-04-02 12:25:00+05:30,87.7,94.8,87.1,94.65
2026-04-02 12:30:00+05:30,95.15,102.0,92.4,101.65
2026-04-02 12:35:00+05:30,101.7,118.25,98.65,112.2
2026-04-02 12:40:00+05:30,112.75,117.6,107.4,116.4
2026-04-02 12:45:00+05:30,116.45,118.15,107.9,111.1
2026-04-02 12:50:00+05:30,112.1,114.05,101.7,102.2
2026-04-02 12:55:00+05:30,103.1,117.3,102.85,115.95
2026-04-02 13:00:00+05:30,115.5,136.6,115.5,122.8
2026-04-02 13:05:00+05:30,123.55,124.9,109.1,122.2
2026-04-02 13:10:00+05:30,121.7,123.25,113.05,118.8
2026-04-02 13:15:00+05:30,118.6,131.15,114.6,129.45
2026-04-02 13:20:00+05:30,129.55,149.3,126.8,147.4
2026-04-02 13:25:00+05:30,148.45,162.0,138.2,161.6
2026-04-02 13:30:00+05:30,162.15,167.9,153.4,165.25
2026-04-02 13:35:00+05:30,165.8,180.85,154.45,179.05
2026-04-02 13:40:00+05:30,178.4,185.9,172.6,180.2
2026-04-02 13:45:00+05:30,180.95,184.7,165.4,174.4
2026-04-02 13:50:00+05:30,174.85,189.9,170.2,176.45
2026-04-02 13:55:00+05:30,176.1,180.25,161.0,174.85
2026-04-02 14:00:00+05:30,174.4,187.4,172.0,184.85
2026-04-02 14:05:00+05:30,185.15,190.0,174.8,185.85
2026-04-02 14:10:00+05:30,185.8,217.5,184.4,215.1
2026-04-02 14:15:00+05:30,214.65,237.55,207.75,220.2
2026-04-02 14:20:00+05:30,221.05,224.3,207.55,224.25
2026-04-02 14:25:00+05:30,223.55,228.15,208.75,217.85
2026-04-02 14:30:00+05:30,218.6,232.0,212.65,225.9
2026-04-02 14:35:00+05:30,228.45,229.15,197.05,199.0
2026-04-02 14:40:00+05:30,200.15,203.4,177.35,182.1
2026-04-02 14:45:00+05:30,182.1,204.05,178.9,193.9
2026-04-02 14:50:00+05:30,193.85,214.2,191.9,208.9
2026-04-02 14:55:00+05:30,209.75,212.3,199.4,202.95
2026-04-02 15:00:00+05:30,205.25,220.45,202.2,210.95
2026-04-02 15:05:00+05:30,211.55,233.75,207.85,233.1
2026-04-02 15:10:00+05:30,233.8,240.85,227.6,235.65
2026-04-02 15:15:00+05:30,235.6,241.75,212.85,212.85
2026-04-02 15:20:00+05:30,211.85,214.8,192.4,200.5
2026-04-02 15:25:00+05:30,202.0,215.95,194.75,215.0
2026-04-06 09:15:00+05:30,216.6,232.05,129.15,147.75
2026-04-06 09:20:00+05:30,152.25,165.05,136.7,140.35
2026-04-06 09:25:00+05:30,139.65,143.3,125.95,127.3
2026-04-06 09:30:00+05:30,126.35,157.4,122.4,155.1
2026-04-06 09:35:00+05:30,154.95,186.05,154.0,165.4
2026-04-06 09:40:00+05:30,166.85,172.2,125.6,131.8
2026-04-06 09:45:00+05:30,133.1,138.4,118.9,121.15
2026-04-06 09:50:00+05:30,120.15,125.85,112.35,116.45
2026-04-06 09:55:00+05:30,116.15,120.55,113.3,114.15
2026-04-06 10:00:00+05:30,114.7,121.4,107.5,120.45
2026-04-06 10:05:00+05:30,120.95,134.25,117.75,127.15
2026-04-06 10:10:00+05:30,126.8,144.8,120.0,144.8
2026-04-06 10:15:00+05:30,145.45,152.25,129.05,137.65
2026-04-06 10:20:00+05:30,138.0,147.15,136.5,136.5
2026-04-06 10:25:00+05:30,135.55,139.7,116.4,134.25
2026-04-06 10:30:00+05:30,131.95,135.85,117.75,135.0
2026-04-06 10:35:00+05:30,134.15,144.2,131.7,143.25
2026-04-06 10:40:00+05:30,141.7,144.5,129.7,141.0
2026-04-06 10:45:00+05:30,141.25,147.15,135.65,145.0
2026-04-06 10:50:00+05:30,143.9,147.95,122.05,126.5
2026-04-06 10:55:00+05:30,125.65,138.2,122.45,129.9
2026-04-06 11:00:00+05:30,128.8,129.0,112.0,114.3
2026-04-06 11:05:00+05:30,114.25,117.7,109.85,113.4
2026-04-06 11:10:00+05:30,112.8,112.8,98.6,105.2
2026-04-06 11:15:00+05:30,104.1,117.25,101.75,117.25
2026-04-06 11:20:00+05:30,115.95,127.9,112.25,119.35
2026-04-06 11:25:00+05:30,118.2,125.2,112.75,123.9
2026-04-06 11:30:00+05:30,124.8,125.25,110.6,115.1
2026-04-06 11:35:00+05:30,114.5,129.55,112.45,120.45
2026-04-06 11:40:00+05:30,120.0,130.8,113.35,128.55
2026-04-06 11:45:00+05:30,128.8,135.8,122.7,129.45
2026-04-06 11:50:00+05:30,129.7,141.3,128.5,139.1
2026-04-06 11:55:00+05:30,139.1,161.4,134.9,144.8
2026-04-06 12:00:00+05:30,145.0,148.9,135.5,138.25
2026-04-06 12:05:00+05:30,139.65,151.8,136.7,141.1
2026-04-06 12:10:00+05:30,141.05,146.45,132.25,132.25
2026-04-06 12:15:00+05:30,132.95,142.2,129.3,135.15
2026-04-06 12:20:00+05:30,136.8,168.95,134.4,153.35
2026-04-06 12:25:00+05:30,152.65,166.4,152.1,157.3
2026-04-06 12:30:00+05:30,156.0,160.3,128.3,130.25
2026-04-06 12:35:00+05:30,129.25,141.7,127.3,133.95
2026-04-06 12:40:00+05:30,135.2,142.95,127.4,138.6
2026-04-06 12:45:00+05:30,138.55,177.2,138.55,177.2
2026-04-06 12:50:00+05:30,179.0,195.65,173.0,191.25
2026-04-06 12:55:00+05:30,190.9,207.0,189.8,203.3
2026-04-06 13:00:00+05:30,205.0,211.6,180.05,186.9
2026-04-06 13:05:00+05:30,186.15,207.9,186.15,207.5
2026-04-06 13:10:00+05:30,209.7,244.5,209.7,242.5
2026-04-06 13:15:00+05:30,244.45,251.95,230.95,245.4
2026-04-06 13:20:00+05:30,245.1,270.85,244.6,255.85
2026-04-06 13:25:00+05:30,255.45,256.7,231.25,242.75
2026-04-06 13:30:00+05:30,241.6,262.9,241.6,253.85
2026-04-06 13:35:00+05:30,254.35,263.5,238.15,238.15
2026-04-06 13:40:00+05:30,237.85,247.95,221.85,231.75
2026-04-06 13:45:00+05:30,231.6,244.8,223.9,224.0
2026-04-06 13:50:00+05:30,226.7,251.6,224.9,249.1
2026-04-06 13:55:00+05:30,250.1,253.0,231.55,236.65
2026-04-06 14:00:00+05:30,236.65,254.5,233.15,252.55
2026-04-06 14:05:00+05:30,248.7,260.0,236.7,239.25
2026-04-06 14:10:00+05:30,240.0,268.4,237.3,265.5
2026-04-06 14:15:00+05:30,268.2,276.1,251.25,266.4
2026-04-06 14:20:00+05:30,267.0,272.8,257.3,258.2
2026-04-06 14:25:00+05:30,259.5,261.95,242.0,250.45
2026-04-06 14:30:00+05:30,251.0,270.0,251.0,267.0
2026-04-06 14:35:00+05:30,267.3,279.75,253.1,260.9
