date,open,high,low,close
2026-02-05 09:15:00+05:30,96.0,110.95,86.75,92.5
2026-02-05 09:20:00+05:30,94.3,107.35,94.3,105.45
2026-02-05 09:25:00+05:30,105.8,108.4,99.35,99.35
2026-02-05 09:30:00+05:30,99.25,100.35,88.05,99.2
2026-02-05 09:35:00+05:30,98.0,108.8,93.35,102.5
2026-02-05 09:40:00+05:30,101.55,120.85,101.5,118.65
2026-02-05 09:45:00+05:30,119.5,130.9,117.4,124.05
2026-02-05 09:50:00+05:30,123.35,133.0,118.7,129.0
2026-02-05 09:55:00+05:30,129.1,137.5,118.7,122.5
2026-02-05 10:00:00+05:30,122.55,129.65,119.75,122.2
2026-02-05 10:05:00+05:30,120.9,126.0,117.45,121.6
2026-02-05 10:10:00+05:30,121.75,121.75,107.5,109.9
2026-02-05 10:15:00+05:30,109.55,113.15,104.9,104.95
2026-02-05 10:20:00+05:30,103.35,104.85,94.05,96.45
2026-02-05 10:25:00+05:30,96.5,101.75,93.0,101.75
2026-02-05 10:30:00+05:30,100.65,111.15,99.9,107.6
2026-02-05 10:35:00+05:30,107.7,119.55,104.5,118.3
2026-02-05 10:40:00+05:30,119.3,120.0,109.4,115.1
2026-02-05 10:45:00+05:30,114.9,119.1,112.2,116.95
2026-02-05 10:50:00+05:30,117.75,118.5,112.5,117.35
2026-02-05 10:55:00+05:30,117.65,127.15,117.25,121.8
2026-02-05 11:00:00+05:30,121.2,129.1,113.6,116.2
2026-02-05 11:05:00+05:30,115.65,116.5,106.1,106.2
2026-02-05 11:10:00+05:30,107.05,108.5,99.85,102.1
2026-02-05 11:15:00+05:30,102.15,112.15,100.65,110.15
2026-02-05 11:20:00+05:30,110.6,111.85,107.7,111.05
2026-02-05 11:25:00+05:30,111.35,113.3,105.25,107.5
2026-02-05 11:30:00+05:30,107.05,110.85,102.75,110.35
2026-02-05 11:35:00+05:30,110.6,113.15,99.0,101.6
2026-02-05 11:40:00+05:30,101.8,104.05,98.2,101.45
2026-02-05 11:45:00+05:30,101.4,114.8,101.3,112.45
2026-02-05 11:50:00+05:30,112.5,114.15,109.95,111.55
2026-02-05 11:55:00+05:30,111.05,112.15,105.6,105.6
2026-02-05 12:00:00+05:30,105.95,113.75,103.1,105.45
2026-02-05 12:05:00+05:30,105.15,114.85,103.4,112.55
2026-02-05 12:10:00+05:30,112.5,118.0,110.3,115.85
2026-02-05 12:15:00+05:30,115.75,124.0,115.75,123.75
2026-02-05 12:20:00+05:30,123.95,127.4,119.55,124.2
2026-02-05 12:25:00+05:30,123.75,126.1,118.55,120.5
2026-02-05 12:30:00+05:30,120.05,129.65,113.35,119.75
2026-02-05 12:35:00+05:30,119.25,119.5,114.45,118.65
2026-02-05 12:40:00+05:30,119.05,121.1,114.2,120.0
2026-02-05 12:45:00+05:30,119.5,120.4,113.2,115.05
2026-02-05 12:50:00+05:30,115.35,117.5,111.35,115.9
2026-02-05 12:55:00+05:30,115.3,124.4,107.15,110.15
2026-02-05 13:00:00+05:30,110.8,112.5,108.4,111.05
2026-02-05 13:05:00+05:30,111.3,112.5,107.25,108.2
2026-02-05 13:10:00+05:30,108.25,115.85,106.5,112.7
2026-02-05 13:15:00+05:30,112.55,112.55,104.5,105.4
2026-02-05 13:20:00+05:30,105.2,109.15,103.25,108.5
2026-02-05 13:25:00+05:30,108.7,125.3,108.7,125.15
2026-02-05 13:30:00+05:30,124.5,124.5,114.2,114.25
2026-02-05 13:35:00+05:30,114.65,116.1,105.45,107.35
2026-02-05 13:40:00+05:30,107.0,111.95,106.95,110.85
2026-02-05 13:45:00+05:30,110.35,111.9,105.5,108.2
2026-02-05 13:50:00+05:30,107.5,112.3,105.05,112.1
2026-02-05 13:55:00+05:30,111.7,114.8,109.65,110.45
2026-02-05 14:00:00+05:30,110.4,116.75,108.1,114.1
2026-02-05 14:05:00+05:30,114.5,129.05,114.5,126.0
2026-02-05 14:10:00+05:30,126.45,136.6,124.7,129.25
2026-02-05 14:15:00+05:30,128.4,133.0,126.6,129.05
2026-02-05 14:20:00+05:30,128.15,129.95,123.85,127.85
2026-02-05 14:25:00+05:30,127.45,129.7,116.35,120.15
2026-02-05 14:30:00+05:30,119.9,120.95,111.95,113.0
2026-02-05 14:35:00+05:30,112.8,114.3,108.55,112.25
2026-02-05 14:40:00+05:30,111.85,116.2,108.7,114.05
2026-02-05 14:45:00+05:30,114.95,120.5,113.5,114.3
2026-02-05 14:50:00+05:30,114.3,116.1,110.25,110.85
2026-02-05 14:55:00+05:30,110.4,110.8,104.85,106.7
2026-02-05 15:00:00+05:30,103.8,106.85,98.15,100.2
2026-02-05 15:05:00+05:30,100.2,107.8,95.4,105.3
2026-02-05 15:10:00+05:30,104.35,106.05,103.05,104.35
2026-02-05 15:15:00+05:30,104.5,111.0,104.5,110.45
