date,open,high,low,close
2026-02-17 09:15:00+05:30,211.65,243.0,211.65,233.65
2026-02-17 09:20:00+05:30,235.65,257.45,235.65,255.0
2026-02-17 09:25:00+05:30,255.15,258.25,243.0,246.15
2026-02-17 09:30:00+05:30,246.5,255.05,231.4,233.95
2026-02-17 09:35:00+05:30,233.95,250.9,228.65,230.85
2026-02-17 09:40:00+05:30,231.9,237.0,207.5,209.0
2026-02-17 09:45:00+05:30,210.2,219.9,209.85,213.4
2026-02-17 09:50:00+05:30,213.4,218.0,202.0,205.0
2026-02-17 09:55:00+05:30,204.9,209.75,197.6,202.8
2026-02-17 10:00:00+05:30,202.8,207.1,199.5,202.3
2026-02-17 10:05:00+05:30,202.3,206.15,197.65,203.8
2026-02-17 10:10:00+05:30,203.2,204.85,194.0,195.6
2026-02-17 10:15:00+05:30,194.5,201.75,186.3,188.2
2026-02-17 10:20:00+05:30,187.7,190.65,185.4,188.2
2026-02-17 10:25:00+05:30,188.2,188.2,169.4,172.5
2026-02-17 10:30:00+05:30,172.05,182.3,169.3,181.15
2026-02-17 10:35:00+05:30,181.1,189.85,179.9,188.95
2026-02-17 10:40:00+05:30,188.3,206.1,185.15,204.35
2026-02-17 10:45:00+05:30,203.25,214.75,199.65,206.45
2026-02-17 10:50:00+05:30,206.45,212.85,206.45,208.0
2026-02-17 10:55:00+05:30,208.5,210.15,203.0,203.75
2026-02-17 11:00:00+05:30,203.75,207.05,199.2,202.75
2026-02-17 11:05:00+05:30,202.75,211.1,198.55,200.35
2026-02-17 11:10:00+05:30,200.6,204.15,195.15,195.55
2026-02-17 11:15:00+05:30,194.95,198.4,184.75,190.15
2026-02-17 11:20:00+05:30,190.15,191.25,186.3,188.2
2026-02-17 11:25:00+05:30,188.1,190.95,186.55,188.2
2026-02-17 11:30:00+05:30,188.2,190.5,169.55,170.65
2026-02-17 11:35:00+05:30,171.0,171.5,157.55,165.4
2026-02-17 11:40:00+05:30,165.05,173.3,164.2,170.1
2026-02-17 11:45:00+05:30,169.2,169.45,163.0,164.0
2026-02-17 11:50:00+05:30,163.85,165.6,160.0,160.0
2026-02-17 11:55:00+05:30,160.3,164.95,160.0,163.1
2026-02-17 12:00:00+05:30,163.0,166.15,160.0,165.9
2026-02-17 12:05:00+05:30,165.35,166.45,160.6,165.25
2026-02-17 12:10:00+05:30,165.05,167.85,162.45,165.3
2026-02-17 12:15:00+05:30,165.3,165.3,152.2,154.25
2026-02-17 12:20:00+05:30,153.85,156.95,147.0,149.85
2026-02-17 12:25:00+05:30,149.15,159.8,148.0,157.8
2026-02-17 12:30:00+05:30,156.85,160.4,155.2,159.25
2026-02-17 12:35:00+05:30,159.0,162.85,157.8,158.5
2026-02-17 12:40:00+05:30,158.1,162.5,155.75,156.9
2026-02-17 12:45:00+05:30,156.6,158.55,154.4,155.3
2026-02-17 12:50:00+05:30,155.25,157.05,146.35,149.0
2026-02-17 12:55:00+05:30,148.95,161.1,147.85,160.55
2026-02-17 13:00:00+05:30,160.3,166.65,154.75,166.65
2026-02-17 13:05:00+05:30,165.9,167.6,148.45,149.05
2026-02-17 13:10:00+05:30,148.05,161.05,147.45,157.85
2026-02-17 13:15:00+05:30,158.8,161.85,155.0,157.75
2026-02-17 13:20:00+05:30,156.85,159.6,154.4,157.0
2026-02-17 13:25:00+05:30,157.0,158.95,153.55,155.2
2026-02-17 13:30:00+05:30,154.3,154.3,144.4,148.15
2026-02-17 13:35:00+05:30,147.9,153.0,144.9,152.55
2026-02-17 13:40:00+05:30,152.5,152.85,145.8,148.2
2026-02-17 13:45:00+05:30,148.1,155.65,146.65,155.3
2026-02-17 13:50:00+05:30,155.25,159.95,153.25,159.95
2026-02-17 13:55:00+05:30,161.3,170.8,159.75,169.5
2026-02-17 14:00:00+05:30,170.2,171.2,155.5,158.1
2026-02-17 14:05:00+05:30,157.85,167.4,155.0,167.4
2026-02-17 14:10:00+05:30,166.65,185.95,164.7,183.8
2026-02-17 14:15:00+05:30,184.7,185.75,167.0,172.35
2026-02-17 14:20:00+05:30,172.05,175.65,166.15,172.65
2026-02-17 14:25:00+05:30,172.65,180.85,167.2,180.3
2026-02-17 14:30:00+05:30,180.8,185.2,169.65,170.6
