date,open,high,low,close
2026-01-01 09:15:00+05:30,74.95,77.0,61.5,75.5
2026-01-01 09:20:00+05:30,76.3,78.0,68.2,76.1
2026-01-01 09:25:00+05:30,76.85,83.4,67.0,67.0
2026-01-01 09:30:00+05:30,68.8,74.7,65.9,70.65
2026-01-01 09:35:00+05:30,70.8,77.45,68.8,74.75
2026-01-01 09:40:00+05:30,74.75,76.0,64.8,67.0
2026-01-01 09:45:00+05:30,66.95,74.5,63.6,64.25
2026-01-01 09:50:00+05:30,64.25,66.0,61.4,63.55
2026-01-01 09:55:00+05:30,63.45,80.45,62.7,76.8
2026-01-01 10:00:00+05:30,76.6,78.65,70.0,71.7
2026-01-01 10:05:00+05:30,71.8,75.45,68.2,74.65
2026-01-01 10:10:00+05:30,74.45,80.1,74.45,77.95
2026-01-01 10:15:00+05:30,77.45,88.65,77.45,86.2
2026-01-01 10:20:00+05:30,85.65,92.8,84.0,84.9
2026-01-01 10:25:00+05:30,83.75,84.8,76.0,76.0
2026-01-01 10:30:00+05:30,75.55,79.55,69.7,70.05
2026-01-01 10:35:00+05:30,70.5,73.6,66.9,72.15
2026-01-01 10:40:00+05:30,72.4,77.05,70.0,71.4
2026-01-01 10:45:00+05:30,71.1,71.1,62.95,63.6
2026-01-01 10:50:00+05:30,63.4,64.9,61.3,63.5
2026-01-01 10:55:00+05:30,63.8,65.75,63.35,64.4
2026-01-01 11:00:00+05:30,64.85,66.2,59.8,65.1
2026-01-01 11:05:00+05:30,65.5,67.95,63.65,65.85
2026-01-01 11:10:00+05:30,65.6,67.95,61.55,63.95
2026-01-01 11:15:00+05:30,63.8,68.15,63.05,63.35
2026-01-01 11:20:00+05:30,63.4,66.4,61.1,63.7
2026-01-01 11:25:00+05:30,63.5,65.9,60.5,65.4
2026-01-01 11:30:00+05:30,65.1,69.2,63.25,68.25
2026-01-01 11:35:00+05:30,68.55,70.35,64.9,68.0
2026-01-01 11:40:00+05:30,67.95,76.25,66.55,76.25
2026-01-01 11:45:00+05:30,75.7,78.2,74.0,76.25
2026-01-01 11:50:00+05:30,76.2,79.85,72.75,72.8
2026-01-01 11:55:00+05:30,73.05,75.4,70.75,71.5
2026-01-01 12:00:00+05:30,71.45,76.2,69.0,75.05
2026-01-01 12:05:00+05:30,75.15,83.75,73.35,80.0
2026-01-01 12:10:00+05:30,80.1,81.45,76.55,81.15
2026-01-01 12:15:00+05:30,81.15,86.25,78.45,78.5
2026-01-01 12:20:00+05:30,78.75,82.15,77.5,79.15
2026-01-01 12:25:00+05:30,78.9,79.7,71.8,74.25
2026-01-01 12:30:00+05:30,74.7,79.6,72.4,72.5
2026-01-01 12:35:00+05:30,72.4,80.35,72.2,79.5
2026-01-01 12:40:00+05:30,79.3,80.25,75.8,77.35
2026-01-01 12:45:00+05:30,77.7,77.85,69.7,70.8
2026-01-01 12:50:00+05:30,70.5,74.95,70.5,72.8
2026-01-01 12:55:00+05:30,72.55,74.05,68.6,70.55
2026-01-01 13:00:00+05:30,70.4,72.5,68.85,69.75
2026-01-01 13:05:00+05:30,69.85,71.1,67.55,69.0
2026-01-01 13:10:00+05:30,69.1,73.65,67.9,69.1
2026-01-01 13:15:00+05:30,69.45,69.7,66.1,66.6
2026-01-01 13:20:00+05:30,66.4,77.0,66.4,76.7
2026-01-01 13:25:00+05:30,76.5,76.75,69.35,70.35
2026-01-01 13:30:00+05:30,70.0,73.0,68.05,73.0
2026-01-01 13:35:00+05:30,73.1,74.3,68.9,71.7
2026-01-01 13:40:00+05:30,72.3,74.0,70.4,71.2
2026-01-01 13:45:00+05:30,70.95,74.95,69.5,72.05
2026-01-01 13:50:00+05:30,72.0,72.95,69.25,70.15
2026-01-01 13:55:00+05:30,70.05,72.0,68.35,70.2
2026-01-01 14:00:00+05:30,69.7,71.5,64.45,64.65
2026-01-01 14:05:00+05:30,64.55,66.4,61.6,66.2
2026-01-01 14:10:00+05:30,66.0,66.5,62.45,64.15
2026-01-01 14:15:00+05:30,63.95,65.3,60.7,61.7
2026-01-01 14:20:00+05:30,61.65,65.85,58.8,63.45
2026-01-01 14:25:00+05:30,63.1,65.75,63.1,65.2
2026-01-01 14:30:00+05:30,65.35,67.2,61.85,61.85
2026-01-01 14:35:00+05:30,61.7,66.1,61.7,64.5
2026-01-01 14:40:00+05:30,64.2,65.9,63.85,65.4
2026-01-01 14:45:00+05:30,66.0,67.6,64.4,67.6
2026-01-01 14:50:00+05:30,67.6,69.8,65.05,66.2
2026-01-01 14:55:00+05:30,66.55,68.25,65.25,66.75
2026-01-01 15:00:00+05:30,65.75,70.9,65.05,66.0
2026-01-01 15:05:00+05:30,66.4,69.9,66.4,69.5
2026-01-01 15:10:00+05:30,69.7,73.15,69.7,71.7
2026-01-01 15:15:00+05:30,72.05,72.4,68.85,69.35
2026-01-01 15:20:00+05:30,69.25,71.0,69.25,70.1
2026-01-01 15:25:00+05:30,70.1,71.2,69.1,70.25
2026-01-02 09:15:00+05:30,64.75,64.75,45.75,50.7
2026-01-02 09:20:00+05:30,50.8,50.8,44.9,45.6
2026-01-02 09:25:00+05:30,45.55,48.2,41.55,41.9
2026-01-02 09:30:00+05:30,41.35,43.25,38.9,41.9
2026-01-02 09:35:00+05:30,41.45,42.45,39.6,39.75
2026-01-02 09:40:00+05:30,39.55,39.9,32.75,33.6
2026-01-02 09:45:00+05:30,33.2,34.3,32.7,33.1
2026-01-02 09:50:00+05:30,32.9,32.95,30.4,31.45
2026-01-02 09:55:00+05:30,31.5,32.3,31.05,32.1
2026-01-02 10:00:00+05:30,32.1,32.55,31.05,31.75
2026-01-02 10:05:00+05:30,31.65,32.8,31.55,32.7
2026-01-02 10:10:00+05:30,32.6,32.7,29.6,30.4
2026-01-02 10:15:00+05:30,30.3,32.5,29.15,31.7
2026-01-02 10:20:00+05:30,31.7,31.7,30.6,31.0
2026-01-02 10:25:00+05:30,31.0,31.8,30.65,31.7
2026-01-02 10:30:00+05:30,31.65,32.3,31.2,31.7
2026-01-02 10:35:00+05:30,31.8,31.8,29.7,29.8
2026-01-02 10:40:00+05:30,29.7,30.8,28.65,30.6
2026-01-02 10:45:00+05:30,30.6,30.6,28.8,29.65
2026-01-02 10:50:00+05:30,29.45,29.5,28.35,29.15
2026-01-02 10:55:00+05:30,29.25,29.8,28.5,28.5
2026-01-02 11:00:00+05:30,28.7,29.6,28.45,29.25
2026-01-02 11:05:00+05:30,29.2,30.3,29.05,29.65
2026-01-02 11:10:00+05:30,29.8,30.3,28.6,29.2
2026-01-02 11:15:00+05:30,29.15,29.15,26.75,27.55
2026-01-02 11:20:00+05:30,27.5,27.8,26.15,26.8
2026-01-02 11:25:00+05:30,26.7,26.9,25.3,25.4
2026-01-02 11:30:00+05:30,25.45,25.9,23.8,24.55
2026-01-02 11:35:00+05:30,24.5,24.9,23.65,23.95
2026-01-02 11:40:00+05:30,23.95,24.65,23.85,24.45
2026-01-02 11:45:00+05:30,24.45,24.95,24.05,24.05
2026-01-02 11:50:00+05:30,24.15,24.35,23.3,23.8
2026-01-02 11:55:00+05:30,23.75,24.6,23.7,24.3
2026-01-02 12:00:00+05:30,24.3,24.9,23.95,24.05
2026-01-02 12:05:00+05:30,24.1,24.45,23.95,24.35
2026-01-02 12:10:00+05:30,24.25,24.4,23.9,24.15
2026-01-02 12:15:00+05:30,24.1,25.0,23.85,24.65
2026-01-02 12:20:00+05:30,24.6,24.7,22.95,23.15
2026-01-02 12:25:00+05:30,23.15,23.55,22.7,23.15
2026-01-02 12:30:00+05:30,23.05,23.2,20.5,21.4
2026-01-02 12:35:00+05:30,21.5,22.4,21.3,22.15
2026-01-02 12:40:00+05:30,22.1,22.4,21.9,22.4
2026-01-02 12:45:00+05:30,22.35,23.85,22.2,23.45
2026-01-02 12:50:00+05:30,23.5,23.7,23.0,23.35
2026-01-02 12:55:00+05:30,23.45,23.5,22.9,23.1
2026-01-02 13:00:00+05:30,23.0,23.45,22.8,22.95
2026-01-02 13:05:00+05:30,22.95,22.95,22.3,22.65
2026-01-02 13:10:00+05:30,22.65,22.75,21.5,21.85
2026-01-02 13:15:00+05:30,21.8,22.0,21.4,21.45
2026-01-02 13:20:00+05:30,21.4,21.65,20.95,21.25
2026-01-02 13:25:00+05:30,21.15,22.3,21.15,21.95
2026-01-02 13:30:00+05:30,22.0,22.35,21.5,21.7
2026-01-02 13:35:00+05:30,21.75,22.3,21.2,22.05
2026-01-02 13:40:00+05:30,22.05,22.2,21.5,21.8
2026-01-02 13:45:00+05:30,21.7,22.1,21.3,21.65
2026-01-02 13:50:00+05:30,21.65,21.85,20.95,21.6
2026-01-02 13:55:00+05:30,21.6,22.3,21.25,22.15
2026-01-02 14:00:00+05:30,22.2,22.2,21.25,22.05
2026-01-02 14:05:00+05:30,22.0,22.2,21.0,21.2
2026-01-02 14:10:00+05:30,21.25,21.35,20.75,21.15
2026-01-02 14:15:00+05:30,21.15,21.15,20.25,20.4
2026-01-02 14:20:00+05:30,20.35,20.35,18.5,18.7
2026-01-02 14:25:00+05:30,18.65,19.55,18.65,19.5
2026-01-02 14:30:00+05:30,19.4,21.9,19.35,21.45
2026-01-02 14:35:00+05:30,21.5,22.1,21.35,22.1
2026-01-02 14:40:00+05:30,22.25,22.7,21.2,22.05
2026-01-02 14:45:00+05:30,22.6,23.15,22.05,22.05
2026-01-02 14:50:00+05:30,21.7,21.85,19.5,19.9
2026-01-02 14:55:00+05:30,19.95,20.1,18.7,19.35
2026-01-02 15:00:00+05:30,18.8,18.8,17.45,18.15
2026-01-02 15:05:00+05:30,18.15,18.2,17.2,17.25
2026-01-02 15:10:00+05:30,17.45,18.55,16.4,18.45
2026-01-02 15:15:00+05:30,18.7,19.45,18.7,18.8
2026-01-02 15:20:00+05:30,19.15,19.4,18.1,18.6
2026-01-02 15:25:00+05:30,18.8,19.05,16.25,16.3
