date,open,high,low,close
2026-01-02 09:15:00+05:30,196.45,196.45,159.35,166.55
2026-01-02 09:20:00+05:30,169.0,169.0,153.7,156.1
2026-01-02 09:25:00+05:30,157.0,162.3,145.0,145.75
2026-01-02 09:30:00+05:30,143.75,148.9,136.3,147.3
2026-01-02 09:35:00+05:30,146.0,147.55,140.15,140.15
2026-01-02 09:40:00+05:30,140.5,141.6,121.65,123.6
2026-01-02 09:45:00+05:30,122.55,125.6,119.6,121.2
2026-01-02 09:50:00+05:30,121.0,121.0,111.0,112.8
2026-01-02 09:55:00+05:30,113.15,116.95,111.65,116.2
2026-01-02 10:00:00+05:30,116.3,118.85,112.95,115.75
2026-01-02 10:05:00+05:30,115.15,120.0,114.7,119.8
2026-01-02 10:10:00+05:30,119.35,119.7,112.45,113.55
2026-01-02 10:15:00+05:30,113.8,120.95,108.0,117.85
2026-01-02 10:20:00+05:30,117.75,118.55,114.35,115.15
2026-01-02 10:25:00+05:30,115.6,118.4,114.7,118.05
2026-01-02 10:30:00+05:30,117.9,119.95,116.45,118.25
2026-01-02 10:35:00+05:30,118.55,118.55,111.0,111.15
2026-01-02 10:40:00+05:30,111.15,116.4,109.6,115.05
2026-01-02 10:45:00+05:30,114.65,115.0,108.8,111.3
2026-01-02 10:50:00+05:30,111.2,112.7,107.65,111.5
2026-01-02 10:55:00+05:30,111.8,113.8,109.25,109.55
2026-01-02 11:00:00+05:30,109.75,113.0,109.5,111.6
2026-01-02 11:05:00+05:30,111.4,115.25,111.0,113.2
2026-01-02 11:10:00+05:30,113.7,115.4,109.6,112.25
2026-01-02 11:15:00+05:30,112.0,112.0,105.7,108.4
2026-01-02 11:20:00+05:30,108.3,109.5,103.8,106.05
2026-01-02 11:25:00+05:30,105.95,106.5,99.6,101.05
2026-01-02 11:30:00+05:30,101.0,102.5,94.3,97.0
2026-01-02 11:35:00+05:30,97.25,98.6,95.4,96.2
2026-01-02 11:40:00+05:30,96.05,98.3,93.7,95.9
2026-01-02 11:45:00+05:30,96.0,98.0,94.3,94.35
2026-01-02 11:50:00+05:30,94.6,95.65,91.7,93.05
2026-01-02 11:55:00+05:30,93.2,97.5,93.0,96.6
2026-01-02 12:00:00+05:30,96.7,98.6,95.2,95.6
2026-01-02 12:05:00+05:30,95.6,96.45,95.05,95.9
2026-01-02 12:10:00+05:30,95.9,97.0,94.75,95.75
2026-01-02 12:15:00+05:30,95.75,98.8,94.5,98.05
2026-01-02 12:20:00+05:30,97.65,97.75,92.55,92.55
2026-01-02 12:25:00+05:30,92.6,94.7,91.25,93.65
2026-01-02 12:30:00+05:30,93.35,93.9,83.2,86.5
2026-01-02 12:35:00+05:30,87.05,89.1,85.75,88.35
2026-01-02 12:40:00+05:30,88.35,90.45,87.95,90.45
2026-01-02 12:45:00+05:30,90.3,95.85,89.3,94.5
