date,open,high,low,close
2026-01-07 09:15:00+05:30,75.0,93.8,74.95,84.6
2026-01-07 09:20:00+05:30,84.25,84.25,69.75,73.0
2026-01-07 09:25:00+05:30,73.5,85.6,73.45,83.3
2026-01-07 09:30:00+05:30,83.0,84.4,74.85,78.5
2026-01-07 09:35:00+05:30,78.05,80.85,73.6,75.25
2026-01-07 09:40:00+05:30,75.55,90.35,72.0,89.7
2026-01-07 09:45:00+05:30,89.65,91.25,79.45,85.5
2026-01-07 09:50:00+05:30,84.8,94.75,83.3,88.75
2026-01-07 09:55:00+05:30,87.7,88.45,74.35,74.65
2026-01-07 10:00:00+05:30,74.0,78.2,69.5,73.3
2026-01-07 10:05:00+05:30,73.35,76.0,66.0,67.0
2026-01-07 10:10:00+05:30,67.0,69.85,64.35,64.65
2026-01-07 10:15:00+05:30,63.95,71.2,59.0,69.8
2026-01-07 10:20:00+05:30,69.8,70.4,64.75,70.4
2026-01-07 10:25:00+05:30,70.25,77.4,68.55,74.55
2026-01-07 10:30:00+05:30,74.55,76.55,70.7,74.85
2026-01-07 10:35:00+05:30,74.65,77.2,70.65,71.5
2026-01-07 10:40:00+05:30,71.4,74.7,68.8,71.0
2026-01-07 10:45:00+05:30,70.5,75.3,67.95,71.35
2026-01-07 10:50:00+05:30,71.4,72.4,61.0,62.4
2026-01-07 10:55:00+05:30,62.05,66.35,58.0,62.65
2026-01-07 11:00:00+05:30,62.4,63.7,57.4,58.35
2026-01-07 11:05:00+05:30,58.35,61.9,56.85,61.0
2026-01-07 11:10:00+05:30,61.0,66.0,60.9,65.85
2026-01-07 11:15:00+05:30,66.1,71.35,64.05,64.05
2026-01-07 11:20:00+05:30,64.3,72.2,63.1,68.45
2026-01-07 11:25:00+05:30,69.0,69.35,61.95,68.45
2026-01-07 11:30:00+05:30,67.25,67.3,60.2,60.65
2026-01-07 11:35:00+05:30,60.6,68.7,58.7,65.1
2026-01-07 11:40:00+05:30,65.35,67.05,63.2,67.0
2026-01-07 11:45:00+05:30,67.2,70.2,66.9,68.85
2026-01-07 11:50:00+05:30,69.1,75.8,67.1,75.8
2026-01-07 11:55:00+05:30,75.45,77.5,72.8,76.0
2026-01-07 12:00:00+05:30,76.5,78.9,74.2,76.9
2026-01-07 12:05:00+05:30,76.75,78.9,73.8,76.25
2026-01-07 12:10:00+05:30,77.05,77.95,74.05,74.75
2026-01-07 12:15:00+05:30,75.1,79.6,72.9,79.6
2026-01-07 12:20:00+05:30,79.45,80.85,74.55,79.25
2026-01-07 12:25:00+05:30,78.35,82.0,74.15,81.7
2026-01-07 12:30:00+05:30,81.55,82.0,75.45,76.4
2026-01-07 12:35:00+05:30,76.3,82.3,76.0,77.95
2026-01-07 12:40:00+05:30,77.5,93.15,76.95,90.35
2026-01-07 12:45:00+05:30,90.5,92.85,87.7,91.25
2026-01-07 12:50:00+05:30,90.4,91.5,86.0,88.35
2026-01-07 12:55:00+05:30,88.45,88.45,83.25,83.85
2026-01-07 13:00:00+05:30,83.55,84.5,77.45,78.65
2026-01-07 13:05:00+05:30,78.3,81.7,77.95,79.85
2026-01-07 13:10:00+05:30,79.55,82.0,74.3,81.2
2026-01-07 13:15:00+05:30,81.15,84.9,78.6,81.55
2026-01-07 13:20:00+05:30,81.4,86.4,81.3,85.65
2026-01-07 13:25:00+05:30,86.3,92.3,85.5,90.05
2026-01-07 13:30:00+05:30,90.85,92.2,87.3,90.2
2026-01-07 13:35:00+05:30,90.25,90.85,83.35,86.55
2026-01-07 13:40:00+05:30,85.8,91.05,85.8,88.1
2026-01-07 13:45:00+05:30,87.95,89.95,83.9,84.35
2026-01-07 13:50:00+05:30,84.15,90.8,82.85,86.4
2026-01-07 13:55:00+05:30,86.4,87.9,80.0,81.1
2026-01-07 14:00:00+05:30,80.45,88.0,77.0,78.2
2026-01-07 14:05:00+05:30,78.2,79.85,76.4,78.35
2026-01-07 14:10:00+05:30,77.7,79.4,76.0,78.85
2026-01-07 14:15:00+05:30,79.05,85.05,78.7,82.95
2026-01-07 14:20:00+05:30,82.65,85.15,79.85,83.65
2026-01-07 14:25:00+05:30,83.85,84.35,78.8,80.25
2026-01-07 14:30:00+05:30,80.45,86.0,77.55,84.25
2026-01-07 14:35:00+05:30,83.3,85.25,78.5,79.0
2026-01-07 14:40:00+05:30,79.3,81.45,74.15,75.85
2026-01-07 14:45:00+05:30,76.0,82.9,75.75,81.15
2026-01-07 14:50:00+05:30,81.3,82.3,71.85,72.15
2026-01-07 14:55:00+05:30,72.15,75.75,71.55,73.15
2026-01-07 15:00:00+05:30,69.85,74.7,66.05,71.25
2026-01-07 15:05:00+05:30,71.55,71.55,65.45,66.8
2026-01-07 15:10:00+05:30,67.2,68.25,62.1,62.95
2026-01-07 15:15:00+05:30,63.35,70.7,63.35,67.05
2026-01-07 15:20:00+05:30,68.65,71.1,67.5,69.8
2026-01-07 15:25:00+05:30,69.95,70.75,68.6,69.3
2026-01-08 09:15:00+05:30,75.0,95.0,74.95,79.0
2026-01-08 09:20:00+05:30,80.1,84.4,78.0,82.3
2026-01-08 09:25:00+05:30,81.9,96.0,80.95,95.65
