date,open,high,low,close
2026-01-09 09:15:00+05:30,25.4,25.4,15.85,16.6
2026-01-09 09:20:00+05:30,16.45,21.55,16.25,21.1
2026-01-09 09:25:00+05:30,20.9,24.25,19.55,24.1
2026-01-09 09:30:00+05:30,24.25,30.05,19.4,25.75
2026-01-09 09:35:00+05:30,25.45,28.9,24.15,26.1
2026-01-09 09:40:00+05:30,25.95,27.45,20.0,20.0
2026-01-09 09:45:00+05:30,20.4,24.6,18.55,20.0
2026-01-09 09:50:00+05:30,20.2,23.75,20.1,20.1
2026-01-09 09:55:00+05:30,19.95,20.8,18.55,18.9
2026-01-09 10:00:00+05:30,19.2,21.8,18.3,19.95
2026-01-09 10:05:00+05:30,19.6,21.6,18.4,19.5
2026-01-09 10:10:00+05:30,19.4,23.2,19.4,22.05
2026-01-09 10:15:00+05:30,21.9,23.15,21.05,22.0
2026-01-09 10:20:00+05:30,21.85,22.55,18.9,20.4
2026-01-09 10:25:00+05:30,20.35,22.05,17.65,19.05
2026-01-09 10:30:00+05:30,19.0,22.25,18.55,22.15
2026-01-09 10:35:00+05:30,22.2,23.75,20.95,21.6
2026-01-09 10:40:00+05:30,21.75,23.0,20.35,21.1
2026-01-09 10:45:00+05:30,21.1,21.7,19.25,21.0
2026-01-09 10:50:00+05:30,21.1,24.15,20.0,23.65
2026-01-09 10:55:00+05:30,23.3,29.0,22.85,25.85
2026-01-09 11:00:00+05:30,26.05,28.6,25.85,27.6
2026-01-09 11:05:00+05:30,27.7,28.15,25.3,26.45
2026-01-09 11:10:00+05:30,26.4,30.3,24.85,30.25
2026-01-09 11:15:00+05:30,29.25,30.8,27.6,29.15
2026-01-09 11:20:00+05:30,29.15,31.0,28.2,29.8
2026-01-09 11:25:00+05:30,29.75,29.75,26.65,27.25
2026-01-09 11:30:00+05:30,27.45,30.5,25.2,30.5
2026-01-09 11:35:00+05:30,31.35,39.2,31.35,36.5
2026-01-09 11:40:00+05:30,35.95,41.1,35.55,39.65
2026-01-09 11:45:00+05:30,39.65,46.4,37.35,43.1
2026-01-09 11:50:00+05:30,43.0,48.8,42.15,43.5
2026-01-09 11:55:00+05:30,44.2,45.75,42.0,44.1
2026-01-09 12:00:00+05:30,44.25,45.45,38.65,38.9
2026-01-09 12:05:00+05:30,39.35,43.55,39.35,43.1
2026-01-09 12:10:00+05:30,43.3,46.8,41.75,45.3
2026-01-09 12:15:00+05:30,44.95,45.5,40.55,43.95
2026-01-09 12:20:00+05:30,43.75,47.4,42.95,47.0
2026-01-09 12:25:00+05:30,47.0,53.9,44.8,51.6
2026-01-09 12:30:00+05:30,50.9,53.0,47.7,51.5
2026-01-09 12:35:00+05:30,51.95,73.4,51.7,66.2
2026-01-09 12:40:00+05:30,65.8,76.3,64.7,67.05
2026-01-09 12:45:00+05:30,68.6,77.85,67.05,72.0
2026-01-09 12:50:00+05:30,72.05,73.65,61.0,64.9
2026-01-09 12:55:00+05:30,65.25,67.35,62.6,63.7
2026-01-09 13:00:00+05:30,63.15,67.1,60.65,64.65
2026-01-09 13:05:00+05:30,64.95,66.25,60.15,63.65
2026-01-09 13:10:00+05:30,64.0,64.15,57.5,61.55
2026-01-09 13:15:00+05:30,61.55,63.95,57.2,57.75
2026-01-09 13:20:00+05:30,57.4,58.65,52.05,58.45
2026-01-09 13:25:00+05:30,58.5,60.5,56.25,57.0
2026-01-09 13:30:00+05:30,56.55,65.25,55.45,62.45
2026-01-09 13:35:00+05:30,62.4,62.4,47.75,52.8
2026-01-09 13:40:00+05:30,52.65,65.5,52.65,63.75
2026-01-09 13:45:00+05:30,63.55,69.25,61.9,63.0
2026-01-09 13:50:00+05:30,63.95,69.25,60.7,67.4
2026-01-09 13:55:00+05:30,67.2,71.2,61.6,62.5
2026-01-09 14:00:00+05:30,62.65,68.0,60.05,64.45
2026-01-09 14:05:00+05:30,64.7,66.95,61.15,63.7
2026-01-09 14:10:00+05:30,64.05,71.4,63.2,70.3
2026-01-09 14:15:00+05:30,69.85,73.85,65.1,69.45
2026-01-09 14:20:00+05:30,67.7,71.95,66.5,68.8
2026-01-09 14:25:00+05:30,68.75,72.4,63.9,71.1
2026-01-09 14:30:00+05:30,71.2,72.55,67.15,67.15
2026-01-09 14:35:00+05:30,67.2,71.95,64.1,71.95
2026-01-09 14:40:00+05:30,72.15,92.0,71.65,73.95
2026-01-09 14:45:00+05:30,74.4,75.25,69.05,70.8
2026-01-09 14:50:00+05:30,70.0,74.75,69.65,71.15
2026-01-09 14:55:00+05:30,70.8,71.3,64.9,67.45
2026-01-09 15:00:00+05:30,68.2,74.0,64.9,67.9
2026-01-09 15:05:00+05:30,67.3,69.5,59.25,63.2
2026-01-09 15:10:00+05:30,63.7,65.0,58.0,60.85
2026-01-09 15:15:00+05:30,61.05,66.9,61.05,65.9
2026-01-09 15:20:00+05:30,65.0,65.3,58.2,63.0
2026-01-09 15:25:00+05:30,63.15,63.7,54.5,55.0
2026-01-12 09:15:00+05:30,54.0,84.45,54.0,84.3
2026-01-12 09:20:00+05:30,85.0,113.1,84.5,108.2
2026-01-12 09:25:00+05:30,108.25,133.35,105.2,127.7
2026-01-12 09:30:00+05:30,129.2,129.9,101.4,111.65
2026-01-12 09:35:00+05:30,112.7,119.2,99.65,109.25
