date,open,high,low,close
2026-06-03 09:15:00+05:30,67.0,182.95,66.95,179.65
2026-06-03 09:20:00+05:30,179.65,192.95,178.35,184.65
2026-06-03 09:25:00+05:30,184.65,205.0,182.0,191.85
2026-06-03 09:30:00+05:30,191.85,212.7,185.2,211.65
2026-06-03 09:35:00+05:30,211.65,214.9,195.35,201.0
2026-06-03 09:40:00+05:30,201.0,210.35,198.0,201.35
2026-06-03 09:45:00+05:30,201.8,210.75,194.8,198.85
2026-06-03 09:50:00+05:30,198.85,215.65,183.15,215.65
2026-06-03 09:55:00+05:30,215.2,224.0,197.75,207.1
2026-06-03 10:00:00+05:30,207.1,212.3,189.7,189.7
2026-06-03 10:05:00+05:30,189.7,204.3,187.65,204.3
2026-06-03 10:10:00+05:30,205.0,221.85,205.0,218.7
2026-06-03 10:15:00+05:30,218.7,227.05,199.45,201.1
2026-06-03 10:20:00+05:30,201.1,205.85,191.95,204.6
2026-06-03 10:25:00+05:30,204.6,211.0,197.15,208.15
2026-06-03 10:30:00+05:30,208.15,232.0,203.0,225.45
2026-06-03 10:35:00+05:30,225.45,229.0,208.4,216.5
2026-06-03 10:40:00+05:30,216.5,220.75,206.2,220.2
2026-06-03 10:45:00+05:30,220.2,224.7,210.7,211.8
2026-06-03 10:50:00+05:30,211.3,222.05,209.5,210.3
2026-06-03 10:55:00+05:30,210.3,226.1,209.6,221.35
2026-06-03 11:00:00+05:30,221.35,230.3,213.55,224.0
2026-06-03 11:05:00+05:30,224.0,238.75,222.75,234.7
2026-06-03 11:10:00+05:30,234.7,237.3,226.45,233.7
2026-06-03 11:15:00+05:30,233.7,235.0,216.95,221.15
2026-06-03 11:20:00+05:30,221.15,227.55,209.85,219.75
2026-06-03 11:25:00+05:30,219.75,231.9,215.4,225.25
2026-06-03 11:30:00+05:30,225.25,227.25,213.15,220.0
2026-06-03 11:35:00+05:30,220.0,233.9,219.65,229.45
2026-06-03 11:40:00+05:30,229.45,236.0,220.6,226.55
2026-06-03 11:45:00+05:30,226.55,226.6,219.6,223.35
2026-06-03 11:50:00+05:30,223.35,229.7,218.55,224.9
2026-06-03 11:55:00+05:30,224.9,241.05,224.2,239.35
2026-06-03 12:00:00+05:30,239.35,273.45,233.1,259.95
2026-06-03 12:05:00+05:30,260.2,262.5,245.8,249.85
2026-06-03 12:10:00+05:30,249.85,258.05,245.65,250.8
2026-06-03 12:15:00+05:30,251.1,255.6,243.8,248.7
2026-06-03 12:20:00+05:30,248.75,250.4,235.95,241.7
2026-06-03 12:25:00+05:30,241.7,242.9,204.05,209.9
2026-06-03 12:30:00+05:30,209.9,209.9,169.9,171.05
2026-06-03 12:35:00+05:30,171.05,174.0,149.0,152.25
2026-06-03 12:40:00+05:30,152.25,156.5,143.3,155.65
2026-06-03 12:45:00+05:30,155.65,166.8,151.2,162.95
2026-06-03 12:50:00+05:30,162.95,178.85,156.1,177.2
2026-06-03 12:55:00+05:30,177.2,181.4,169.3,178.45
2026-06-03 13:00:00+05:30,178.45,178.7,164.0,168.3
2026-06-03 13:05:00+05:30,168.3,176.95,166.5,174.15
2026-06-03 13:10:00+05:30,173.85,179.0,164.65,165.05
2026-06-03 13:15:00+05:30,161.25,169.3,156.1,164.05
2026-06-03 13:20:00+05:30,164.05,164.1,148.25,150.9
2026-06-03 13:25:00+05:30,150.9,154.4,145.6,149.65
2026-06-03 13:30:00+05:30,149.65,160.5,147.45,152.05
2026-06-03 13:35:00+05:30,152.05,157.25,146.2,154.2
2026-06-03 13:40:00+05:30,154.45,160.0,144.7,157.65
2026-06-03 13:45:00+05:30,157.65,157.65,106.35,124.75
