date,open,high,low,close
2026-06-09 09:15:00+05:30,200.0,213.05,189.85,206.05
2026-06-09 09:20:00+05:30,206.0,210.8,201.05,207.85
2026-06-09 09:25:00+05:30,207.85,209.0,201.25,203.5
2026-06-09 09:30:00+05:30,204.0,216.0,203.65,211.5
2026-06-09 09:35:00+05:30,211.5,213.5,198.0,202.65
2026-06-09 09:40:00+05:30,202.0,203.8,195.0,195.25
2026-06-09 09:45:00+05:30,195.25,204.7,186.15,190.1
2026-06-09 09:50:00+05:30,190.1,204.85,188.05,202.8
2026-06-09 09:55:00+05:30,202.8,202.95,190.95,191.6
2026-06-09 10:00:00+05:30,191.6,196.15,187.05,188.3
2026-06-09 10:05:00+05:30,188.4,191.25,182.0,188.25
2026-06-09 10:10:00+05:30,188.25,189.15,184.3,186.0
2026-06-09 10:15:00+05:30,186.0,189.35,182.45,186.8
2026-06-09 10:20:00+05:30,186.8,187.4,177.0,180.3
2026-06-09 10:25:00+05:30,180.3,184.35,178.45,182.0
2026-06-09 10:30:00+05:30,182.0,183.95,175.0,179.45
2026-06-09 10:35:00+05:30,179.45,179.45,175.0,176.9
2026-06-09 10:40:00+05:30,176.9,182.9,174.0,182.9
2026-06-09 10:45:00+05:30,182.25,183.25,164.6,164.6
2026-06-09 10:50:00+05:30,165.05,178.0,165.05,177.45
2026-06-09 10:55:00+05:30,177.45,178.55,172.35,175.2
2026-06-09 11:00:00+05:30,175.2,178.0,173.0,177.5
2026-06-09 11:05:00+05:30,177.5,179.9,173.85,176.0
2026-06-09 11:10:00+05:30,176.0,176.3,170.95,171.85
2026-06-09 11:15:00+05:30,171.85,176.65,170.15,175.0
2026-06-09 11:20:00+05:30,175.0,175.6,157.15,158.7
2026-06-09 11:25:00+05:30,158.7,167.75,156.0,164.55
2026-06-09 11:30:00+05:30,164.55,168.5,164.05,168.05
2026-06-09 11:35:00+05:30,168.05,175.1,167.5,173.95
2026-06-09 11:40:00+05:30,173.95,175.85,166.7,174.3
2026-06-09 11:45:00+05:30,174.3,187.9,172.4,179.0
2026-06-09 11:50:00+05:30,179.0,183.0,173.7,178.8
2026-06-09 11:55:00+05:30,178.8,183.3,177.55,181.75
2026-06-09 12:00:00+05:30,181.75,188.05,177.4,180.0
2026-06-09 12:05:00+05:30,179.8,181.0,175.1,178.1
2026-06-09 12:10:00+05:30,178.1,183.4,177.5,182.2
2026-06-09 12:15:00+05:30,182.2,186.0,181.0,185.95
2026-06-09 12:20:00+05:30,185.95,189.85,183.3,185.85
2026-06-09 12:25:00+05:30,185.85,189.2,184.25,189.2
2026-06-09 12:30:00+05:30,188.5,198.8,187.05,195.9
2026-06-09 12:35:00+05:30,195.9,198.5,190.0,192.95
2026-06-09 12:40:00+05:30,192.95,194.8,181.85,186.95
2026-06-09 12:45:00+05:30,186.95,192.9,183.25,186.5
2026-06-09 12:50:00+05:30,186.5,187.5,177.35,183.4
2026-06-09 12:55:00+05:30,183.4,183.4,173.45,176.85
2026-06-09 13:00:00+05:30,176.85,181.85,176.25,180.6
2026-06-09 13:05:00+05:30,180.6,184.8,178.0,179.8
2026-06-09 13:10:00+05:30,179.8,189.0,179.8,188.6
2026-06-09 13:15:00+05:30,188.6,193.5,184.7,188.0
2026-06-09 13:20:00+05:30,188.0,188.5,178.25,182.65
2026-06-09 13:25:00+05:30,182.65,184.7,180.0,184.55
2026-06-09 13:30:00+05:30,184.55,184.6,175.2,181.95
2026-06-09 13:35:00+05:30,181.95,192.0,181.05,191.0
2026-06-09 13:40:00+05:30,191.4,197.0,186.4,195.45
2026-06-09 13:45:00+05:30,195.45,195.45,188.5,189.7
2026-06-09 13:50:00+05:30,189.7,191.1,180.1,181.45
2026-06-09 13:55:00+05:30,181.45,185.05,176.65,181.2
2026-06-09 14:00:00+05:30,181.2,182.75,177.95,180.75
2026-06-09 14:05:00+05:30,180.75,188.65,180.0,188.5
2026-06-09 14:10:00+05:30,188.2,190.75,185.05,186.1
2026-06-09 14:15:00+05:30,186.1,190.0,182.3,187.6
2026-06-09 14:20:00+05:30,187.6,187.6,179.9,184.25
2026-06-09 14:25:00+05:30,184.25,190.0,184.0,189.9
2026-06-09 14:30:00+05:30,189.9,193.95,186.3,193.5
2026-06-09 14:35:00+05:30,193.5,206.95,185.9,204.0
2026-06-09 14:40:00+05:30,203.8,221.85,203.8,215.0
2026-06-09 14:45:00+05:30,215.25,217.1,207.35,208.9
2026-06-09 14:50:00+05:30,208.9,222.0,208.05,220.1
2026-06-09 14:55:00+05:30,220.6,224.8,215.5,220.65
2026-06-09 15:00:00+05:30,220.65,220.65,205.5,213.6
2026-06-09 15:05:00+05:30,213.7,222.65,213.7,222.55
2026-06-09 15:10:00+05:30,222.55,222.75,218.0,221.05
2026-06-09 15:15:00+05:30,221.05,221.05,218.0,218.0
2026-06-09 15:20:00+05:30,218.0,222.0,216.0,220.95
2026-06-09 15:25:00+05:30,220.35,229.0,220.0,227.55
2026-06-10 09:15:00+05:30,209.0,253.8,161.5,244.9
2026-06-10 09:20:00+05:30,244.9,248.7,227.9,242.6
2026-06-10 09:25:00+05:30,242.6,248.45,235.8,247.65
