date,open,high,low,close
2026-06-01 09:15:00+05:30,11,12.9,6.65,10.1
2026-06-01 09:20:00+05:30,10,13.75,9.45,11.9
2026-06-01 09:25:00+05:30,11.9,13.45,11.15,12.55
2026-06-01 09:30:00+05:30,12.5,13.25,10.1,10.75
2026-06-01 09:35:00+05:30,10.75,14,10.45,10.45
2026-06-01 09:40:00+05:30,10.4,13.1,9.6,12.4
2026-06-01 09:45:00+05:30,12.4,13.25,11.4,12.1
2026-06-01 09:50:00+05:30,12,12.7,10.8,11.2
2026-06-01 09:55:00+05:30,11.2,13.65,11.05,13.2
2026-06-01 10:00:00+05:30,13.25,17.35,12.6,16.8
2026-06-01 10:05:00+05:30,16.95,17,13.25,13.45
2026-06-01 10:10:00+05:30,13.35,14.9,13.05,14.9
2026-06-01 10:15:00+05:30,14.85,16.1,13.8,14.55
2026-06-01 10:20:00+05:30,14.75,15.45,13.8,15.45
2026-06-01 10:25:00+05:30,15.2,16.85,14.25,16.45
2026-06-01 10:30:00+05:30,16.4,20,14.6,17.95
2026-06-01 10:35:00+05:30,17.85,19.7,15,16.1
2026-06-01 10:40:00+05:30,16.1,16.95,14.75,15.9
2026-06-01 10:45:00+05:30,15.85,16.05,12.2,12.85
2026-06-01 10:50:00+05:30,13.05,13.35,10.9,11.25
2026-06-01 10:55:00+05:30,11.35,13.05,11.05,12.7
2026-06-01 11:00:00+05:30,12.65,12.8,10.9,11.55
2026-06-01 11:05:00+05:30,11.55,11.95,9.85,10.3
2026-06-01 11:10:00+05:30,10.1,10.85,10,10.3
2026-06-01 11:15:00+05:30,10.25,10.6,8.95,10.05
2026-06-01 11:20:00+05:30,10.15,11.15,9.9,11.1
2026-06-01 11:25:00+05:30,11.4,12.9,10.65,12.55
2026-06-01 11:30:00+05:30,12.65,14.45,12.1,13.9
2026-06-01 11:35:00+05:30,13.75,14,11.2,11.4
2026-06-01 11:40:00+05:30,11.35,12.65,10.75,12.3
2026-06-01 11:45:00+05:30,12.2,13.75,11.7,11.7
2026-06-01 11:50:00+05:30,11.9,12.3,11.1,12
2026-06-01 11:55:00+05:30,12.05,21.4,11.95,20.45
2026-06-01 12:00:00+05:30,20.65,22,18,19.5
2026-06-01 12:05:00+05:30,19.5,19.9,17,17.8
2026-06-01 12:10:00+05:30,17.75,18.55,14.7,15.15
2026-06-01 12:15:00+05:30,15.4,17.6,14.8,15.45
2026-06-01 12:20:00+05:30,15.75,17.6,15.65,17
2026-06-01 12:25:00+05:30,16.95,17.6,16.1,17.5
2026-06-01 12:30:00+05:30,17.55,18.15,16.15,17.35
2026-06-01 12:35:00+05:30,17.6,17.6,15.6,17.2
2026-06-01 12:40:00+05:30,17.45,18.7,16.55,16.55
2026-06-01 12:45:00+05:30,16.55,17.05,13.65,14.25
2026-06-01 12:50:00+05:30,14.25,16.2,13.95,15.05
2026-06-01 12:55:00+05:30,15.1,18.8,14.8,17.05
2026-06-01 13:00:00+05:30,16.7,18.95,16.2,18.45
2026-06-01 13:05:00+05:30,18.4,22.5,17.4,20.85
2026-06-01 13:10:00+05:30,21.25,25.95,20.55,23.35
2026-06-01 13:15:00+05:30,23.55,23.55,20.25,21.45
2026-06-01 13:20:00+05:30,21.25,22.35,20.25,21.45
2026-06-01 13:25:00+05:30,21.5,22.65,18.85,18.9
2026-06-01 13:30:00+05:30,18.85,20.75,17,19.25
2026-06-01 13:35:00+05:30,19.35,21.1,18.05,18.9
2026-06-01 13:40:00+05:30,18.85,20.35,18,19.7
2026-06-01 13:45:00+05:30,19.7,21.8,19.5,20.8
2026-06-01 13:50:00+05:30,20.65,23.3,20.4,22.2
2026-06-01 13:55:00+05:30,22.4,23.2,20.5,21.95
2026-06-01 14:00:00+05:30,21.5,26.85,21.5,24
2026-06-01 14:05:00+05:30,23.9,26.15,23.9,25.8
2026-06-01 14:10:00+05:30,26,30.25,24.55,28.1
2026-06-01 14:15:00+05:30,27.9,32,26.35,26.7
2026-06-01 14:20:00+05:30,27.8,33.55,27.05,32.35
2026-06-01 14:25:00+05:30,32,32.7,29.2,31.05
2026-06-01 14:30:00+05:30,31.4,34.7,28.55,30.65
2026-06-01 14:35:00+05:30,30.65,30.9,24.6,24.6
2026-06-01 14:40:00+05:30,24.7,26.9,24.55,25.6
2026-06-01 14:45:00+05:30,25.5,29.45,23.65,27.65
2026-06-01 14:50:00+05:30,27.45,33.4,27.45,30.25
2026-06-01 14:55:00+05:30,30.15,32.8,28.45,29.85
2026-06-01 15:00:00+05:30,29.8,35.3,25.65,25.8
2026-06-01 15:05:00+05:30,25.3,28.25,22.55,23.05
2026-06-01 15:10:00+05:30,22.8,25.45,21.35,25.2
2026-06-01 15:15:00+05:30,25.2,28.1,23.3,27.4
2026-06-01 15:20:00+05:30,27.55,27.7,24.15,24.3
2026-06-01 15:25:00+05:30,24,26.4,22.75,23.15
2026-06-02 09:15:00+05:30,52.95,66.45,41.3,43.3
2026-06-02 09:20:00+05:30,45,49.25,40.65,43.1
2026-06-02 09:25:00+05:30,43.1,46.55,36.5,42.5
2026-06-02 09:30:00+05:30,41.7,46.6,35.3,37.25
2026-06-02 09:35:00+05:30,37.05,38.35,29.35,32.6
2026-06-02 09:40:00+05:30,32.25,42.65,28.8,29.35
2026-06-02 09:45:00+05:30,28.9,39.25,28.2,34.15
2026-06-02 09:50:00+05:30,34.35,37.3,24.65,25.55
2026-06-02 09:55:00+05:30,25.1,27.65,22.45,23.55
2026-06-02 10:00:00+05:30,23.75,26.1,21.7,22.85
2026-06-02 10:05:00+05:30,23.05,29.1,22.05,27.75
2026-06-02 10:10:00+05:30,27.9,32.45,26.7,31.45
2026-06-02 10:15:00+05:30,32.3,39.9,20.7,20.9
2026-06-02 10:20:00+05:30,20.75,21.7,12.6,13.55
2026-06-02 10:25:00+05:30,13.9,14.7,11,11.55
2026-06-02 10:30:00+05:30,11.25,14.95,11.2,13.7
2026-06-02 10:35:00+05:30,13.3,16,12.05,12.5
2026-06-02 10:40:00+05:30,12.55,13.4,10.7,11.95
2026-06-02 10:45:00+05:30,12.35,15.15,11.7,14.55
2026-06-02 10:50:00+05:30,14.5,23.35,13.2,20.75
2026-06-02 10:55:00+05:30,20.55,29.55,19.9,21.7
2026-06-02 11:00:00+05:30,21.6,23.3,18,20.8
2026-06-02 11:05:00+05:30,20.4,23.8,18.05,22.45
2026-06-02 11:10:00+05:30,22.45,22.45,14.55,15.8
2026-06-02 11:15:00+05:30,15.85,20.75,15.35,15.45
2026-06-02 11:20:00+05:30,15.1,15.45,8.2,8.45
2026-06-02 11:25:00+05:30,8.3,12.5,8.3,9.8
2026-06-02 11:30:00+05:30,9.5,11.55,9.4,10.9
2026-06-02 11:35:00+05:30,11.25,22.6,10.35,21.85
2026-06-02 11:40:00+05:30,20.6,21.1,14.35,17.85
2026-06-02 11:45:00+05:30,18.1,21.45,14.45,16.5
2026-06-02 11:50:00+05:30,16.35,17.8,14.55,17.7
2026-06-02 11:55:00+05:30,17.3,24.75,15.25,23.45
2026-06-02 12:00:00+05:30,24.25,27.6,16.85,20.5
2026-06-02 12:05:00+05:30,20.75,24.1,15.5,15.9
2026-06-02 12:10:00+05:30,16.2,24.4,16.1,22.1
2026-06-02 12:15:00+05:30,22.2,23.15,17.9,19.65
2026-06-02 12:20:00+05:30,19.5,21.55,17.65,19.2
2026-06-02 12:25:00+05:30,19.55,23,17.75,21.75
2026-06-02 12:30:00+05:30,22.05,23.35,7.1,9.45
2026-06-02 12:35:00+05:30,9.6,10.75,7.85,8.05
2026-06-02 12:40:00+05:30,8.35,8.6,5.15,5.35
2026-06-02 12:45:00+05:30,5.3,5.3,3.05,3.4
2026-06-02 12:50:00+05:30,3.4,3.45,2.65,2.95
2026-06-02 12:55:00+05:30,2.95,2.95,2.15,2.55
2026-06-02 13:00:00+05:30,2.45,2.85,2.25,2.3
2026-06-02 13:05:00+05:30,2.25,2.45,1.9,2.15
2026-06-02 13:10:00+05:30,2.15,2.15,1.45,1.7
2026-06-02 13:15:00+05:30,1.75,1.95,1.7,1.85
2026-06-02 13:20:00+05:30,1.85,1.95,1.2,1.25
2026-06-02 13:25:00+05:30,1.15,1.25,0.95,1
2026-06-02 13:30:00+05:30,1,1.1,0.8,0.9
2026-06-02 13:35:00+05:30,0.9,1.1,0.9,0.95
2026-06-02 13:40:00+05:30,0.9,1.05,0.85,0.85
2026-06-02 13:45:00+05:30,0.9,0.9,0.55,0.55
2026-06-02 13:50:00+05:30,0.6,0.7,0.55,0.7
2026-06-02 13:55:00+05:30,0.7,0.9,0.65,0.85
2026-06-02 14:00:00+05:30,0.85,0.9,0.75,0.85
2026-06-02 14:05:00+05:30,0.85,0.85,0.75,0.8
2026-06-02 14:10:00+05:30,0.8,0.95,0.75,0.85
2026-06-02 14:15:00+05:30,0.85,1.1,0.8,0.95
2026-06-02 14:20:00+05:30,0.95,1,0.65,0.8
2026-06-02 14:25:00+05:30,0.8,0.8,0.45,0.5
2026-06-02 14:30:00+05:30,0.55,0.55,0.45,0.45
2026-06-02 14:35:00+05:30,0.45,0.55,0.4,0.5
2026-06-02 14:40:00+05:30,0.5,0.6,0.35,0.35
2026-06-02 14:45:00+05:30,0.35,0.4,0.2,0.25
2026-06-02 14:50:00+05:30,0.25,0.25,0.15,0.2
2026-06-02 14:55:00+05:30,0.15,0.2,0.1,0.2
