date,open,high,low,close
2026-06-02 09:15:00+05:30,235.4,235.4,159.0,175.7
2026-06-02 09:20:00+05:30,175.7,179.9,168.3,176.55
2026-06-02 09:25:00+05:30,176.55,182.35,169.75,173.75
2026-06-02 09:30:00+05:30,173.75,178.75,165.8,175.6
2026-06-02 09:35:00+05:30,175.6,181.9,172.5,177.45
2026-06-02 09:40:00+05:30,177.45,181.5,167.35,178.0
2026-06-02 09:45:00+05:30,178.0,178.55,167.05,172.4
2026-06-02 09:50:00+05:30,172.4,183.35,168.3,183.35
2026-06-02 09:55:00+05:30,183.35,189.7,179.3,187.05
2026-06-02 10:00:00+05:30,187.05,187.8,180.55,184.4
2026-06-02 10:05:00+05:30,184.05,185.75,173.3,175.85
2026-06-02 10:10:00+05:30,175.85,177.55,169.0,169.95
2026-06-02 10:15:00+05:30,169.95,180.6,161.1,179.8
2026-06-02 10:20:00+05:30,179.8,204.65,178.5,199.4
2026-06-02 10:25:00+05:30,199.0,212.35,196.0,206.75
2026-06-02 10:30:00+05:30,206.75,209.75,190.8,196.75
2026-06-02 10:35:00+05:30,196.75,200.0,189.8,199.35
2026-06-02 10:40:00+05:30,199.35,204.7,197.0,200.1
2026-06-02 10:45:00+05:30,200.1,201.5,188.0,190.2
2026-06-02 10:50:00+05:30,190.2,194.0,174.6,178.45
2026-06-02 10:55:00+05:30,178.55,178.85,167.85,175.6
2026-06-02 11:00:00+05:30,175.6,181.2,172.45,176.55
2026-06-02 11:05:00+05:30,176.55,179.9,172.45,172.65
2026-06-02 11:10:00+05:30,172.65,185.0,172.0,183.1
2026-06-02 11:15:00+05:30,183.1,184.5,174.1,183.7
2026-06-02 11:20:00+05:30,183.7,205.1,183.15,204.95
2026-06-02 11:25:00+05:30,204.95,205.35,189.0,196.6
2026-06-02 11:30:00+05:30,196.6,198.0,190.0,192.9
2026-06-02 11:35:00+05:30,192.9,193.3,170.0,170.8
2026-06-02 11:40:00+05:30,170.8,181.7,170.8,176.05
2026-06-02 11:45:00+05:30,176.05,181.3,171.6,178.55
2026-06-02 11:50:00+05:30,178.55,181.3,176.0,177.0
2026-06-02 11:55:00+05:30,177.0,180.65,170.8,172.2
2026-06-02 12:00:00+05:30,172.2,176.75,166.8,172.0
2026-06-02 12:05:00+05:30,172.0,178.2,168.7,177.35
2026-06-02 12:10:00+05:30,177.35,177.65,165.95,168.4
2026-06-02 12:15:00+05:30,168.4,172.95,167.0,169.4
2026-06-02 12:20:00+05:30,169.4,171.4,167.0,169.15
2026-06-02 12:25:00+05:30,169.15,171.5,164.6,166.15
2026-06-02 12:30:00+05:30,166.15,202.3,164.55,192.1
2026-06-02 12:35:00+05:30,192.1,198.55,187.35,196.8
2026-06-02 12:40:00+05:30,196.8,214.65,193.9,212.7
2026-06-02 12:45:00+05:30,213.7,258.55,213.7,255.25
2026-06-02 12:50:00+05:30,255.25,269.0,250.3,259.9
2026-06-02 12:55:00+05:30,260.0,280.85,255.8,273.25
2026-06-02 13:00:00+05:30,273.65,274.15,259.25,270.65
2026-06-02 13:05:00+05:30,271.85,280.9,266.05,273.0
2026-06-02 13:10:00+05:30,273.0,300.0,270.0,289.8
2026-06-02 13:15:00+05:30,289.8,295.4,282.65,286.45
2026-06-02 13:20:00+05:30,286.45,294.0,277.0,291.65
2026-06-02 13:25:00+05:30,291.65,304.0,288.45,302.1
2026-06-02 13:30:00+05:30,302.1,320.95,302.1,316.75
2026-06-02 13:35:00+05:30,316.75,316.9,293.45,299.15
2026-06-02 13:40:00+05:30,299.15,301.05,285.5,293.9
2026-06-02 13:45:00+05:30,293.9,313.0,292.45,309.55
2026-06-02 13:50:00+05:30,309.55,313.9,297.25,305.35
2026-06-02 13:55:00+05:30,306.0,307.0,293.75,299.9
2026-06-02 14:00:00+05:30,299.9,312.2,299.0,310.45
2026-06-02 14:05:00+05:30,310.75,315.7,304.95,312.95
2026-06-02 14:10:00+05:30,312.95,317.25,307.0,313.0
2026-06-02 14:15:00+05:30,313.0,316.7,296.2,297.0
2026-06-02 14:20:00+05:30,297.0,326.0,295.5,314.25
2026-06-02 14:25:00+05:30,314.25,314.6,298.6,303.8
2026-06-02 14:30:00+05:30,304.5,311.85,299.6,304.95
2026-06-02 14:35:00+05:30,305.75,306.65,273.95,274.75
2026-06-02 14:40:00+05:30,274.75,275.75,248.65,255.9
2026-06-02 14:45:00+05:30,255.9,264.9,244.8,264.9
2026-06-02 14:50:00+05:30,264.45,272.6,259.0,264.65
2026-06-02 14:55:00+05:30,264.4,265.0,249.75,251.9
2026-06-02 15:00:00+05:30,251.6,280.0,242.0,275.45
2026-06-02 15:05:00+05:30,275.45,290.9,274.3,289.7
2026-06-02 15:10:00+05:30,289.7,301.9,286.5,294.65
2026-06-02 15:15:00+05:30,294.65,308.3,291.6,301.2
2026-06-02 15:20:00+05:30,300.75,304.0,296.65,300.75
2026-06-02 15:25:00+05:30,301.05,301.05,291.0,293.0
2026-06-03 09:15:00+05:30,237.0,237.0,160.35,170.55
2026-06-03 09:20:00+05:30,170.55,173.45,165.1,168.9
2026-06-03 09:25:00+05:30,168.9,170.0,157.95,165.4
2026-06-03 09:30:00+05:30,165.4,169.7,154.1,154.6
2026-06-03 09:35:00+05:30,154.6,162.5,153.5,159.45
2026-06-03 09:40:00+05:30,158.8,161.5,154.65,159.6
2026-06-03 09:45:00+05:30,159.6,161.8,154.3,158.9
2026-06-03 09:50:00+05:30,158.9,166.25,147.1,147.1
2026-06-03 09:55:00+05:30,147.65,155.8,140.8,150.1
2026-06-03 10:00:00+05:30,150.1,160.95,148.65,160.95
2026-06-03 10:05:00+05:30,160.95,164.2,151.85,151.85
2026-06-03 10:10:00+05:30,151.85,152.4,144.35,145.9
2026-06-03 10:15:00+05:30,145.9,153.7,142.75,152.85
2026-06-03 10:20:00+05:30,152.75,158.6,150.45,151.55
2026-06-03 10:25:00+05:30,151.55,155.6,143.6,146.95
2026-06-03 10:30:00+05:30,146.4,149.85,135.15,137.6
2026-06-03 10:35:00+05:30,137.6,143.7,134.3,140.75
2026-06-03 10:40:00+05:30,140.75,145.75,139.45,140.05
2026-06-03 10:45:00+05:30,140.05,144.75,137.65,144.35
2026-06-03 10:50:00+05:30,144.0,145.5,139.6,145.4
2026-06-03 10:55:00+05:30,145.4,145.6,137.45,139.15
2026-06-03 11:00:00+05:30,139.15,142.5,135.3,137.2
2026-06-03 11:05:00+05:30,137.2,137.7,129.4,131.45
2026-06-03 11:10:00+05:30,131.45,135.0,130.6,132.35
2026-06-03 11:15:00+05:30,132.35,139.75,132.0,137.8
2026-06-03 11:20:00+05:30,137.8,143.75,134.5,138.45
2026-06-03 11:25:00+05:30,138.45,141.6,132.1,135.2
2026-06-03 11:30:00+05:30,135.2,142.45,134.45,138.0
2026-06-03 11:35:00+05:30,138.0,138.25,130.3,132.45
2026-06-03 11:40:00+05:30,132.45,136.0,127.4,133.25
2026-06-03 11:45:00+05:30,133.25,135.9,132.25,133.9
2026-06-03 11:50:00+05:30,133.9,136.95,131.3,133.95
2026-06-03 11:55:00+05:30,133.95,134.0,126.0,128.2
2026-06-03 12:00:00+05:30,128.2,130.4,116.5,122.15
2026-06-03 12:05:00+05:30,122.15,125.15,121.3,123.55
2026-06-03 12:10:00+05:30,123.55,125.3,120.9,124.95
2026-06-03 12:15:00+05:30,124.95,127.65,123.1,125.75
2026-06-03 12:20:00+05:30,125.75,130.8,125.0,127.8
2026-06-03 12:25:00+05:30,127.8,149.75,127.35,146.6
2026-06-03 12:30:00+05:30,146.6,170.9,146.4,169.55
2026-06-03 12:35:00+05:30,170.0,198.55,166.85,190.2
2026-06-03 12:40:00+05:30,190.2,203.25,188.85,191.4
2026-06-03 12:45:00+05:30,191.75,193.9,170.8,176.9
2026-06-03 12:50:00+05:30,176.0,183.75,157.35,159.5
2026-06-03 12:55:00+05:30,159.85,170.95,158.6,163.3
2026-06-03 13:00:00+05:30,163.3,174.15,161.4,170.55
2026-06-03 13:05:00+05:30,170.55,172.65,163.3,166.0
2026-06-03 13:10:00+05:30,166.0,175.45,161.1,175.25
2026-06-03 13:15:00+05:30,175.25,188.6,172.5,179.7
2026-06-03 13:20:00+05:30,179.7,197.0,179.7,193.5
2026-06-03 13:25:00+05:30,193.5,198.8,187.75,193.65
2026-06-03 13:30:00+05:30,193.65,195.9,178.6,189.7
2026-06-03 13:35:00+05:30,189.7,195.85,183.3,186.5
2026-06-03 13:40:00+05:30,186.3,201.25,181.1,184.8
2026-06-03 13:45:00+05:30,186.4,263.0,185.55,231.45
2026-06-03 13:50:00+05:30,231.45,235.9,215.65,224.5
2026-06-03 13:55:00+05:30,224.5,224.85,208.4,219.8
2026-06-03 14:00:00+05:30,219.8,243.55,217.5,241.3
2026-06-03 14:05:00+05:30,241.3,247.2,228.35,239.8
2026-06-03 14:10:00+05:30,239.8,245.0,234.35,243.5
2026-06-03 14:15:00+05:30,243.35,266.0,240.25,261.5
2026-06-03 14:20:00+05:30,261.5,287.75,255.1,282.0
2026-06-03 14:25:00+05:30,282.0,282.0,263.0,265.5
2026-06-03 14:30:00+05:30,265.5,291.0,264.65,284.0
2026-06-03 14:35:00+05:30,284.0,288.0,265.0,284.75
2026-06-03 14:40:00+05:30,284.75,297.5,282.15,288.7
2026-06-03 14:45:00+05:30,289.35,291.0,276.0,281.7
2026-06-03 14:50:00+05:30,281.7,299.95,276.9,290.0
2026-06-03 14:55:00+05:30,290.0,290.1,274.4,285.25
2026-06-03 15:00:00+05:30,285.25,296.45,252.85,270.3
2026-06-03 15:05:00+05:30,270.3,284.75,237.0,237.8
2026-06-03 15:10:00+05:30,237.9,243.0,223.35,241.45
