date,open,high,low,close
2026-06-08 09:15:00+05:30,95.0,95.05,59.05,81.9
2026-06-08 09:20:00+05:30,81.9,87.7,72.9,82.55
2026-06-08 09:25:00+05:30,82.55,91.8,80.3,90.45
2026-06-08 09:30:00+05:30,90.45,104.85,87.35,102.45
2026-06-08 09:35:00+05:30,102.45,103.0,83.85,94.35
2026-06-08 09:40:00+05:30,94.85,100.2,87.8,95.85
2026-06-08 09:45:00+05:30,95.85,102.3,81.0,81.45
2026-06-08 09:50:00+05:30,81.45,97.8,79.45,97.5
2026-06-08 09:55:00+05:30,97.5,111.75,95.95,107.5
2026-06-08 10:00:00+05:30,107.5,108.25,89.15,89.15
2026-06-08 10:05:00+05:30,89.15,102.25,86.1,97.6
2026-06-08 10:10:00+05:30,97.6,100.9,91.4,91.75
2026-06-08 10:15:00+05:30,91.5,97.7,89.55,97.7
2026-06-08 10:20:00+05:30,97.7,98.7,91.45,93.75
2026-06-08 10:25:00+05:30,93.75,95.0,87.35,92.2
2026-06-08 10:30:00+05:30,92.2,113.0,91.35,110.9
2026-06-08 10:35:00+05:30,110.9,112.0,102.55,107.75
2026-06-08 10:40:00+05:30,107.5,116.45,94.0,94.0
2026-06-08 10:45:00+05:30,93.4,104.45,90.7,101.65
2026-06-08 10:50:00+05:30,101.65,105.65,97.55,100.35
2026-06-08 10:55:00+05:30,100.0,108.85,94.05,106.7
2026-06-08 11:00:00+05:30,106.7,108.1,99.5,101.9
2026-06-08 11:05:00+05:30,101.9,103.7,93.0,99.75
2026-06-08 11:10:00+05:30,99.75,101.45,94.05,97.35
2026-06-08 11:15:00+05:30,97.35,98.9,89.1,91.45
2026-06-08 11:20:00+05:30,91.45,95.5,88.0,91.55
2026-06-08 11:25:00+05:30,91.55,94.4,88.75,91.65
2026-06-08 11:30:00+05:30,91.65,98.2,90.0,95.6
2026-06-08 11:35:00+05:30,95.6,103.75,92.85,100.3
2026-06-08 11:40:00+05:30,100.3,102.7,96.7,99.3
2026-06-08 11:45:00+05:30,99.3,105.35,95.35,103.4
2026-06-08 11:50:00+05:30,103.4,104.2,96.45,100.25
2026-06-08 11:55:00+05:30,100.35,105.65,98.0,101.0
2026-06-08 12:00:00+05:30,101.0,103.7,95.3,100.55
2026-06-08 12:05:00+05:30,100.55,103.0,92.0,99.75
2026-06-08 12:10:00+05:30,99.75,111.25,97.6,105.4
2026-06-08 12:15:00+05:30,105.4,107.9,99.65,102.4
2026-06-08 12:20:00+05:30,102.4,110.55,102.2,110.45
2026-06-08 12:25:00+05:30,110.45,110.8,103.2,105.8
2026-06-08 12:30:00+05:30,106.1,110.55,101.6,106.7
2026-06-08 12:35:00+05:30,106.7,109.6,104.35,108.0
2026-06-08 12:40:00+05:30,108.0,127.0,105.3,118.5
2026-06-08 12:45:00+05:30,118.5,126.0,112.35,120.5
2026-06-08 12:50:00+05:30,120.5,145.2,120.35,127.1
2026-06-08 12:55:00+05:30,127.1,132.15,121.7,122.0
2026-06-08 13:00:00+05:30,121.9,126.55,111.0,112.4
2026-06-08 13:05:00+05:30,112.4,115.65,104.45,109.25
2026-06-08 13:10:00+05:30,109.25,109.4,104.95,107.5
2026-06-08 13:15:00+05:30,107.5,114.55,104.65,106.4
2026-06-08 13:20:00+05:30,106.4,109.2,99.55,103.15
