date,open,high,low,close
2026-03-05 09:15:00+05:30,359.15,359.15,245.7,275.75
2026-03-05 09:20:00+05:30,271.8,288.45,254.1,255.3
2026-03-05 09:25:00+05:30,254.0,282.35,254.0,276.0
2026-03-05 09:30:00+05:30,273.4,286.5,260.8,273.9
2026-03-05 09:35:00+05:30,274.85,291.65,268.85,291.05
2026-03-05 09:40:00+05:30,292.3,293.85,256.2,258.3
2026-03-05 09:45:00+05:30,256.0,264.7,250.5,257.05
2026-03-05 09:50:00+05:30,257.05,257.35,231.95,233.2
2026-03-05 09:55:00+05:30,234.1,241.85,230.0,240.4
2026-03-05 10:00:00+05:30,240.05,243.45,226.0,242.25
2026-03-05 10:05:00+05:30,243.2,243.55,229.05,238.4
2026-03-05 10:10:00+05:30,238.0,255.4,237.45,255.4
2026-03-05 10:15:00+05:30,253.8,255.0,246.95,255.0
2026-03-05 10:20:00+05:30,253.95,261.7,250.5,259.05
2026-03-05 10:25:00+05:30,258.9,287.6,256.85,270.05
2026-03-05 10:30:00+05:30,269.5,278.4,262.75,273.75
2026-03-05 10:35:00+05:30,271.55,271.55,235.75,237.3
2026-03-05 10:40:00+05:30,236.6,238.5,224.0,227.35
2026-03-05 10:45:00+05:30,225.8,235.0,224.9,235.0
2026-03-05 10:50:00+05:30,235.75,237.7,229.2,229.2
2026-03-05 10:55:00+05:30,228.95,229.9,219.75,224.3
2026-03-05 11:00:00+05:30,224.2,232.0,221.3,226.3
2026-03-05 11:05:00+05:30,227.2,230.65,216.8,226.65
2026-03-05 11:10:00+05:30,226.0,229.35,222.8,229.35
2026-03-05 11:15:00+05:30,229.0,232.05,215.0,221.9
2026-03-05 11:20:00+05:30,222.4,232.8,222.4,229.75
2026-03-05 11:25:00+05:30,230.05,242.75,226.9,240.45
2026-03-05 11:30:00+05:30,241.0,243.35,227.3,237.1
2026-03-05 11:35:00+05:30,237.0,252.5,237.0,245.05
2026-03-05 11:40:00+05:30,246.65,254.7,243.75,254.7
2026-03-05 11:45:00+05:30,255.35,267.75,252.45,266.1
2026-03-05 11:50:00+05:30,268.6,271.55,248.7,248.7
2026-03-05 11:55:00+05:30,250.1,269.35,247.1,257.25
2026-03-05 12:00:00+05:30,257.1,259.3,250.3,252.65
2026-03-05 12:05:00+05:30,253.65,259.45,250.6,251.8
2026-03-05 12:10:00+05:30,251.2,251.85,235.55,235.55
2026-03-05 12:15:00+05:30,235.75,247.8,235.75,241.75
2026-03-05 12:20:00+05:30,240.95,241.25,224.3,232.6
2026-03-05 12:25:00+05:30,232.8,235.4,218.2,219.2
2026-03-05 12:30:00+05:30,217.3,220.3,210.4,219.65
2026-03-05 12:35:00+05:30,220.0,226.2,217.65,219.25
2026-03-05 12:40:00+05:30,219.0,223.45,215.55,222.35
2026-03-05 12:45:00+05:30,221.8,231.2,221.8,224.85
2026-03-05 12:50:00+05:30,224.5,227.9,214.4,214.7
2026-03-05 12:55:00+05:30,214.75,220.75,213.5,217.2
2026-03-05 13:00:00+05:30,216.6,226.0,212.4,225.3
2026-03-05 13:05:00+05:30,225.0,225.5,217.5,220.05
2026-03-05 13:10:00+05:30,220.3,225.0,215.1,220.45
2026-03-05 13:15:00+05:30,220.15,226.35,218.6,223.5
2026-03-05 13:20:00+05:30,223.3,226.9,219.45,223.5
2026-03-05 13:25:00+05:30,223.85,227.9,216.15,216.15
2026-03-05 13:30:00+05:30,216.05,230.0,211.75,222.85
2026-03-05 13:35:00+05:30,223.3,240.8,222.0,237.0
2026-03-05 13:40:00+05:30,237.6,242.45,227.35,233.65
