date,open,high,low,close
2026-03-09 09:15:00+05:30,60.05,74.0,31.2,57.25
2026-03-09 09:20:00+05:30,58.55,58.6,48.8,48.9
2026-03-09 09:25:00+05:30,48.55,53.65,45.9,52.15
2026-03-09 09:30:00+05:30,52.5,55.9,47.7,52.55
2026-03-09 09:35:00+05:30,52.6,53.45,50.3,51.0
2026-03-09 09:40:00+05:30,50.5,51.65,46.25,46.45
2026-03-09 09:45:00+05:30,46.45,49.15,43.05,46.85
2026-03-09 09:50:00+05:30,47.2,49.85,46.45,48.75
2026-03-09 09:55:00+05:30,48.75,49.7,46.85,47.55
2026-03-09 10:00:00+05:30,47.3,49.9,45.7,45.95
2026-03-09 10:05:00+05:30,45.8,52.0,45.8,50.65
2026-03-09 10:10:00+05:30,50.45,52.35,48.0,48.0
2026-03-09 10:15:00+05:30,47.7,47.7,41.95,42.15
2026-03-09 10:20:00+05:30,42.5,45.3,40.1,40.65
2026-03-09 10:25:00+05:30,40.35,42.3,39.2,40.85
2026-03-09 10:30:00+05:30,40.95,41.4,36.9,37.0
2026-03-09 10:35:00+05:30,37.15,41.6,36.1,39.35
2026-03-09 10:40:00+05:30,39.0,40.8,38.2,40.0
2026-03-09 10:45:00+05:30,40.2,40.2,37.1,37.8
2026-03-09 10:50:00+05:30,37.7,53.4,37.6,50.55
2026-03-09 10:55:00+05:30,49.65,59.65,49.1,51.5
2026-03-09 11:00:00+05:30,52.65,53.5,46.35,47.95
2026-03-09 11:05:00+05:30,48.4,49.6,43.15,43.9
2026-03-09 11:10:00+05:30,44.1,45.05,38.4,43.25
2026-03-09 11:15:00+05:30,42.75,46.3,38.9,45.3
2026-03-09 11:20:00+05:30,45.4,52.0,44.9,48.05
2026-03-09 11:25:00+05:30,47.95,54.9,45.1,51.7
2026-03-09 11:30:00+05:30,52.05,55.2,49.2,52.8
2026-03-09 11:35:00+05:30,52.75,58.75,52.1,56.2
2026-03-09 11:40:00+05:30,57.2,64.35,55.1,56.25
2026-03-09 11:45:00+05:30,56.8,60.95,53.1,54.65
2026-03-09 11:50:00+05:30,54.6,56.4,52.7,53.95
2026-03-09 11:55:00+05:30,54.0,55.5,50.95,52.0
2026-03-09 12:00:00+05:30,52.0,54.35,48.9,53.5
2026-03-09 12:05:00+05:30,53.35,53.35,44.75,44.85
2026-03-09 12:10:00+05:30,44.65,47.35,43.1,45.95
2026-03-09 12:15:00+05:30,46.05,47.0,43.65,44.15
2026-03-09 12:20:00+05:30,44.15,47.05,42.8,47.05
2026-03-09 12:25:00+05:30,47.0,48.0,44.5,45.9
2026-03-09 12:30:00+05:30,45.85,47.1,42.7,42.7
2026-03-09 12:35:00+05:30,42.5,49.0,42.15,48.15
2026-03-09 12:40:00+05:30,48.65,54.0,48.05,51.4
2026-03-09 12:45:00+05:30,51.65,54.8,47.5,47.9
2026-03-09 12:50:00+05:30,47.75,55.75,47.7,55.2
2026-03-09 12:55:00+05:30,54.85,63.8,53.4,61.4
2026-03-09 13:00:00+05:30,61.6,62.65,54.95,59.15
2026-03-09 13:05:00+05:30,58.35,60.75,55.8,55.8
2026-03-09 13:10:00+05:30,56.4,57.9,51.8,53.5
2026-03-09 13:15:00+05:30,53.2,55.95,50.95,54.05
2026-03-09 13:20:00+05:30,54.0,62.3,52.25,52.25
2026-03-09 13:25:00+05:30,51.85,60.3,51.1,57.45
2026-03-09 13:30:00+05:30,58.65,78.0,57.4,66.95
2026-03-09 13:35:00+05:30,65.4,68.35,60.7,66.2
2026-03-09 13:40:00+05:30,66.55,70.0,63.2,68.4
2026-03-09 13:45:00+05:30,67.75,67.75,57.3,60.6
2026-03-09 13:50:00+05:30,60.35,67.35,58.7,64.7
2026-03-09 13:55:00+05:30,64.5,67.65,58.4,58.7
2026-03-09 14:00:00+05:30,59.15,61.5,54.45,61.0
2026-03-09 14:05:00+05:30,60.95,62.95,58.6,60.75
2026-03-09 14:10:00+05:30,60.75,62.05,54.1,54.6
2026-03-09 14:15:00+05:30,55.55,56.45,51.95,54.0
2026-03-09 14:20:00+05:30,53.65,64.35,52.0,63.95
2026-03-09 14:25:00+05:30,64.45,69.0,59.1,63.3
2026-03-09 14:30:00+05:30,64.5,70.25,60.5,62.05
2026-03-09 14:35:00+05:30,62.7,68.05,60.05,67.8
2026-03-09 14:40:00+05:30,67.25,71.45,60.45,70.0
2026-03-09 14:45:00+05:30,69.75,99.7,67.7,81.45
2026-03-09 14:50:00+05:30,82.6,90.15,72.0,84.25
2026-03-09 14:55:00+05:30,84.05,86.25,74.45,85.65
