date,open,high,low,close
2026-03-13 09:15:00+05:30,465.7,517.65,454.45,468.75
2026-03-13 09:20:00+05:30,468.75,472.6,448.55,458.5
2026-03-13 09:25:00+05:30,458.5,488.05,453.9,483.8
2026-03-13 09:30:00+05:30,483.8,500.0,471.65,479.35
2026-03-13 09:35:00+05:30,479.35,486.0,461.75,471.55
2026-03-13 09:40:00+05:30,473.1,474.7,458.6,459.1
2026-03-13 09:45:00+05:30,457.0,458.1,431.0,439.45
2026-03-13 09:50:00+05:30,436.6,437.7,418.7,419.65
2026-03-13 09:55:00+05:30,418.15,425.4,409.0,409.25
2026-03-13 10:00:00+05:30,409.6,421.15,400.85,415.75
2026-03-13 10:05:00+05:30,415.6,415.6,394.4,403.05
2026-03-13 10:10:00+05:30,403.05,408.25,391.9,402.0
2026-03-13 10:15:00+05:30,403.0,407.85,394.65,395.4
2026-03-13 10:20:00+05:30,395.2,405.15,387.0,391.25
2026-03-13 10:25:00+05:30,392.05,412.3,390.6,410.65
2026-03-13 10:30:00+05:30,409.95,414.85,394.2,395.4
2026-03-13 10:35:00+05:30,395.0,402.8,393.15,402.0
2026-03-13 10:40:00+05:30,402.0,404.0,383.75,393.55
2026-03-13 10:45:00+05:30,393.4,399.0,382.55,395.55
2026-03-13 10:50:00+05:30,396.1,425.0,395.75,416.15
2026-03-13 10:55:00+05:30,417.1,421.8,406.15,421.65
2026-03-13 11:00:00+05:30,421.1,421.1,408.05,414.7
2026-03-13 11:05:00+05:30,413.85,413.85,396.55,397.4
2026-03-13 11:10:00+05:30,394.8,400.8,386.6,388.0
2026-03-13 11:15:00+05:30,388.35,393.7,378.0,389.9
2026-03-13 11:20:00+05:30,388.2,401.65,387.55,394.8
2026-03-13 11:25:00+05:30,394.8,428.3,394.4,425.55
2026-03-13 11:30:00+05:30,425.55,447.1,420.55,437.1
2026-03-13 11:35:00+05:30,437.8,454.05,429.0,449.0
2026-03-13 11:40:00+05:30,449.8,452.6,439.25,445.15
2026-03-13 11:45:00+05:30,444.15,445.5,432.8,441.25
