date,open,high,low,close
2026-03-12 09:15:00+05:30,450.0,450.0,378.15,379.4
2026-03-12 09:20:00+05:30,378.75,392.45,370.95,390.4
2026-03-12 09:25:00+05:30,389.15,396.3,381.95,392.3
2026-03-12 09:30:00+05:30,388.7,398.4,382.95,388.35
2026-03-12 09:35:00+05:30,386.65,399.8,377.55,378.6
2026-03-12 09:40:00+05:30,377.25,396.4,376.2,394.0
2026-03-12 09:45:00+05:30,394.4,405.5,388.65,403.95
2026-03-12 09:50:00+05:30,404.55,432.4,401.25,432.4
2026-03-12 09:55:00+05:30,429.45,457.65,422.45,454.15
2026-03-12 10:00:00+05:30,455.95,455.95,434.3,436.65
2026-03-12 10:05:00+05:30,435.0,435.35,399.2,405.55
2026-03-12 10:10:00+05:30,405.55,417.25,389.0,392.55
2026-03-12 10:15:00+05:30,390.75,393.7,376.75,389.5
2026-03-12 10:20:00+05:30,390.0,401.0,387.15,392.95
2026-03-12 10:25:00+05:30,392.85,441.25,392.85,425.55
2026-03-12 10:30:00+05:30,425.55,442.35,403.75,438.9
2026-03-12 10:35:00+05:30,438.15,465.2,428.45,454.25
2026-03-12 10:40:00+05:30,458.8,465.9,435.0,443.05
2026-03-12 10:45:00+05:30,443.9,450.9,434.8,438.6
2026-03-12 10:50:00+05:30,438.85,452.05,421.55,435.4
2026-03-12 10:55:00+05:30,437.3,470.25,426.05,466.65
2026-03-12 11:00:00+05:30,466.9,490.0,465.3,487.95
2026-03-12 11:05:00+05:30,489.45,493.95,462.0,465.0
2026-03-12 11:10:00+05:30,467.2,485.1,464.55,466.4
2026-03-12 11:15:00+05:30,466.4,478.75,422.95,440.3
2026-03-12 11:20:00+05:30,439.4,441.25,414.8,441.25
2026-03-12 11:25:00+05:30,441.6,448.35,432.35,444.15
2026-03-12 11:30:00+05:30,444.15,444.15,424.4,438.7
2026-03-12 11:35:00+05:30,441.05,442.5,427.2,438.2
2026-03-12 11:40:00+05:30,438.2,449.6,430.85,446.7
2026-03-12 11:45:00+05:30,448.25,454.55,430.2,435.4
2026-03-12 11:50:00+05:30,435.4,449.9,434.15,446.3
2026-03-12 11:55:00+05:30,446.3,462.05,440.5,460.2
2026-03-12 12:00:00+05:30,460.0,467.1,456.9,459.6
2026-03-12 12:05:00+05:30,459.6,464.35,441.3,447.0
2026-03-12 12:10:00+05:30,447.0,463.6,434.65,463.6
2026-03-12 12:15:00+05:30,463.6,463.6,440.65,443.45
2026-03-12 12:20:00+05:30,445.55,468.65,445.55,461.2
2026-03-12 12:25:00+05:30,464.0,468.2,450.8,456.1
2026-03-12 12:30:00+05:30,456.1,458.55,438.45,442.85
2026-03-12 12:35:00+05:30,442.9,445.6,427.25,432.9
2026-03-12 12:40:00+05:30,432.25,437.75,428.15,435.55
2026-03-12 12:45:00+05:30,435.0,442.95,430.55,439.95
2026-03-12 12:50:00+05:30,439.95,441.5,421.85,426.7
2026-03-12 12:55:00+05:30,428.3,437.85,422.4,431.1
2026-03-12 13:00:00+05:30,431.3,431.3,412.6,420.15
2026-03-12 13:05:00+05:30,420.15,420.15,391.55,405.6
2026-03-12 13:10:00+05:30,405.6,432.55,404.8,429.35
2026-03-12 13:15:00+05:30,428.3,434.95,419.05,423.65
2026-03-12 13:20:00+05:30,423.65,452.55,416.95,446.35
2026-03-12 13:25:00+05:30,446.35,472.5,443.3,468.15
2026-03-12 13:30:00+05:30,468.15,518.55,468.15,506.2
2026-03-12 13:35:00+05:30,506.3,516.8,500.35,506.9
2026-03-12 13:40:00+05:30,513.05,526.85,484.65,490.3
2026-03-12 13:45:00+05:30,489.9,502.55,481.6,489.1
2026-03-12 13:50:00+05:30,489.1,496.45,470.2,477.8
2026-03-12 13:55:00+05:30,477.8,477.8,445.65,446.15
2026-03-12 14:00:00+05:30,446.15,463.65,443.9,456.4
2026-03-12 14:05:00+05:30,456.4,470.05,432.05,435.15
2026-03-12 14:10:00+05:30,435.15,458.6,426.65,454.0
2026-03-12 14:15:00+05:30,454.0,466.65,443.1,458.05
2026-03-12 14:20:00+05:30,458.05,464.75,439.5,440.85
2026-03-12 14:25:00+05:30,441.6,451.85,429.1,430.4
2026-03-12 14:30:00+05:30,430.4,449.0,427.8,445.9
2026-03-12 14:35:00+05:30,445.9,445.9,431.1,433.6
2026-03-12 14:40:00+05:30,435.2,435.2,399.15,403.8
2026-03-12 14:45:00+05:30,402.15,408.05,395.45,402.35
2026-03-12 14:50:00+05:30,402.35,404.2,356.85,372.25
2026-03-12 14:55:00+05:30,372.1,382.0,364.4,379.85
2026-03-12 15:00:00+05:30,381.5,385.3,362.5,385.3
2026-03-12 15:05:00+05:30,386.4,402.3,383.4,402.3
2026-03-12 15:10:00+05:30,400.9,409.0,386.2,388.0
2026-03-12 15:15:00+05:30,393.3,397.65,385.4,397.65
2026-03-12 15:20:00+05:30,397.3,397.4,381.6,383.2
2026-03-12 15:25:00+05:30,382.1,387.7,374.8,385.45
2026-03-13 09:15:00+05:30,277.0,277.0,231.65,237.75
2026-03-13 09:20:00+05:30,237.9,241.2,223.8,232.7
