date,open,high,low,close
2026-03-27 09:15:00+05:30,100.0,100.0,76.6,92.85
2026-03-27 09:20:00+05:30,94.25,97.5,88.1,94.0
2026-03-27 09:25:00+05:30,94.65,97.3,91.15,96.45
2026-03-27 09:30:00+05:30,96.8,106.4,94.1,106.05
2026-03-27 09:35:00+05:30,105.55,111.05,104.4,105.3
2026-03-27 09:40:00+05:30,104.6,105.8,95.85,96.5
2026-03-27 09:45:00+05:30,96.2,102.6,95.9,99.1
2026-03-27 09:50:00+05:30,99.8,106.35,98.4,106.35
2026-03-27 09:55:00+05:30,106.2,111.45,105.0,107.15
2026-03-27 10:00:00+05:30,107.5,108.4,93.9,95.75
2026-03-27 10:05:00+05:30,96.0,102.15,94.55,96.3
2026-03-27 10:10:00+05:30,96.35,108.2,96.35,106.6
2026-03-27 10:15:00+05:30,106.55,107.3,103.1,105.75
2026-03-27 10:20:00+05:30,105.4,105.75,93.0,94.0
2026-03-27 10:25:00+05:30,94.15,99.2,93.2,95.45
2026-03-27 10:30:00+05:30,95.05,95.55,87.1,92.55
2026-03-27 10:35:00+05:30,92.05,94.05,86.0,88.25
2026-03-27 10:40:00+05:30,88.7,96.3,88.3,95.85
2026-03-27 10:45:00+05:30,95.9,99.95,94.35,98.45
2026-03-27 10:50:00+05:30,98.6,105.65,97.5,104.7
2026-03-27 10:55:00+05:30,105.0,106.2,97.6,97.65
2026-03-27 11:00:00+05:30,97.75,98.2,89.9,93.1
2026-03-27 11:05:00+05:30,94.1,96.0,89.5,90.3
2026-03-27 11:10:00+05:30,89.95,94.0,88.95,91.25
2026-03-27 11:15:00+05:30,90.9,97.25,89.15,94.8
2026-03-27 11:20:00+05:30,94.9,99.25,94.1,98.6
2026-03-27 11:25:00+05:30,98.0,106.3,96.0,102.75
2026-03-27 11:30:00+05:30,102.7,106.25,98.75,103.2
2026-03-27 11:35:00+05:30,100.2,102.4,93.55,95.6
2026-03-27 11:40:00+05:30,95.65,101.3,92.8,93.5
2026-03-27 11:45:00+05:30,94.75,96.3,92.25,94.75
2026-03-27 11:50:00+05:30,94.85,95.8,90.0,90.95
2026-03-27 11:55:00+05:30,91.6,97.45,91.6,96.3
2026-03-27 12:00:00+05:30,96.5,103.65,94.2,97.45
2026-03-27 12:05:00+05:30,96.95,98.55,91.45,95.1
2026-03-27 12:10:00+05:30,95.6,98.55,93.6,96.15
2026-03-27 12:15:00+05:30,96.3,102.55,95.25,101.1
2026-03-27 12:20:00+05:30,100.95,102.3,93.8,93.9
2026-03-27 12:25:00+05:30,93.95,95.6,85.0,85.55
2026-03-27 12:30:00+05:30,86.5,93.5,86.4,87.85
2026-03-27 12:35:00+05:30,88.0,91.2,86.35,90.0
2026-03-27 12:40:00+05:30,90.15,93.5,87.9,88.35
2026-03-27 12:45:00+05:30,88.45,92.35,87.7,88.65
2026-03-27 12:50:00+05:30,88.6,91.6,84.75,87.8
2026-03-27 12:55:00+05:30,87.65,90.95,83.4,90.0
2026-03-27 13:00:00+05:30,89.65,96.0,87.7,96.0
2026-03-27 13:05:00+05:30,96.0,96.25,92.15,94.8
2026-03-27 13:10:00+05:30,95.2,96.15,87.25,87.4
2026-03-27 13:15:00+05:30,87.95,90.35,73.95,80.6
2026-03-27 13:20:00+05:30,81.8,86.45,81.5,84.45
2026-03-27 13:25:00+05:30,84.2,88.2,79.65,88.0
2026-03-27 13:30:00+05:30,88.0,94.5,87.4,91.4
2026-03-27 13:35:00+05:30,91.5,97.05,88.75,96.45
2026-03-27 13:40:00+05:30,97.8,97.95,85.6,90.85
2026-03-27 13:45:00+05:30,90.85,92.55,88.1,92.2
2026-03-27 13:50:00+05:30,92.5,92.75,86.65,90.6
2026-03-27 13:55:00+05:30,90.2,94.85,88.85,90.35
2026-03-27 14:00:00+05:30,90.95,93.4,88.05,91.1
2026-03-27 14:05:00+05:30,90.6,100.15,88.25,94.0
2026-03-27 14:10:00+05:30,94.4,102.55,91.05,92.05
2026-03-27 14:15:00+05:30,92.8,100.1,90.55,99.2
2026-03-27 14:20:00+05:30,99.45,105.05,96.35,103.1
2026-03-27 14:25:00+05:30,102.6,105.8,98.6,100.35
2026-03-27 14:30:00+05:30,99.95,109.05,98.95,107.35
2026-03-27 14:35:00+05:30,107.75,122.6,104.25,118.65
2026-03-27 14:40:00+05:30,119.2,121.15,105.6,111.0
2026-03-27 14:45:00+05:30,110.8,114.3,108.25,110.6
2026-03-27 14:50:00+05:30,110.8,112.5,105.55,107.0
2026-03-27 14:55:00+05:30,107.2,110.55,103.6,108.9
2026-03-27 15:00:00+05:30,111.5,113.75,100.85,103.0
2026-03-27 15:05:00+05:30,104.05,113.5,103.6,108.2
2026-03-27 15:10:00+05:30,108.35,110.5,104.95,106.65
2026-03-27 15:15:00+05:30,106.7,110.85,106.15,107.3
2026-03-27 15:20:00+05:30,106.75,109.6,106.6,107.9
2026-03-27 15:25:00+05:30,108.0,114.5,105.6,110.4
2026-03-30 09:15:00+05:30,110.35,177.0,87.1,137.2
2026-03-30 09:20:00+05:30,138.55,148.35,123.75,132.75
2026-03-30 09:25:00+05:30,133.15,138.3,106.3,109.1
2026-03-30 09:30:00+05:30,108.1,110.05,72.0,75.05
2026-03-30 09:35:00+05:30,75.25,80.9,67.05,74.25
2026-03-30 09:40:00+05:30,75.1,87.0,66.5,83.6
2026-03-30 09:45:00+05:30,82.9,92.3,71.15,88.3
2026-03-30 09:50:00+05:30,88.5,93.7,73.85,89.6
2026-03-30 09:55:00+05:30,89.85,99.15,83.15,88.7
2026-03-30 10:00:00+05:30,89.0,93.15,67.8,75.0
2026-03-30 10:05:00+05:30,75.8,94.1,74.8,90.95
2026-03-30 10:10:00+05:30,91.6,110.65,87.8,87.8
2026-03-30 10:15:00+05:30,88.7,106.5,84.05,102.95
2026-03-30 10:20:00+05:30,103.05,113.95,98.85,108.15
2026-03-30 10:25:00+05:30,109.2,112.8,97.75,112.8
2026-03-30 10:30:00+05:30,111.1,117.2,106.4,109.65
2026-03-30 10:35:00+05:30,109.05,111.4,94.85,100.55
2026-03-30 10:40:00+05:30,101.55,118.1,94.45,116.4
2026-03-30 10:45:00+05:30,116.3,118.25,99.6,104.85
2026-03-30 10:50:00+05:30,106.1,128.3,101.8,125.05
2026-03-30 10:55:00+05:30,124.35,133.55,106.95,126.25
2026-03-30 11:00:00+05:30,126.4,128.1,110.5,113.8
2026-03-30 11:05:00+05:30,114.6,133.4,112.85,133.4
2026-03-30 11:10:00+05:30,141.3,148.3,129.0,132.45
2026-03-30 11:15:00+05:30,129.85,136.8,124.15,125.8
2026-03-30 11:20:00+05:30,127.15,132.8,122.15,126.35
2026-03-30 11:25:00+05:30,124.55,139.9,124.3,135.6
2026-03-30 11:30:00+05:30,137.2,143.45,108.9,111.0
2026-03-30 11:35:00+05:30,110.35,110.6,91.35,100.65
2026-03-30 11:40:00+05:30,101.65,118.65,98.9,115.7
2026-03-30 11:45:00+05:30,115.95,137.3,115.95,134.35
2026-03-30 11:50:00+05:30,134.9,141.95,122.45,124.15
2026-03-30 11:55:00+05:30,123.6,127.4,112.1,118.1
2026-03-30 12:00:00+05:30,118.65,120.35,76.75,81.3
2026-03-30 12:05:00+05:30,80.9,82.6,62.5,75.5
2026-03-30 12:10:00+05:30,76.2,78.7,67.0,72.05
2026-03-30 12:15:00+05:30,71.4,77.55,66.15,75.15
2026-03-30 12:20:00+05:30,75.85,88.85,58.8,88.85
2026-03-30 12:25:00+05:30,86.45,103.35,82.95,89.6
2026-03-30 12:30:00+05:30,90.0,99.4,86.05,92.8
2026-03-30 12:35:00+05:30,92.05,94.85,61.0,63.75
2026-03-30 12:40:00+05:30,64.6,67.9,58.65,66.8
2026-03-30 12:45:00+05:30,66.6,81.1,64.75,79.8
2026-03-30 12:50:00+05:30,79.45,112.0,77.25,97.65
2026-03-30 12:55:00+05:30,98.15,106.3,93.4,94.95
2026-03-30 13:00:00+05:30,95.0,109.1,91.55,100.75
2026-03-30 13:05:00+05:30,101.9,107.25,92.1,97.65
2026-03-30 13:10:00+05:30,100.0,106.45,87.6,92.75
2026-03-30 13:15:00+05:30,96.2,101.25,82.0,98.65
2026-03-30 13:20:00+05:30,98.35,102.45,91.1,97.5
2026-03-30 13:25:00+05:30,97.65,122.8,96.75,103.1
2026-03-30 13:30:00+05:30,103.15,115.95,93.6,93.6
2026-03-30 13:35:00+05:30,92.6,102.6,83.55,85.35
2026-03-30 13:40:00+05:30,85.45,118.95,82.1,110.35
2026-03-30 13:45:00+05:30,111.0,123.6,102.0,123.6
2026-03-30 13:50:00+05:30,121.5,143.35,114.75,140.5
2026-03-30 13:55:00+05:30,141.1,142.1,118.5,133.15
2026-03-30 14:00:00+05:30,134.0,136.1,82.95,101.8
2026-03-30 14:05:00+05:30,102.0,108.55,87.1,108.4
2026-03-30 14:10:00+05:30,109.25,138.0,106.3,133.2
2026-03-30 14:15:00+05:30,134.55,142.05,125.65,136.95
