date,open,high,low,close
2026-05-20 09:15:00+05:30,50,75.85,48,72.25
2026-05-20 09:20:00+05:30,73.2,74.85,68.45,70.8
2026-05-20 09:25:00+05:30,71.05,78,69.75,76
2026-05-20 09:30:00+05:30,76.65,94.35,76.15,91.2
2026-05-20 09:35:00+05:30,91.6,96.6,87.75,94.8
2026-05-20 09:40:00+05:30,95,95,83.85,93.15
2026-05-20 09:45:00+05:30,92,95,86.1,89
2026-05-20 09:50:00+05:30,88.85,95,87.7,90.15
2026-05-20 09:55:00+05:30,90.45,97.35,86.4,94.45
2026-05-20 10:00:00+05:30,94.05,94.6,80.1,83.45
2026-05-20 10:05:00+05:30,83.4,84.35,78.05,82.55
2026-05-20 10:10:00+05:30,82.3,86.3,80.35,81.1
2026-05-20 10:15:00+05:30,81.05,86.25,79.95,82.15
2026-05-20 10:20:00+05:30,81.45,84.25,73.7,73.95
2026-05-20 10:25:00+05:30,74.35,89.75,73.8,89.75
2026-05-20 10:30:00+05:30,89.9,104.15,89.25,103.3
2026-05-20 10:35:00+05:30,102.3,108.5,100.35,100.35
2026-05-20 10:40:00+05:30,101.6,101.6,89.95,90.85
2026-05-20 10:45:00+05:30,90.6,90.85,80.4,82.55
2026-05-20 10:50:00+05:30,83,93.65,82.6,92.95
2026-05-20 10:55:00+05:30,94,95.3,90.35,94.5
2026-05-20 11:00:00+05:30,95.35,104.5,95.35,100.35
2026-05-20 11:05:00+05:30,100.6,104.5,98.15,103.15
2026-05-20 11:10:00+05:30,102.95,104.95,97.75,97.8
2026-05-20 11:15:00+05:30,97.2,101.2,94.25,94.85
2026-05-20 11:20:00+05:30,94.55,110.55,93.8,101.5
2026-05-20 11:25:00+05:30,101.75,110.05,101.75,107.4
2026-05-20 11:30:00+05:30,106,115,102.9,106.75
2026-05-20 11:35:00+05:30,106.4,112.2,103.15,108.05
2026-05-20 11:40:00+05:30,107.7,110.25,103.4,108
2026-05-20 11:45:00+05:30,108.1,128.3,108.1,124.15
2026-05-20 11:50:00+05:30,124.05,126,112.65,117.65
