date,open,high,low,close
2026-05-12 09:15:00+05:30,90.8,109.35,90.8,95.1
2026-05-12 09:20:00+05:30,95.6,107.75,95.6,107.75
2026-05-12 09:25:00+05:30,108.4,119.3,108.4,117.45
2026-05-12 09:30:00+05:30,118.55,124.2,115,119.35
2026-05-12 09:35:00+05:30,118.65,121,112.4,119.5
2026-05-12 09:40:00+05:30,119.5,120.05,110.2,116.2
2026-05-12 09:45:00+05:30,116.2,118.25,112.55,114.9
2026-05-12 09:50:00+05:30,114.9,116.7,112,116.5
2026-05-12 09:55:00+05:30,115.55,119.9,112.45,118.6
2026-05-12 10:00:00+05:30,118.6,121.4,115,116
2026-05-12 10:05:00+05:30,116,121.3,112.55,114.6
2026-05-12 10:10:00+05:30,114.6,116.65,108.35,109
2026-05-12 10:15:00+05:30,109.65,111,102.1,104
2026-05-12 10:20:00+05:30,103.6,115.4,101.95,113.7
2026-05-12 10:25:00+05:30,113.7,122,113.4,117.75
2026-05-12 10:30:00+05:30,117.7,121.45,116.7,119.9
2026-05-12 10:35:00+05:30,119.9,125,114.5,120.15
2026-05-12 10:40:00+05:30,120.3,120.45,107,112
2026-05-12 10:45:00+05:30,112,120.15,110.85,119.6
2026-05-12 10:50:00+05:30,119.6,120.2,116.8,118.3
2026-05-12 10:55:00+05:30,118.3,119.05,112.75,115.4
2026-05-12 11:00:00+05:30,115.4,124.25,115,122.85
2026-05-12 11:05:00+05:30,123.1,127.35,120.05,122.9
2026-05-12 11:10:00+05:30,122.9,124.05,121.05,123.2
2026-05-12 11:15:00+05:30,123.2,123.9,115.3,117
2026-05-12 11:20:00+05:30,116.85,123.45,115.95,123.1
2026-05-12 11:25:00+05:30,123.15,124,119.55,124
2026-05-12 11:30:00+05:30,125.15,127.9,120.9,121.65
2026-05-12 11:35:00+05:30,121.25,126.4,120.9,121.9
2026-05-12 11:40:00+05:30,121.9,122.45,117.7,118.55
2026-05-12 11:45:00+05:30,118.25,124.9,118.25,122.5
2026-05-12 11:50:00+05:30,121.25,125.1,118.7,118.9
2026-05-12 11:55:00+05:30,118.9,122.75,116.65,122.2
2026-05-12 12:00:00+05:30,121.85,128,121.85,126.9
2026-05-12 12:05:00+05:30,126.9,140.9,126.05,139.65
2026-05-12 12:10:00+05:30,139.65,141.8,133.5,139
2026-05-12 12:15:00+05:30,139,141.3,133.5,137
2026-05-12 12:20:00+05:30,137,141.55,136.7,138
2026-05-12 12:25:00+05:30,138,142.8,138,141.95
2026-05-12 12:30:00+05:30,141.95,160.25,141.95,158.45
2026-05-12 12:35:00+05:30,157.95,165.95,155.6,160.1
2026-05-12 12:40:00+05:30,160.1,161.1,151.2,154.6
2026-05-12 12:45:00+05:30,154.6,159.7,148.65,155.65
2026-05-12 12:50:00+05:30,155.65,159,150.7,157.55
2026-05-12 12:55:00+05:30,157,158.7,152.3,156.35
2026-05-12 13:00:00+05:30,156.35,156.35,149.85,151.9
2026-05-12 13:05:00+05:30,151.9,161,151.3,158.55
2026-05-12 13:10:00+05:30,159,162,150.05,150.9
2026-05-12 13:15:00+05:30,150.9,150.9,137.4,142.55
2026-05-12 13:20:00+05:30,144.05,151.15,143.9,150.5
2026-05-12 13:25:00+05:30,150.8,151.6,148,150.05
2026-05-12 13:30:00+05:30,149.6,150.85,142.95,150.7
2026-05-12 13:35:00+05:30,151.4,158.1,150,156.6
2026-05-12 13:40:00+05:30,156.6,161.5,156.05,158.35
2026-05-12 13:45:00+05:30,158.35,162,151.45,154.5
2026-05-12 13:50:00+05:30,154.7,160.25,148.1,159.85
2026-05-12 13:55:00+05:30,159.85,161.9,155.6,160.2
2026-05-12 14:00:00+05:30,161.35,167.55,160.55,164.15
2026-05-12 14:05:00+05:30,164.9,174.1,162,171.9
2026-05-12 14:10:00+05:30,171.9,177.45,169.65,173
2026-05-12 14:15:00+05:30,173.2,175.3,166.7,173.4
2026-05-12 14:20:00+05:30,173.4,175.25,160.7,163.8
2026-05-12 14:25:00+05:30,163.8,172.5,163.05,170.45
2026-05-12 14:30:00+05:30,170.45,181.5,170,181.5
2026-05-12 14:35:00+05:30,181,182,168.15,171.75
