date,open,high,low,close
2026-05-15 09:15:00+05:30,324.85,364.75,286,316.5
2026-05-15 09:20:00+05:30,313,354.35,310.15,352.75
2026-05-15 09:25:00+05:30,349.05,367.8,336.05,360
2026-05-15 09:30:00+05:30,362.2,363.25,335.2,337.5
2026-05-15 09:35:00+05:30,332.25,353.35,325.25,348.65
2026-05-15 09:40:00+05:30,354,383,348.55,380.95
2026-05-15 09:45:00+05:30,383.85,392,366.7,369.35
2026-05-15 09:50:00+05:30,370,394.15,363.75,394.15
2026-05-15 09:55:00+05:30,397,407.65,386.7,387
2026-05-15 10:00:00+05:30,385.7,388.05,359.75,382.4
2026-05-15 10:05:00+05:30,384.9,384.9,357,359
2026-05-15 10:10:00+05:30,360.15,372.95,355.35,369.15
2026-05-15 10:15:00+05:30,370.5,376.7,356.4,359.5
2026-05-15 10:20:00+05:30,361,380,352.75,380
2026-05-15 10:25:00+05:30,382.5,388.5,375.95,386.5
2026-05-15 10:30:00+05:30,383.2,384.85,365.4,378
2026-05-15 10:35:00+05:30,376.75,381.35,361.05,366
2026-05-15 10:40:00+05:30,367.95,383.35,362.15,378
2026-05-15 10:45:00+05:30,378,392.8,374.35,388.4
2026-05-15 10:50:00+05:30,386.5,399.85,378.8,391
2026-05-15 10:55:00+05:30,391,394.45,379.85,388
2026-05-15 11:00:00+05:30,388.4,388.4,350.05,351.75
2026-05-15 11:05:00+05:30,350.4,354.35,316.45,316.8
2026-05-15 11:10:00+05:30,315,327.95,307.95,312.95
2026-05-15 11:15:00+05:30,311.2,318.05,286.7,310.55
2026-05-15 11:20:00+05:30,312.3,314.8,297.7,299.55
2026-05-15 11:25:00+05:30,300.4,304.7,286.4,289.95
2026-05-15 11:30:00+05:30,285.75,300.1,262.1,297.15
2026-05-15 11:35:00+05:30,297.6,307.3,287.2,306
2026-05-15 11:40:00+05:30,307.1,307.1,294.3,304.85
2026-05-15 11:45:00+05:30,304.3,311.15,298.8,303.3
2026-05-15 11:50:00+05:30,303.4,309.15,292.8,295.8
2026-05-15 11:55:00+05:30,294.9,301.75,291.35,301.15
2026-05-15 12:00:00+05:30,299.8,324.95,294.7,321.25
2026-05-15 12:05:00+05:30,323.6,337.6,320,323.7
2026-05-15 12:10:00+05:30,324.35,333.6,317.1,319.15
2026-05-15 12:15:00+05:30,319.15,325,304.45,313.6
2026-05-15 12:20:00+05:30,313.65,314.15,292.5,296.85
2026-05-15 12:25:00+05:30,296.1,311,290.55,291.75
2026-05-15 12:30:00+05:30,294.4,309,290.85,309
2026-05-15 12:35:00+05:30,307.85,316.3,303.55,309.4
2026-05-15 12:40:00+05:30,308.7,334.8,308.7,334.8
2026-05-15 12:45:00+05:30,334.7,347.4,329.65,341.1
2026-05-15 12:50:00+05:30,342.25,353,339.75,345.85
2026-05-15 12:55:00+05:30,345.85,353.6,336.85,348.8
2026-05-15 13:00:00+05:30,348.7,351,336.6,337.7
2026-05-15 13:05:00+05:30,340.1,346.55,329.7,341
2026-05-15 13:10:00+05:30,344,350,334,344.45
2026-05-15 13:15:00+05:30,342,351,333.5,350
2026-05-15 13:20:00+05:30,349.45,350.35,338.1,342.6
2026-05-15 13:25:00+05:30,342.95,347.9,327.45,341
2026-05-15 13:30:00+05:30,341.1,341.25,321.75,325
2026-05-15 13:35:00+05:30,325,335.35,305.3,313
2026-05-15 13:40:00+05:30,313.75,315,301.35,309.4
2026-05-15 13:45:00+05:30,309.55,315.25,274.1,281.8
2026-05-15 13:50:00+05:30,279.95,295.3,272.15,291.05
2026-05-15 13:55:00+05:30,292.6,295.8,274.15,283.05
2026-05-15 14:00:00+05:30,281,285.1,273,273
2026-05-15 14:05:00+05:30,274.15,286.75,272.75,285.65
2026-05-15 14:10:00+05:30,287,293.9,275.65,291.8
2026-05-15 14:15:00+05:30,292.1,299.1,277.75,290.4
2026-05-15 14:20:00+05:30,288.85,291.25,280.85,285.2
2026-05-15 14:25:00+05:30,285.6,285.6,267.95,277
2026-05-15 14:30:00+05:30,281.2,281.2,260.75,273.1
2026-05-15 14:35:00+05:30,273.55,275.25,263.25,267.35
2026-05-15 14:40:00+05:30,269,275.85,261.8,261.8
2026-05-15 14:45:00+05:30,262.7,263,219.9,219.9
2026-05-15 14:50:00+05:30,220.6,226.8,208.25,210.85
2026-05-15 14:55:00+05:30,212.95,232.5,206.3,229
2026-05-15 15:00:00+05:30,228.85,256,223.4,256
2026-05-15 15:05:00+05:30,256.65,259.35,228.85,233.3
2026-05-15 15:10:00+05:30,231.9,237.3,225.2,231.45
2026-05-15 15:15:00+05:30,230.9,230.9,209.3,224.15
2026-05-15 15:20:00+05:30,224.55,232.85,222.8,231.7
2026-05-15 15:25:00+05:30,230.75,259.35,229.1,250.3
2026-05-18 09:15:00+05:30,160,160,90.05,92.4
2026-05-18 09:20:00+05:30,92.5,94.6,84.6,90.75
2026-05-18 09:25:00+05:30,91.05,91.95,78.85,83.35
2026-05-18 09:30:00+05:30,82.8,88.55,77.7,86.75
2026-05-18 09:35:00+05:30,85.75,88.75,71.7,75.4
2026-05-18 09:40:00+05:30,75.5,80.55,70.05,75.35
2026-05-18 09:45:00+05:30,75.5,76.6,67,67.7
2026-05-18 09:50:00+05:30,67.4,69.2,61.1,62.65
2026-05-18 09:55:00+05:30,62.2,65.7,58.65,65.4
2026-05-18 10:00:00+05:30,65.2,72,65,71.4
2026-05-18 10:05:00+05:30,71.1,72.5,62.95,66.8
2026-05-18 10:10:00+05:30,66.95,73.4,65.65,70.5
2026-05-18 10:15:00+05:30,70.4,78.95,67.05,75.5
2026-05-18 10:20:00+05:30,75.45,78,71.15,74.45
2026-05-18 10:25:00+05:30,74.95,75.4,70.35,72.5
2026-05-18 10:30:00+05:30,73.05,86.8,62.4,86
2026-05-18 10:35:00+05:30,87.9,94.9,82.55,88.9
2026-05-18 10:40:00+05:30,89.35,92.35,74.9,82.1
2026-05-18 10:45:00+05:30,79.85,82.4,67.5,76.25
2026-05-18 10:50:00+05:30,76.05,93.5,76.05,92.5
2026-05-18 10:55:00+05:30,92.45,101.4,91.65,99.5
2026-05-18 11:00:00+05:30,99.8,103.7,90.9,94.4
2026-05-18 11:05:00+05:30,93.35,108.15,93.35,104.3
2026-05-18 11:10:00+05:30,104.75,104.75,95.6,101.1
2026-05-18 11:15:00+05:30,101.4,114.25,98.4,112.45
2026-05-18 11:20:00+05:30,112.45,137.2,101.45,132.5
2026-05-18 11:25:00+05:30,132.1,134.1,113.15,115.8
2026-05-18 11:30:00+05:30,114.5,140.15,114.1,137.2
2026-05-18 11:35:00+05:30,136.15,166,132.8,160.65
2026-05-18 11:40:00+05:30,161.55,161.55,136.4,145.4
2026-05-18 11:45:00+05:30,145.4,148.3,120,125.25
2026-05-18 11:50:00+05:30,122.8,125.5,115.65,115.65
2026-05-18 11:55:00+05:30,116.45,123.95,100.95,100.95
2026-05-18 12:00:00+05:30,101.25,107.7,98.3,102.45
2026-05-18 12:05:00+05:30,103.2,119.15,102.8,112.4
2026-05-18 12:10:00+05:30,112.2,135.1,111.95,133.35
2026-05-18 12:15:00+05:30,135.45,142.95,126.8,133.5
2026-05-18 12:20:00+05:30,131.95,140.45,127.35,139.2
