trade_date,open_time,nifty_open,nearest_strike
2026-01-01,09:15:00,26173.3,26150
2026-01-02,09:15:00,26155.1,26150
2026-01-05,09:15:00,26333.7,26350
2026-01-06,09:15:00,26189.7,26200
2026-01-07,09:15:00,26143.1,26150
2026-01-08,09:15:00,26106.5,26100
2026-01-09,09:15:00,25840.4,25850
2026-01-12,09:15:00,25669.05,25650
2026-01-13,09:15:00,25897.35,25900
2026-01-14,09:15:00,25648.55,25650
2026-01-16,09:15:00,25696.05,25700
2026-01-19,09:15:00,25653.1,25650
2026-01-20,09:15:00,25580.3,25600
2026-01-21,09:15:00,25141.0,25150
2026-01-22,09:15:00,25344.15,25350
2026-01-23,09:15:00,25344.6,25350
2026-01-27,09:15:00,25063.35,25050
2026-01-28,09:15:00,25258.85,25250
2026-01-29,09:15:00,25345.0,25350
2026-01-30,09:15:00,25247.55,25250
2026-02-01,09:15:00,25333.75,25350
2026-02-02,09:15:00,24796.5,24800
2026-02-03,09:15:00,26308.05,26300
2026-02-04,09:15:00,25675.05,25700
2026-02-05,09:15:00,25755.9,25750
2026-02-06,09:15:00,25605.8,25600
2026-02-09,09:15:00,25888.7,25900
2026-02-10,09:15:00,25922.65,25900
2026-02-11,09:15:00,25997.45,26000
2026-02-12,09:15:00,25906.7,25900
2026-02-13,09:15:00,25571.15,25550
2026-02-16,09:15:00,25423.6,25400
2026-02-17,09:15:00,25637.95,25650
2026-02-18,09:15:00,25752.65,25750
2026-02-19,09:15:00,25873.35,25850
2026-02-20,09:15:00,25406.55,25400
2026-02-23,09:15:00,25678.4,25700
2026-02-24,09:15:00,25641.8,25650
2026-02-25,09:15:00,25512.6,25500
2026-02-26,09:15:00,25556.3,25550
2026-02-27,09:15:00,25459.85,25450
2026-03-02,09:15:00,24659.25,24650
2026-03-04,09:15:00,24388.8,24400
2026-03-05,09:15:00,24615.95,24600
2026-03-06,09:15:00,24656.4,24650
2026-03-09,09:15:00,23868.05,23850
2026-03-10,09:15:00,24280.8,24300
2026-03-11,09:15:00,24231.85,24250
2026-03-12,09:15:00,23674.85,23650
2026-03-13,09:15:00,23462.5,23450
2026-03-16,09:15:00,23116.1,23100
2026-03-17,09:15:00,23493.2,23500
2026-03-18,09:15:00,23632.9,23650
2026-03-19,09:15:00,23197.75,23200
2026-03-20,09:15:00,23110.15,23100
2026-03-23,09:15:00,22824.35,22800
2026-03-24,09:15:00,22878.45,22900
2026-03-25,09:15:00,23064.4,23050
2026-03-27,09:15:00,23173.55,23150
2026-03-30,09:15:00,22549.65,22550
2026-04-01,09:15:00,22899.0,22900
2026-04-02,09:15:00,22383.4,22400
2026-04-06,09:15:00,22780.3,22800
2026-04-07,09:15:00,22838.7,22850
2026-04-08,09:15:00,23855.15,23850
2026-04-09,09:15:00,23909.05,23900
2026-04-10,09:15:00,23880.55,23900
2026-04-13,09:15:00,23589.6,23600
2026-04-15,09:15:00,24163.8,24150
2026-04-16,09:15:00,24385.2,24400
2026-04-17,09:15:00,24165.9,24150
2026-04-20,09:15:00,24391.5,24400
2026-04-21,09:15:00,24374.55,24350
2026-04-22,09:15:00,24470.85,24450
2026-04-23,09:15:00,24202.35,24200
2026-04-24,09:15:00,24100.55,24100
2026-04-27,09:15:00,23945.45,23950
2026-04-28,09:15:00,24049.9,24050
2026-04-29,09:15:00,24096.9,24100
2026-04-30,09:15:00,23996.95,24000
2026-05-04,09:15:00,24063.55,24050
2026-05-05,09:15:00,24052.6,24050
2026-05-06,09:15:00,24171.0,24150
2026-05-07,09:15:00,24398.5,24400
2026-05-08,09:15:00,24233.65,24250
2026-05-11,09:15:00,23970.1,23950
2026-05-12,09:15:00,23722.6,23700
2026-05-13,09:15:00,23362.45,23350
2026-05-14,09:15:00,23530.25,23550
2026-05-15,09:15:00,23731.4,23750
2026-05-18,09:15:00,23482.2,23500
2026-05-19,09:15:00,23675.3,23700
2026-05-20,09:15:00,23457.25,23450
2026-05-21,09:15:00,23830.05,23850
2026-05-22,09:15:00,23671.2,23650
2026-05-25,09:15:00,23940.25,23950
2026-05-26,09:15:00,24004.1,24000
2026-05-27,09:15:00,23880.35,23900
2026-05-29,09:15:00,23902.15,23900
2026-06-01,09:15:00,23654.5,23650
2026-06-02,09:15:00,23229.15,23250
2026-06-03,09:15:00,23415.95,23400
2026-06-04,09:15:00,23282.45,23300
2026-06-05,09:15:00,23478.95,23500
2026-06-08,09:15:00,23080.7,23100
2026-06-09,09:15:00,23259.05,23250
2026-06-10,09:15:00,23233.95,23250
2026-06-11,09:15:00,23104.4,23100
2026-06-12,09:15:00,23412.55,23400
2026-06-15,09:15:00,23984.85,24000
2026-06-16,09:15:00,23923.9,23900
2026-06-17,09:15:00,24044.5,24050
2026-06-18,09:15:00,24073.8,24050
2026-06-19,09:15:00,23991.2,24000
