month,trade_date,strike,side,entry_time,entry_price,exit_time,exit_price,pnl,exit_reason,pivot,mfe,mae,plus20_hit,plus40_hit,loss_count_after_trade,daily_pnl_after_trade,entry_ema20,entry_above_ema20,distance_from_ema20,previous_candle_touched_ema20,current_candle_touched_ema20,entry_candle_color,entry_near_ema20_5pts,entry_near_ema20_10pts,entry_near_ema20_15pts
Mar,2026-03-04,24400,PE,2026-03-04 14:40:00,253.3,2026-03-04 15:25:00,273.0,19.69999999999999,end_of_day,249.925,35.69999999999999,-3.6000000000000227,True,False,0,19.69999999999999,271.01706782783185,False,-17.71706782783184,False,False,red,False,False,False
Mar,2026-03-06,24650,PE,2026-03-06 09:30:00,215.1,2026-03-06 11:00:00,214.85,-0.25,stop,214.0,34.900000000000006,-21.400000000000006,True,False,1,-0.25,202.68883841863556,True,12.41116158136444,False,False,green,False,False,True
Mar,2026-03-06,24650,PE,2026-03-06 11:40:00,222.0,2026-03-06 14:15:00,230.3,8.300000000000011,stop,214.0,54.10000000000002,-11.25,True,True,1,8.050000000000011,220.2391811941507,True,1.7608188058493113,True,True,green,True,True,True
Mar,2026-03-09,23850,PE,2026-03-09 11:05:00,203.0,2026-03-09 11:15:00,197.7,-5.300000000000011,stop,202.425,25.80000000000001,-8.25,True,False,1,-5.300000000000011,212.7730434197314,False,-9.773043419731408,False,False,green,False,True,True
Mar,2026-03-09,23850,CE,2026-03-09 12:10:00,203.9,2026-03-09 13:10:00,225.0,21.099999999999994,stop,202.425,47.900000000000006,-11.0,True,True,1,15.799999999999983,226.82049357001938,False,-22.920493570019374,False,False,green,False,False,False
Mar,2026-03-12,23650,PE,2026-03-12 09:25:00,283.5,2026-03-12 09:50:00,269.35,-14.149999999999977,stop,282.9,29.30000000000001,-14.449999999999989,True,False,1,-14.149999999999977,220.17230273708452,True,63.32769726291548,False,False,red,False,False,False
Mar,2026-03-12,23650,PE,2026-03-12 10:20:00,283.85,2026-03-12 10:25:00,254.35,-29.50000000000003,stop,282.9,0.0,-37.10000000000002,False,False,2,-43.650000000000006,260.6821680641829,True,23.167831935817105,False,False,red,False,False,False
Mar,2026-03-12,23650,CE,2026-03-12 13:00:00,287.35,2026-03-12 13:50:00,332.4,45.049999999999955,stop,282.9,91.39999999999998,-22.850000000000023,True,True,2,1.3999999999999488,308.2646797526436,False,-20.914679752643565,False,False,red,False,False,False
Mar,2026-03-13,23450,PE,2026-03-13 11:50:00,260.3,2026-03-13 12:45:00,360.45,100.14999999999998,stop,253.25,137.7,0.0,True,True,0,100.14999999999998,264.47702179094597,False,-4.1770217909459575,False,False,green,True,True,True
Mar,2026-03-16,23100,CE,2026-03-16 10:00:00,238.3,2026-03-16 10:10:00,211.35,-26.950000000000017,stop,235.975,7.25,-33.150000000000006,False,False,1,-26.950000000000017,264.20017928186587,False,-25.90017928186586,False,False,green,False,False,False
Mar,2026-03-17,23500,PE,2026-03-17 12:00:00,124.4,2026-03-17 12:05:00,101.4,-23.0,stop,123.5,1.0499999999999972,-25.10000000000001,False,False,1,-23.0,119.56868897871026,True,4.83131102128975,True,True,green,True,True,True
Mar,2026-03-19,23200,PE,2026-03-19 09:40:00,221.65,2026-03-19 10:25:00,218.55,-3.0999999999999943,stop,216.425,38.349999999999994,-10.5,True,False,1,-3.0999999999999943,130.51122008248046,True,91.13877991751954,False,False,red,False,False,False
Mar,2026-03-19,23200,PE,2026-03-19 10:55:00,219.8,2026-03-19 12:10:00,210.85,-8.950000000000017,stop,216.425,34.19999999999999,-11.700000000000017,True,False,2,-12.050000000000011,199.93587833152034,True,19.86412166847967,False,False,green,False,False,False
Mar,2026-03-19,23200,PE,2026-03-19 12:35:00,216.85,2026-03-19 15:00:00,369.85,153.00000000000003,stop,216.425,208.15,-14.449999999999989,True,True,2,140.95000000000002,220.60161520931172,False,-3.7516152093117228,True,True,red,True,True,True
