month,trade_date,trades,wins,losses,gross_pnl,day_pnl
May,2026-04-29,1,0,0,0.0,0.0
May,2026-04-30,2,2,0,37.74999999999997,37.74999999999997
May,2026-05-04,3,0,3,-59.650000000000006,-59.650000000000006
May,2026-05-06,2,1,1,157.04999999999998,157.04999999999998
May,2026-05-07,4,1,3,-65.0,-65.0
May,2026-05-08,3,0,3,-42.45000000000002,-42.45000000000002
May,2026-05-11,1,0,1,-19.299999999999997,-19.299999999999997
May,2026-05-12,2,1,1,29.450000000000003,29.450000000000003
May,2026-05-15,4,1,3,-51.54999999999998,-51.54999999999998
May,2026-05-18,1,1,0,25.0,25.0
May,2026-05-20,1,0,1,-17.80000000000001,-17.80000000000001
May,2026-05-21,1,1,0,47.25,47.25
May,2026-05-22,1,1,0,30.900000000000006,30.900000000000006
May,2026-05-25,2,1,1,60.499999999999986,60.499999999999986
May,2026-05-27,2,0,2,-6.199999999999989,-6.199999999999989
May,2026-05-29,2,0,2,-30.94999999999999,-30.94999999999999
