month,trade_date,strike,side,entry_time,entry_price,exit_time,exit_price,pnl,exit_reason,pivot,mfe,mae,plus20_hit,plus40_hit,loss_count_after_trade,daily_pnl_after_trade,entry_ema20,entry_above_ema20,distance_from_ema20,previous_candle_touched_ema20,current_candle_touched_ema20,entry_candle_color,entry_near_ema20_5pts,entry_near_ema20_10pts,entry_near_ema20_15pts
Mar,2026-03-04,24400,PE,2026-03-04 14:40:00,253.3,2026-03-04 15:25:00,273.0,19.69999999999999,end_of_day,249.925,35.69999999999999,-3.6000000000000227,True,False,0,19.69999999999999,271.01706782783185,False,-17.71706782783184,False,False,red,False,False,False
Mar,2026-03-06,24650,PE,2026-03-06 09:30:00,215.1,2026-03-06 11:00:00,214.85,-0.25,stop,214.0,34.900000000000006,-21.400000000000006,True,False,1,-0.25,202.68883841863556,True,12.41116158136444,False,False,green,False,False,True
Mar,2026-03-06,24650,PE,2026-03-06 11:50:00,218.15,2026-03-06 14:15:00,230.3,12.150000000000006,stop,214.0,57.95000000000002,-7.400000000000006,True,True,1,11.900000000000006,219.44658596618683,False,-1.296585966186825,True,True,green,True,True,True
Mar,2026-03-09,23850,PE,2026-03-09 11:05:00,203.0,2026-03-09 11:15:00,197.7,-5.300000000000011,stop,202.425,25.80000000000001,-8.25,True,False,1,-5.300000000000011,212.7730434197314,False,-9.773043419731408,False,False,green,False,True,True
Mar,2026-03-09,23850,CE,2026-03-09 12:20:00,208.45,2026-03-09 13:10:00,225.0,16.55000000000001,stop,202.425,43.35000000000002,-15.549999999999983,True,True,1,11.25,222.74693464575282,False,-14.296934645752827,False,False,green,False,False,True
Mar,2026-03-12,23650,PE,2026-03-12 09:25:00,283.5,2026-03-12 09:50:00,269.35,-14.149999999999977,stop,282.9,29.30000000000001,-14.449999999999989,True,False,1,-14.149999999999977,220.17230273708452,True,63.32769726291548,False,False,red,False,False,False
Mar,2026-03-12,23650,PE,2026-03-12 10:20:00,283.85,2026-03-12 10:25:00,254.35,-29.50000000000003,stop,282.9,0.0,-37.10000000000002,False,False,2,-43.650000000000006,260.6821680641829,True,23.167831935817105,False,False,red,False,False,False
Mar,2026-03-13,23450,PE,2026-03-13 11:50:00,260.3,2026-03-13 12:45:00,360.45,100.14999999999998,stop,253.25,137.7,0.0,True,True,0,100.14999999999998,264.47702179094597,False,-4.1770217909459575,False,False,green,True,True,True
Mar,2026-03-19,23200,PE,2026-03-19 10:25:00,218.55,2026-03-19 10:35:00,199.0,-19.55000000000001,stop,216.425,0.3499999999999943,-21.450000000000017,False,False,1,-19.55000000000001,191.45084658787556,True,27.09915341212445,False,False,red,False,False,False
Mar,2026-03-19,23200,PE,2026-03-19 12:35:00,216.85,2026-03-19 15:00:00,369.85,153.00000000000003,stop,216.425,208.15,-14.449999999999989,True,True,1,133.45000000000002,220.60161520931172,False,-3.7516152093117228,True,True,red,True,True,True
Apr,2026-04-01,22900,PE,2026-04-01 11:20:00,352.15,2026-04-01 11:35:00,330.65,-21.5,stop,350.70000000000005,0.1500000000000341,-24.049999999999955,False,False,1,-21.5,367.09742643554614,False,-14.947426435546163,True,False,red,False,False,True
Apr,2026-04-09,23900,PE,2026-04-09 12:55:00,226.8,2026-04-09 14:00:00,252.9,26.099999999999994,stop,223.0,60.19999999999999,-6.600000000000023,True,True,0,26.099999999999994,213.39536414705876,True,13.404635852941254,False,False,green,False,False,True
Apr,2026-04-10,23900,CE,2026-04-10 09:35:00,182.5,2026-04-10 10:50:00,204.85,22.349999999999994,stop,179.95,49.5,-8.150000000000006,True,True,0,22.349999999999994,159.29437166886396,True,23.20562833113604,False,False,red,False,False,False
Apr,2026-04-10,23900,CE,2026-04-10 14:30:00,180.75,2026-04-10 15:25:00,230.5,49.75,end_of_day,179.95,73.55000000000001,-10.650000000000006,True,True,0,72.1,205.4082139690018,False,-24.658213969001793,False,False,green,False,False,False
Apr,2026-04-13,23600,CE,2026-04-13 11:05:00,159.15,2026-04-13 12:50:00,223.65,64.5,stop,149.85,89.85,-16.55000000000001,True,True,0,64.5,166.17866712197818,False,-7.028667121978174,False,False,green,False,True,True
Apr,2026-04-15,24150,CE,2026-04-15 09:25:00,263.7,2026-04-15 10:50:00,275.0,11.300000000000011,stop,263.375,42.80000000000001,-15.949999999999989,True,True,0,11.300000000000011,187.77260627236035,True,75.92739372763964,False,False,red,False,False,False
Apr,2026-04-15,24150,CE,2026-04-15 11:20:00,266.9,2026-04-15 15:05:00,265.75,-1.1499999999999773,stop,263.375,22.650000000000034,-21.049999999999983,True,False,1,10.150000000000034,266.07323833867076,True,0.8267616613292148,True,True,green,True,True,True
Apr,2026-04-15,24150,CE,2026-04-15 15:15:00,263.75,2026-04-15 15:25:00,254.45,-9.300000000000011,end_of_day,263.375,2.75,-9.300000000000011,False,False,2,0.8500000000000227,270.4459014165923,False,-6.695901416592278,False,False,red,False,True,True
Apr,2026-04-20,24400,PE,2026-04-20 09:35:00,168.0,2026-04-20 09:50:00,176.4,8.400000000000006,stop,160.8,44.150000000000006,-4.949999999999989,True,True,0,8.400000000000006,179.28141783300612,False,-11.281417833006117,False,False,green,False,False,True
Apr,2026-04-20,24400,CE,2026-04-20 11:25:00,167.15,2026-04-20 12:10:00,150.0,-17.150000000000006,stop,160.8,3.299999999999983,-22.349999999999994,False,False,1,-8.75,141.90580487959886,True,25.244195120401145,False,False,green,False,False,False
Apr,2026-04-20,24400,CE,2026-04-20 12:30:00,167.45,2026-04-20 13:00:00,148.25,-19.19999999999999,stop,160.8,12.450000000000017,-35.14999999999998,False,False,2,-27.94999999999999,155.18621498124836,True,12.263785018751634,True,False,green,False,False,True
Apr,2026-04-22,24450,PE,2026-04-22 11:05:00,254.55,2026-04-22 11:20:00,236.35,-18.200000000000017,stop,247.5,7.550000000000011,-18.350000000000023,False,False,1,-18.200000000000017,256.9665485281779,False,-2.4165485281778842,False,False,green,True,True,True
Apr,2026-04-22,24450,PE,2026-04-22 12:15:00,249.85,2026-04-22 12:55:00,233.65,-16.19999999999999,stop,247.5,9.650000000000006,-18.75,False,False,2,-34.400000000000006,247.10270312214712,True,2.7472968778528752,True,True,green,True,True,True
Apr,2026-04-22,24450,PE,2026-04-22 15:15:00,252.5,2026-04-22 15:25:00,248.3,-4.199999999999989,end_of_day,247.5,3.5,-7.199999999999989,False,False,3,-38.599999999999994,247.61480983169943,True,4.885190168300568,False,True,red,True,True,True
Apr,2026-04-23,24200,CE,2026-04-23 10:10:00,234.45,2026-04-23 10:30:00,212.0,-22.44999999999999,stop,230.5,10.5,-25.69999999999999,False,False,1,-22.44999999999999,259.8958231594162,False,-25.445823159416193,False,False,red,False,False,False
Apr,2026-04-27,23950,CE,2026-04-27 11:00:00,182.35,2026-04-27 11:05:00,157.5,-24.849999999999994,stop,180.3,3.3000000000000114,-26.94999999999999,False,False,1,-24.849999999999994,183.46600327978692,False,-1.1160032797869235,False,True,red,True,True,True
Apr,2026-04-27,23950,CE,2026-04-27 12:40:00,183.8,2026-04-27 15:25:00,209.55,25.75,end_of_day,180.3,36.849999999999994,-11.650000000000006,True,False,1,0.9000000000000057,169.0323600063507,True,14.767639993649311,False,False,red,False,False,True
May,2026-04-30,24000,CE,2026-04-30 14:20:00,194.5,2026-04-30 14:45:00,206.1,11.599999999999994,stop,194.27499999999998,46.150000000000006,-13.150000000000006,True,True,0,11.599999999999994,183.64189459487486,True,10.858105405125144,False,True,green,False,False,True
May,2026-04-30,24000,CE,2026-04-30 15:05:00,196.05,2026-04-30 15:25:00,222.2,26.149999999999977,end_of_day,194.27499999999998,28.849999999999994,-6.550000000000011,True,False,0,37.74999999999997,198.41235003485366,False,-2.362350034853648,False,True,red,True,True,True
