month,trade_date,trades,wins,losses,gross_pnl,day_pnl
May,2026-05-06,2,1,1,157.04999999999998,157.04999999999998
May,2026-05-07,1,0,1,-22.94999999999999,-22.94999999999999
May,2026-05-08,2,0,2,-26.5,-26.5
May,2026-05-11,1,0,1,-19.299999999999997,-19.299999999999997
May,2026-05-15,1,0,1,-17.19999999999999,-17.19999999999999
May,2026-05-21,1,1,0,47.25,47.25
May,2026-05-22,1,1,0,33.5,33.5
May,2026-05-25,2,1,1,60.499999999999986,60.499999999999986
May,2026-05-27,1,0,1,-5.199999999999989,-5.199999999999989
May,2026-05-29,1,0,1,-15.049999999999983,-15.049999999999983
