month,trade_date,strike,side,entry_time,entry_price,exit_time,exit_price,pnl,exit_reason,pivot,mfe,mae,plus20_hit,plus40_hit,loss_count_after_trade,daily_pnl_after_trade,entry_ema20,entry_above_ema20,distance_from_ema20,previous_candle_touched_ema20,current_candle_touched_ema20,entry_candle_color,entry_near_ema20_5pts,entry_near_ema20_10pts,entry_near_ema20_15pts
May,2026-05-06,24150,CE,2026-05-06 11:05:00,190.0,2026-05-06 12:15:00,173.5,-16.5,stop,187.0,10.900000000000006,-18.0,False,False,1,-16.5,200.0888501305592,False,-10.088850130559194,False,False,green,False,False,True
May,2026-05-06,24150,CE,2026-05-06 13:25:00,189.85,2026-05-06 15:25:00,363.4,173.54999999999998,end_of_day,187.0,195.04999999999998,-2.8499999999999943,True,True,1,157.04999999999998,176.6728660137715,True,13.177133986228483,False,False,green,False,False,True
May,2026-05-07,24400,PE,2026-05-07 13:25:00,195.2,2026-05-07 15:15:00,172.25,-22.94999999999999,stop,194.425,21.950000000000017,-27.649999999999977,True,False,1,-22.94999999999999,186.1186716813006,True,9.081328318699377,False,False,red,False,True,True
May,2026-05-08,24250,PE,2026-05-08 10:00:00,185.6,2026-05-08 10:20:00,160.25,-25.349999999999994,stop,181.975,13.200000000000017,-27.0,False,False,1,-25.349999999999994,161.87772601813788,True,23.722273981862116,False,False,green,False,False,False
May,2026-05-08,24250,PE,2026-05-08 13:45:00,185.5,2026-05-08 14:05:00,184.35,-1.1500000000000057,stop,181.975,37.849999999999994,-3.5500000000000114,True,False,2,-26.5,184.98333227882043,True,0.5166677211795729,True,True,red,True,True,True
May,2026-05-11,23950,PE,2026-05-11 10:55:00,141.6,2026-05-11 11:10:00,122.3,-19.299999999999997,stop,138.2,5.099999999999994,-24.5,False,False,1,-19.299999999999997,137.77876272776254,True,3.821237272237454,False,True,green,True,True,True
May,2026-05-15,23750,CE,2026-05-15 13:00:00,170.25,2026-05-15 13:35:00,153.05,-17.19999999999999,stop,170.225,9.949999999999989,-22.150000000000006,False,False,1,-17.19999999999999,164.77479657836503,True,5.475203421634973,False,False,red,False,True,True
May,2026-05-21,23850,PE,2026-05-21 10:15:00,216.0,2026-05-21 11:20:00,263.25,47.25,stop,215.7,108.0,-12.449999999999989,True,True,0,47.25,245.5756598231281,False,-29.575659823128092,False,False,red,False,False,False
May,2026-05-22,23650,CE,2026-05-22 14:55:00,180.05,2026-05-22 15:25:00,213.55,33.5,end_of_day,177.5,35.64999999999998,-21.25,True,False,0,33.5,205.8194758319114,False,-25.769475831911393,False,False,green,False,False,False
May,2026-05-25,23950,CE,2026-05-25 09:40:00,115.15,2026-05-25 12:25:00,98.85,-16.30000000000001,stop,111.825,16.299999999999983,-16.85000000000001,False,False,1,-16.30000000000001,90.2304111535487,True,24.919588846451305,False,False,green,False,False,False
May,2026-05-25,23950,CE,2026-05-25 14:30:00,113.2,2026-05-25 15:25:00,190.0,76.8,end_of_day,111.825,79.7,-2.200000000000003,True,True,1,60.499999999999986,102.27662517898882,True,10.92337482101118,True,False,green,False,False,True
May,2026-05-27,23900,CE,2026-05-27 15:20:00,193.2,2026-05-27 15:25:00,188.0,-5.199999999999989,end_of_day,191.5,4.550000000000011,-6.5,False,False,1,-5.199999999999989,169.47503375054282,True,23.724966249457168,False,False,green,False,False,False
May,2026-05-29,23900,CE,2026-05-29 10:55:00,162.85,2026-05-29 12:00:00,147.8,-15.049999999999983,stop,156.425,12.050000000000011,-18.44999999999999,False,False,1,-15.049999999999983,171.39070327716604,False,-8.540703277166045,False,False,green,False,True,True
