trade_date,trades,wins,losses,gross_pnl,day_pnl
2026-01-01,2,0,2,-35.05000000000001,-35.05000000000001
2026-01-07,3,0,3,-41.0,-41.0
2026-01-08,1,1,0,77.75,77.75
2026-01-14,2,1,1,5.299999999999983,5.299999999999983
2026-01-16,2,0,2,-28.799999999999997,-28.799999999999997
2026-01-21,1,0,1,-6.0,-6.0
2026-01-22,1,1,0,29.5,29.5
2026-01-23,1,1,0,55.2,55.2
2026-01-28,1,0,1,-24.19999999999999,-24.19999999999999
2026-01-29,1,0,1,-28.599999999999994,-28.599999999999994
2026-01-30,1,0,1,-16.700000000000017,-16.700000000000017
