date,strike,side,entry_time,exit_time,pnl,pivot,entry_candle_ohlc,previous_candle_ohlc,next_1_candle_ohlc,next_2_candle_ohlc,next_3_candle_ohlc,next_4_candle_ohlc,next_5_candle_ohlc
2026-03-24,22900,PE,2026-03-24 12:10:00,2026-03-24 12:20:00,-77.05,147.5,12:10 O=156.25 H=166.75 L=144.00 C=163.30,12:05 O=139.30 H=161.25 L=139.30 C=158.25,12:15 O=164.90 H=171.90 L=153.25 C=166.75,12:20 O=167.85 H=170.55 L=85.05 C=86.25,12:25 O=86.55 H=124.15 L=62.40 C=101.30,12:30 O=106.95 H=106.95 L=66.80 C=66.80,12:35 O=67.80 H=70.10 L=56.45 C=59.40
2026-03-30,22550,CE,2026-03-30 09:35:00,2026-03-30 09:45:00,-34.95,186.675,09:35 O=194.10 H=225.65 L=185.10 C=199.60,09:30 O=127.30 H=197.45 L=119.10 C=193.20,09:40 O=197.50 H=219.20 L=181.45 C=188.85,09:45 O=189.70 H=210.30 L=162.25 C=164.65,09:50 O=164.30 H=187.70 L=151.00 C=151.95,09:55 O=151.20 H=159.45 L=130.50 C=145.65,10:00 O=144.10 H=180.90 L=138.00 C=166.60
2026-03-24,22900,PE,2026-03-24 11:45:00,2026-03-24 11:55:00,-33.5,147.5,11:45 O=176.15 H=183.00 L=144.65 C=162.90,11:40 O=167.10 H=191.25 L=162.80 C=177.10,11:50 O=163.35 H=171.60 L=141.20 C=149.25,11:55 O=148.90 H=149.40 L=114.00 C=129.40,12:00 O=130.25 H=142.15 L=121.00 C=138.65,12:05 O=139.30 H=161.25 L=139.30 C=158.25,12:10 O=156.25 H=166.75 L=144.00 C=163.30
2026-03-16,23100,CE,2026-03-16 10:00:00,2026-03-16 10:10:00,-26.95,235.975,10:00 O=224.55 H=239.95 L=220.30 C=238.30,09:55 O=258.00 H=266.20 L=222.75 C=225.30,10:05 O=241.00 H=245.55 L=226.85 C=230.70,10:10 O=229.80 H=233.90 L=205.15 C=211.35,10:15 O=209.60 H=209.60 L=181.05 C=182.75,10:20 O=181.85 H=181.85 L=163.00 C=166.45,10:25 O=166.05 H=169.85 L=152.00 C=155.40
2026-03-10,24300,PE,2026-03-10 10:20:00,2026-03-10 10:30:00,-24.15,134.5,10:20 O=128.20 H=169.65 L=128.20 C=153.35,10:15 O=171.50 H=174.15 L=124.60 C=130.10,10:25 O=153.50 H=167.25 L=148.95 C=159.35,10:30 O=161.40 H=161.40 L=125.35 C=129.20,10:35 O=130.95 H=139.95 L=123.65 C=133.15,10:40 O=134.05 H=134.25 L=114.80 C=118.30,10:45 O=118.35 H=123.20 L=108.00 C=114.90
2026-03-09,23850,PE,2026-03-09 11:10:00,2026-03-09 11:25:00,-22.45,202.425,11:10 O=202.05 H=228.80 L=198.20 C=206.65,11:05 O=192.30 H=206.00 L=192.00 C=203.00,11:15 O=208.65 H=224.80 L=194.75 C=197.70,11:20 O=198.25 H=200.25 L=186.70 C=194.65,11:25 O=195.00 H=198.00 L=177.60 C=184.20,11:30 O=184.75 H=188.40 L=178.80 C=180.70,11:35 O=179.95 H=183.60 L=174.05 C=176.85
2026-03-17,23500,PE,2026-03-17 11:45:00,2026-03-17 11:50:00,-21.9,123.5,11:45 O=144.35 H=147.75 L=122.30 C=142.35,11:40 O=146.50 H=153.80 L=130.00 C=145.00,11:50 O=143.30 H=143.90 L=107.20 C=120.45,11:55 O=121.10 H=154.85 L=115.60 C=120.65,12:00 O=121.55 H=132.40 L=113.50 C=124.40,12:05 O=124.35 H=125.45 L=99.30 C=101.40,12:10 O=100.65 H=111.60 L=93.45 C=101.80
2026-03-20,23100,CE,2026-03-20 15:00:00,2026-03-20 15:25:00,-20.35,257.6,15:00 O=235.30 H=282.65 L=222.05 C=259.05,14:55 O=237.00 H=240.25 L=232.00 C=235.60,15:05 O=258.40 H=271.30 L=248.30 C=250.20,15:10 O=248.70 H=255.35 L=228.65 C=247.25,15:15 O=248.00 H=248.00 L=231.65 C=245.35,15:20 O=242.15 H=268.00 L=241.90 C=252.45,15:25 O=251.80 H=251.85 L=238.50 C=238.70
2026-03-18,23650,CE,2026-03-18 09:55:00,2026-03-18 10:05:00,-20.0,244.5,09:55 O=265.30 H=266.15 L=238.95 C=247.00,09:50 O=271.70 H=287.30 L=264.65 C=265.05,10:00 O=247.25 H=248.95 L=229.10 C=233.75,10:05 O=233.90 H=236.00 L=224.70 C=227.00,10:10 O=228.25 H=237.95 L=224.05 C=236.65,10:15 O=237.75 H=258.40 L=236.30 C=257.10,10:20 O=257.20 H=269.00 L=252.70 C=268.00
2026-03-16,23100,CE,2026-03-16 11:20:00,2026-03-16 11:35:00,-19.2,235.975,11:20 O=240.45 H=259.05 L=228.85 C=244.65,11:15 O=185.55 H=244.15 L=181.30 C=241.85,11:25 O=242.80 H=246.70 L=226.55 C=236.35,11:30 O=234.85 H=264.40 L=228.05 C=243.60,11:35 O=244.30 H=252.75 L=220.85 C=225.45,11:40 O=223.75 H=238.20 L=211.55 C=213.25,11:45 O=214.15 H=225.30 L=211.80 C=220.70
