trade_date,trades,wins,losses,gross_pnl,day_pnl
2026-04-29,1,0,0,0.0,0.0
2026-04-30,2,2,0,37.74999999999997,37.74999999999997
2026-05-04,3,0,3,-66.55000000000001,-66.55000000000001
2026-05-06,3,2,1,210.5,210.5
2026-05-07,3,0,3,-86.5,-86.5
2026-05-08,3,0,3,-42.45000000000002,-42.45000000000002
2026-05-11,1,0,1,-19.299999999999997,-19.299999999999997
2026-05-12,2,1,1,29.450000000000003,29.450000000000003
2026-05-13,1,1,0,33.10000000000002,33.10000000000002
2026-05-14,2,1,1,8.75,8.75
2026-05-15,4,1,3,-51.54999999999998,-51.54999999999998
2026-05-18,2,1,1,-7.399999999999977,-7.399999999999977
2026-05-20,1,0,1,-17.80000000000001,-17.80000000000001
2026-05-21,1,0,1,-2.3499999999999943,-2.3499999999999943
2026-05-22,1,1,0,30.900000000000006,30.900000000000006
2026-05-25,2,1,1,60.499999999999986,60.499999999999986
2026-05-27,2,0,2,-6.199999999999989,-6.199999999999989
2026-05-29,2,0,2,-30.94999999999999,-30.94999999999999
