trade_date,strike,ce_total_rows,pe_total_rows,ce_trade_date_rows,pe_trade_date_rows,ce_0915_open,pe_0915_open,pivot,ce_ema9_0915,ce_ema20_0915,pe_ema9_0915,pe_ema20_0915
01-06-2026,23650,150,150,75,75,220,50.25,135.125,181.7939933,208.9176904,102.1229388,91.16434205
02-06-2026,23250,150,150,75,75,99,52.95,75.975,182.7255586,211.0775416,29.08138349,26.9108568
03-06-2026,23400,150,150,75,75,237,103.2,170.1,265.5961682,274.1200607,132.2366756,125.0399217
04-06-2026,23300,150,150,75,75,242,158.3,200.15,292.2229104,297.6799748,118.8742768,122.7008099
05-06-2026,23500,150,150,75,75,161.05,120.2,140.625,150.2943078,143.4468613,164.0410583,175.1914083
08-06-2026,23100,150,150,75,75,196.85,80,138.425,310.3102476,327.693933,46.55873091,44.23638581
09-06-2026,23250,150,150,75,75,64.75,100.3,82.525,51.48251792,62.09944476,143.6872501,145.2450268
10-06-2026,23250,150,150,75,75,209,170.7,189.85,223.1634204,211.6327625,152.5497086,164.4518793
11-06-2026,23100,150,150,75,75,198,153,175.5,238.2191049,269.2074715,122.4592441,109.3018108
12-06-2026,23400,150,150,75,75,120,167,143.5,84.88494662,80.14508549,245.9626509,252.3377654
15-06-2026,24000,150,150,75,75,88.8,125.05,106.925,38.06180496,29.32931851,339.9474617,406.747475
16-06-2026,23900,150,150,75,75,74.2,57,65.6,78.17638182,87.23999592,81.88301609,84.2070572
17-06-2026,24050,150,150,75,75,149.5,189,169.25,132.1958676,130.7423907,198.9197716,204.262188
18-06-2026,24050,150,150,75,75,150.55,135,142.775,156.4616065,154.777557,137.6911296,147.5591049
