trade_date,trades,wins,losses,gross_pnl,day_pnl
2026-06-01,3,2,1,39.64999999999998,39.64999999999998
2026-06-02,3,0,3,-41.80000000000001,-41.80000000000001
2026-06-03,2,1,1,101.89999999999998,101.89999999999998
2026-06-04,1,1,0,31.5,31.5
2026-06-05,2,1,1,66.15,66.15
2026-06-08,2,0,2,-46.10000000000001,-46.10000000000001
2026-06-09,3,1,2,3.549999999999997,3.549999999999997
2026-06-11,3,2,1,24.950000000000017,24.950000000000017
2026-06-12,3,0,3,-29.100000000000023,-29.100000000000023
2026-06-15,2,1,1,13.500000000000014,13.500000000000014
2026-06-16,3,0,3,-40.15,-40.15
2026-06-17,3,0,3,-39.64999999999998,-39.64999999999998
2026-06-18,3,0,3,-41.10000000000002,-41.10000000000002
