analysis,bucket,trades,total_pnl
entry_above_ema20,True,12,107.04999999999995
entry_above_ema20,False,23,47.79999999999998
entry_candle_color,green,20,103.99999999999997
entry_candle_color,red,15,50.849999999999966
previous_candle_touched_ema20,True,5,106.39999999999999
previous_candle_touched_ema20,False,30,48.4499999999999
current_candle_touched_ema20,True,3,66.64999999999999
current_candle_touched_ema20,False,32,88.19999999999992
near_ema20_bucket,within 5 pts,5,28.30000000000001
near_ema20_bucket,within 10 pts,5,109.74999999999997
near_ema20_bucket,within 15 pts,3,-27.299999999999976
near_ema20_bucket,beyond 15 pts,22,44.09999999999992
