trade_date,trades,wins,losses,gross_pnl,day_pnl
2026-06-01,3,2,0,73.69999999999999,73.69999999999999
2026-06-02,1,0,1,-26.85000000000001,-26.85000000000001
2026-06-03,2,1,1,91.09999999999997,91.09999999999997
2026-06-04,1,1,0,47.14999999999998,47.14999999999998
2026-06-05,2,1,0,78.1,78.1
2026-06-08,2,0,1,-2.200000000000017,-2.200000000000017
2026-06-09,3,1,2,16.75,16.75
2026-06-11,3,2,1,26.900000000000006,26.900000000000006
2026-06-12,4,0,3,-21.850000000000023,-21.850000000000023
2026-06-15,2,1,1,15.799999999999997,15.799999999999997
2026-06-16,4,0,3,-38.4,-38.4
2026-06-17,3,0,3,-32.19999999999996,-32.19999999999996
2026-06-18,2,0,1,-21.450000000000017,-21.450000000000017
