month,trade_date,trades,wins,losses,gross_pnl,day_pnl
Apr,2026-04-01,3,1,2,8.400000000000034,8.400000000000034
Apr,2026-04-02,2,1,1,107.30000000000001,107.30000000000001
Apr,2026-04-06,3,0,3,-32.85000000000002,-32.85000000000002
Apr,2026-04-07,3,0,3,-47.599999999999994,-47.599999999999994
Apr,2026-04-08,2,2,0,58.89999999999998,58.89999999999998
Apr,2026-04-09,2,1,1,10.899999999999977,10.899999999999977
Apr,2026-04-10,3,2,1,49.39999999999998,49.39999999999998
Apr,2026-04-13,1,1,0,67.85,67.85
Apr,2026-04-15,3,1,2,0.8500000000000227,0.8500000000000227
Apr,2026-04-16,1,1,0,34.05000000000001,34.05000000000001
Apr,2026-04-20,4,1,3,-44.44999999999999,-44.44999999999999
Apr,2026-04-22,4,1,3,-27.900000000000006,-27.900000000000006
Apr,2026-04-23,1,0,1,-22.44999999999999,-22.44999999999999
Apr,2026-04-27,3,0,3,-71.14999999999998,-71.14999999999998
