month,trade_date,strike,side,entry_time,entry_price,exit_time,exit_price,pnl,exit_reason,pivot,mfe,mae,plus20_hit,plus40_hit,loss_count_after_trade,daily_pnl_after_trade,entry_ema20,entry_above_ema20,distance_from_ema20,previous_candle_touched_ema20,current_candle_touched_ema20,entry_candle_color,entry_near_ema20_5pts,entry_near_ema20_10pts,entry_near_ema20_15pts
Apr,2026-04-01,22900,PE,2026-04-01 11:10:00,359.6,2026-04-01 11:30:00,338.25,-21.350000000000023,stop,350.70000000000005,9.399999999999977,-29.150000000000034,False,False,1,-21.350000000000023,369.7940860334511,False,-10.194086033451072,True,False,red,False,False,True
Apr,2026-04-01,22900,PE,2026-04-01 11:50:00,365.5,2026-04-01 11:55:00,349.85,-15.649999999999977,stop,350.70000000000005,1.4499999999999886,-19.69999999999999,False,False,2,-37.0,358.1985242575323,True,7.301475742467687,True,True,green,False,True,True
Apr,2026-04-01,22900,PE,2026-04-01 14:10:00,354.15,2026-04-01 14:50:00,413.0,58.85000000000002,stop,350.70000000000005,89.65000000000003,-2.5499999999999545,True,True,2,21.850000000000023,346.94515254216844,True,7.204847457831534,False,False,red,False,True,True
Apr,2026-04-02,22400,CE,2026-04-02 12:40:00,280.0,2026-04-02 12:50:00,253.95,-26.05000000000001,stop,270.0,4.050000000000011,-27.099999999999994,False,False,1,-26.05000000000001,239.51402089658694,True,40.48597910341306,False,False,green,False,False,False
Apr,2026-04-02,22400,CE,2026-04-02 13:05:00,288.5,2026-04-02 14:35:00,421.85,133.35000000000002,stop,270.0,185.8,-15.899999999999977,True,True,1,107.30000000000001,254.90152734421062,True,33.59847265578938,False,False,red,False,False,False
Apr,2026-04-06,22800,PE,2026-04-06 11:55:00,264.0,2026-04-06 12:20:00,248.95,-15.050000000000011,stop,245.8,17.0,-40.25,False,False,1,-15.050000000000011,295.06889990247055,False,-31.068899902470548,False,False,red,False,False,False
Apr,2026-04-06,22800,CE,2026-04-06 13:30:00,253.85,2026-04-06 13:35:00,238.15,-15.699999999999989,stop,245.8,9.650000000000006,-15.699999999999989,False,False,2,-30.75,194.31760200522132,True,59.53239799477868,False,False,green,False,False,False
Apr,2026-04-06,22800,CE,2026-04-06 14:00:00,252.55,2026-04-06 14:25:00,250.45,-2.1000000000000227,stop,245.8,23.55000000000001,-15.850000000000023,True,False,3,-32.85000000000002,214.7956359754571,True,37.75436402454292,False,False,green,False,False,False
Apr,2026-04-07,22850,PE,2026-04-07 09:40:00,133.7,2026-04-07 09:45:00,118.2,-15.499999999999986,stop,123.65,0.0,-34.89999999999999,False,False,1,-15.499999999999986,138.56025104004138,False,-4.8602510400413905,False,True,green,True,True,True
Apr,2026-04-07,22850,CE,2026-04-07 10:10:00,135.0,2026-04-07 10:30:00,119.35,-15.650000000000006,stop,123.65,30.0,-15.650000000000006,True,True,2,-31.14999999999999,146.19690749885882,False,-11.19690749885882,False,False,green,False,False,True
