month,trade_date,trades,wins,losses,gross_pnl,day_pnl
Mar,2026-03-04,1,1,0,19.69999999999999,19.69999999999999
Mar,2026-03-06,2,1,1,9.150000000000006,9.150000000000006
Mar,2026-03-09,3,1,2,-11.350000000000023,-11.350000000000023
Mar,2026-03-10,2,0,2,-35.8,-35.8
Mar,2026-03-12,3,1,2,29.700000000000045,29.700000000000045
Mar,2026-03-13,1,1,0,102.69999999999999,102.69999999999999
Mar,2026-03-16,2,0,2,-46.150000000000034,-46.150000000000034
Mar,2026-03-17,2,1,1,-5.700000000000003,-5.700000000000003
Mar,2026-03-18,1,0,1,-20.0,-20.0
Mar,2026-03-19,3,1,2,-32.19999999999999,-32.19999999999999
Mar,2026-03-20,1,0,1,-20.350000000000023,-20.350000000000023
Mar,2026-03-24,3,1,2,-76.75,-76.75
Mar,2026-03-30,1,0,1,-34.94999999999999,-34.94999999999999
