month,trade_date,trades,wins,losses,gross_pnl,day_pnl
May,2026-04-29,1,0,0,0.0,0.0
May,2026-04-30,2,2,0,37.74999999999997,37.74999999999997
May,2026-05-04,3,0,3,-66.55000000000001,-66.55000000000001
May,2026-05-06,3,2,1,186.45000000000005,186.45000000000005
May,2026-05-07,3,0,3,-86.5,-86.5
May,2026-05-08,3,0,3,-42.45000000000002,-42.45000000000002
May,2026-05-11,1,0,1,-19.299999999999997,-19.299999999999997
May,2026-05-12,2,1,1,35.39999999999999,35.39999999999999
May,2026-05-13,1,1,0,33.10000000000002,33.10000000000002
May,2026-05-14,2,1,1,8.75,8.75
May,2026-05-15,4,2,2,-32.39999999999998,-32.39999999999998
May,2026-05-18,2,1,1,-7.399999999999977,-7.399999999999977
May,2026-05-20,1,0,1,-17.80000000000001,-17.80000000000001
May,2026-05-21,1,0,1,-2.3499999999999943,-2.3499999999999943
May,2026-05-22,1,1,0,30.900000000000006,30.900000000000006
May,2026-05-25,2,1,1,60.499999999999986,60.499999999999986
May,2026-05-27,2,1,1,2.0,2.0
May,2026-05-29,2,0,2,-30.94999999999999,-30.94999999999999
