trade_date,strike,side,entry_time,entry_price,exit_time,exit_price,pnl,exit_reason,pivot,mfe,mae,plus20_hit,plus40_hit,loss_count_after_trade,daily_pnl_after_trade,Remarks
01-06-2026,23650,PE,01-06-2026 10:00,149.45,01-06-2026 10:05,132.95,-16.5,stop,135.125,0.6,-17.75,FALSE,FALSE,1,-16.5,
01-06-2026,23650,PE,01-06-2026 10:10,143.3,01-06-2026 10:45,128.9,-14.4,stop,135.125,21.7,-19.2,TRUE,FALSE,2,-30.9,
01-06-2026,23650,PE,01-06-2026 11:30,140.5,01-06-2026 12:10,157.45,16.95,stop,135.125,46.65,-16.1,TRUE,TRUE,2,-13.95,
01-06-2026,23650,PE,01-06-2026 12:45,149.05,01-06-2026 13:25,185.4,36.35,stop,135.125,65.3,-2.1,TRUE,TRUE,2,22.4,"12:45 is red candle, how did you enter the trade."
03-06-2026,23400,CE,03-06-2026 12:45,176.9,03-06-2026 12:50,159.5,-17.4,stop,170.1,6.85,-19.55,FALSE,FALSE,1,-17.4,"12:45 is red candle, how did you enter the trade."
03-06-2026,23400,CE,03-06-2026 13:00,170.55,03-06-2026 15:05,237.8,67.25,stop,170.1,129.4,-9.45,TRUE,TRUE,1,49.85,
04-06-2026,23300,CE,04-06-2026 09:35,213.8,04-06-2026 10:30,248,34.2,stop,200.15,77.6,-10.5,TRUE,TRUE,0,34.2,"9:35 is red candle, how did you enter the trade."
04-06-2026,23300,CE,04-06-2026 13:20,208.7,04-06-2026 14:50,241.05,32.35,stop,200.15,77.8,-9.9,TRUE,TRUE,0,66.55,Too early exit. We can move SL to 20 EMA here.
05-06-2026,23500,CE,05-06-2026 09:20,155.7,05-06-2026 10:25,152.6,-3.1,stop,140.625,29.3,-14.9,TRUE,FALSE,1,-3.1,9:20 entry is red candle.
05-06-2026,23500,CE,05-06-2026 11:00,145.15,05-06-2026 11:15,135.75,-9.4,stop,140.625,25.15,-14.2,TRUE,FALSE,2,-12.5,11:00 Trade moved to 20 points. But still booked loss. 11:10 PE there was a beautiful opprotunity with 100+ points but missed the trade.
05-06-2026,23500,PE,05-06-2026 12:10,153.15,05-06-2026 13:55,227.35,74.2,stop,140.625,118.95,-8.05,TRUE,TRUE,2,61.7,12:00 entry is on red candle. Don't know why. This entry should have been at 12:25 green candle.
08-06-2026,23100,CE,08-06-2026 09:20,153.9,08-06-2026 09:45,152.15,-1.75,stop,138.425,31.5,-3.6,TRUE,FALSE,1,-1.75,Trade moved 30 points in 10 mins. Still booked loss.
08-06-2026,23100,CE,08-06-2026 13:40,157.9,08-06-2026 14:10,140.3,-17.6,stop,138.425,6.65,-18.4,FALSE,FALSE,2,-19.35,13:40 entry is on the red candle
08-06-2026,23100,CE,08-06-2026 14:15,146.85,08-06-2026 15:00,110.95,-35.9,stop,138.425,17.9,-41.65,FALSE,FALSE,3,-55.25,Could have been an early exit on 14:25. There was a chance at 14:30 moved to 20 points.
09-06-2026,23250,PE,09-06-2026 10:40,100.75,09-06-2026 11:35,110.65,9.9,stop,82.525,47.55,-2.9,TRUE,TRUE,0,9.9,9:55 there was an opportunity. We missed it. Entered very late on the red candle at 10:40. Still it moved 30 points.
10-06-2026,23250,CE,10-06-2026 14:10,208.8,10-06-2026 14:35,189.95,-18.85,stop,189.85,10.2,-22.8,FALSE,FALSE,1,-18.85,
10-06-2026,23250,PE,10-06-2026 15:10,191,10-06-2026 15:25,187.7,-3.3,end_of_day,189.85,3,-14.75,FALSE,FALSE,2,-22.15,Entry on the red candle. At 13:30 there was a 3 or 5 cross from 20 EMA. It rallied 60 points. We entered this trade very late at 15:10
11-06-2026,23100,CE,11-06-2026 09:20,177.4,11-06-2026 09:55,168.75,-8.65,stop,175.5,25.1,-15.2,TRUE,FALSE,1,-8.65,
11-06-2026,23100,CE,11-06-2026 10:05,189.35,11-06-2026 12:45,272.1,82.75,stop,175.5,118.55,-6.35,TRUE,TRUE,1,74.1,
11-06-2026,23100,CE,11-06-2026 14:50,190.6,11-06-2026 15:25,208.8,18.2,end_of_day,175.5,18.7,-20.25,FALSE,FALSE,1,92.3,14:50 entry on the red candle. At 15:05 there was bounce from orange line gave 20 points.
12-06-2026,23400,CE,12-06-2026 09:20,154,12-06-2026 09:40,130.8,-23.2,stop,143.5,4.95,-27.05,FALSE,FALSE,1,-23.2,9:20 entry is red candle. Actual entry should be at 9:30 but it also hit SL in next candle
12-06-2026,23400,PE,12-06-2026 09:45,144.3,12-06-2026 11:10,143.75,-0.55,stop,143.5,26.55,-1.2,TRUE,FALSE,2,-23.75,9:45 entry is red candle. Entry should be at9:40. it rallied 20 points. Still booked minor loss.
12-06-2026,23400,PE,12-06-2026 11:15,154.3,12-06-2026 13:25,123.8,-30.5,stop,143.5,28.95,-50.6,TRUE,FALSE,3,-54.25,Exit could have been at 11:45 on the red candle. There was an opporutnity again at 11:55 rallied 30 points almost but we booked heavy loss
15-06-2026,24000,PE,15-06-2026 09:40,124.5,15-06-2026 10:30,122.6,-1.9,stop,106.925,23,-4.9,TRUE,FALSE,1,-1.9,9:40 entry is on red candle. Explain this trade please
15-06-2026,24000,PE,15-06-2026 10:35,123.1,15-06-2026 10:50,107.35,-15.75,stop,106.925,1.2,-21.7,FALSE,FALSE,2,-17.65,explain this trade. Why did you take it
15-06-2026,24000,PE,15-06-2026 11:00,113.55,15-06-2026 13:05,132.55,19,stop,106.925,51.45,-5.4,TRUE,TRUE,2,1.35,Trade moved to 158 but we exited at 132.55
15-06-2026,24000,PE,15-06-2026 14:30,119.7,15-06-2026 15:15,156.6,36.9,stop,106.925,80.2,-10.1,TRUE,TRUE,2,38.25,14:30 entry on red candle. Entry should be at 14:35. Trade touched 199 but still exited at 156
17-06-2026,24050,PE,17-06-2026 09:25,185.95,17-06-2026 09:35,169.8,-16.15,stop,169.25,1.7,-16.55,FALSE,FALSE,1,-16.15,9:25 entry on red candle. Not sure why. Explain this. This is a very long rejected 20 EMA candle. We took entry here. We should have taken entry on CE 20 EMA cross green candle. 
17-06-2026,24050,CE,17-06-2026 09:45,170.65,17-06-2026 11:55,154.55,-16.1,stop,169.25,11.3,-16.2,FALSE,FALSE,2,-32.25,
17-06-2026,24050,PE,17-06-2026 12:20,170.8,17-06-2026 13:35,154.75,-16.05,stop,169.25,12.95,-19.3,FALSE,FALSE,3,-48.3,Exit was very late. Could have been an early exit
18-06-2026,24050,CE,18-06-2026 09:20,150.15,18-06-2026 10:35,132.75,-17.4,stop,142.775,25.25,-17.4,TRUE,FALSE,1,-17.4,there was beautiful chance at 9:35 we totally missed it. It moved to 25 points
18-06-2026,24050,PE,18-06-2026 11:15,143.7,18-06-2026 11:55,124.35,-19.35,stop,142.775,8.9,-20.25,FALSE,FALSE,2,-36.75,This trade already rallied from 100 points before. We entered on the break out at orange line. Could have been an early exit in next candle. It closed below orange line. We waited too long and booked loss
18-06-2026,24050,CE,18-06-2026 12:25,158.7,18-06-2026 14:05,139.85,-18.85,stop,142.775,7.9,-20.7,FALSE,FALSE,3,-55.6,Right down the below orangle line. It cross 20 EMA at 12:00. We could have entered here. We entered already on the rally took bad hit.
