trade_date,trades,wins,losses,gross_pnl,day_pnl
2026-06-01,4,2,2,22.399999999999977,22.399999999999977
2026-06-02,4,2,2,35.849999999999994,35.849999999999994
2026-06-03,2,1,1,49.849999999999994,49.849999999999994
2026-06-04,2,2,0,66.55000000000001,66.55000000000001
2026-06-05,3,1,2,61.69999999999999,61.69999999999999
2026-06-08,3,0,3,-55.249999999999986,-55.249999999999986
2026-06-09,3,1,2,-20.150000000000006,-20.150000000000006
2026-06-10,2,0,2,-22.150000000000034,-22.150000000000034
2026-06-11,3,2,1,92.30000000000004,92.30000000000004
2026-06-12,3,0,3,-54.250000000000014,-54.250000000000014
2026-06-15,4,2,2,38.25,38.25
2026-06-16,3,0,3,-40.15,-40.15
2026-06-17,3,0,3,-48.29999999999998,-48.29999999999998
2026-06-18,3,0,3,-55.599999999999994,-55.599999999999994
