trade_date,daily_pnl,trades,losses,first_trade_result,first_trade_pnl,first_trade_time,ce_trades,pe_trades,both_ce_pe_traded,max_intraday_drawdown,skipped_anti_chase_count
2026-01-01,-35.05,2,2,loss,-17.85,09:35,2,0,False,-17.2,1
2026-01-07,-41.0,3,3,loss,-18.75,09:35,3,0,False,-22.25,1
2026-01-08,77.75,1,0,win,77.75,10:15,0,1,False,0.0,0
2026-01-14,5.3,2,1,loss,-0.1,14:40,2,0,False,0.0,0
2026-01-16,-28.8,2,2,loss,-17.0,13:30,2,0,False,-11.8,2
2026-01-21,-6.0,1,1,loss,-6.0,14:55,1,0,False,0.0,6
2026-01-22,29.5,1,0,win,29.5,10:40,0,1,False,0.0,2
2026-01-23,55.2,1,0,win,55.2,10:35,0,1,False,0.0,4
2026-01-28,-24.2,1,1,loss,-24.2,12:25,1,0,False,0.0,4
2026-01-29,-28.6,1,1,loss,-28.6,12:25,0,1,False,0.0,1
2026-01-30,-16.7,1,1,loss,-16.7,11:10,0,1,False,0.0,2
2026-02-01,-16.75,1,1,loss,-16.75,10:05,0,1,False,0.0,4
2026-02-02,-15.35,1,1,loss,-15.35,12:25,1,0,False,0.0,7
2026-02-04,-32.65,2,2,loss,-17.15,10:35,2,0,False,-15.5,1
2026-02-05,0.0,1,0,flat,0.0,10:25,0,1,False,0.0,3
2026-02-06,-48.5,3,3,loss,-1.75,09:50,1,2,True,-46.75,1
2026-02-11,-23.4,3,3,loss,-18.75,09:55,0,3,False,-4.65,1
2026-02-12,-26.8,3,2,loss,-18.05,09:25,0,3,False,-15.75,0
2026-02-13,-22.5,2,2,loss,-15.55,09:40,2,0,False,-6.95,0
2026-02-16,55.0,1,0,win,55.0,09:45,1,0,False,0.0,0
2026-02-18,-18.05,1,1,loss,-18.05,11:15,0,1,False,0.0,0
2026-02-23,-26.0,3,3,loss,-20.1,10:55,0,3,False,-5.9,2
2026-02-25,-27.2,1,1,loss,-27.2,12:35,1,0,False,0.0,0
2026-02-26,-43.7,2,2,loss,-26.6,09:45,2,0,False,-17.1,0
