date,symbol,side,entry_time,entry_price,entry_candle_high,entry_candle_low,entry_candle_range,reason
2026-01-01,NIFTY_2026-01-01_26150CE,CE,2026-01-01 09:25:00,118.6,118.65,97.55,21.10000000000001,entry_candle_range_gt_15
2026-01-07,NIFTY_2026-01-07_26150CE,CE,2026-01-07 10:50:00,126.75,128.35,109.55,18.8,entry_candle_range_gt_15
2026-01-09,NIFTY_2026-01-09_25850CE,CE,2026-01-09 09:30:00,111.7,133.85,100.4,33.44999999999999,entry_candle_range_gt_15
2026-01-12,NIFTY_2026-01-12_25650PE,PE,2026-01-12 09:50:00,103.1,114.1,95.15,18.94999999999999,entry_candle_range_gt_15
2026-01-16,NIFTY_2026-01-16_25700CE,CE,2026-01-16 13:20:00,118.0,131.4,113.55,17.85000000000001,entry_candle_range_gt_15
2026-01-16,NIFTY_2026-01-16_25700CE,CE,2026-01-16 13:25:00,120.05,120.85,102.0,18.849999999999994,entry_candle_range_gt_15
2026-01-19,NIFTY_2026-01-19_25650PE,PE,2026-01-19 15:15:00,116.45,116.45,100.6,15.850000000000009,entry_candle_range_gt_15
2026-01-21,NIFTY_2026-01-21_25150CE,CE,2026-01-21 12:10:00,179.8,179.8,162.5,17.30000000000001,entry_candle_range_gt_15
2026-01-21,NIFTY_2026-01-21_25150CE,CE,2026-01-21 12:25:00,174.4,204.0,164.2,39.80000000000001,entry_candle_range_gt_15
2026-01-21,NIFTY_2026-01-21_25150CE,CE,2026-01-21 14:10:00,170.6,180.6,164.7,15.900000000000006,entry_candle_range_gt_15
2026-01-21,NIFTY_2026-01-21_25150CE,CE,2026-01-21 14:20:00,172.95,195.9,166.25,29.65000000000001,entry_candle_range_gt_15
2026-01-21,NIFTY_2026-01-21_25150CE,CE,2026-01-21 14:30:00,184.0,185.75,155.4,30.349999999999994,entry_candle_range_gt_15
2026-01-21,NIFTY_2026-01-21_25150CE,CE,2026-01-21 14:40:00,170.9,182.7,162.65,20.049999999999983,entry_candle_range_gt_15
2026-01-22,NIFTY_2026-01-22_25350CE,CE,2026-01-22 10:20:00,150.9,157.4,140.15,17.25,entry_candle_range_gt_15
2026-01-22,NIFTY_2026-01-22_25350PE,PE,2026-01-22 15:00:00,149.7,155.65,127.15,28.5,entry_candle_range_gt_15
2026-01-23,NIFTY_2026-01-23_25350CE,CE,2026-01-23 09:25:00,127.95,129.55,108.25,21.30000000000001,entry_candle_range_gt_15
2026-01-23,NIFTY_2026-01-23_25350PE,PE,2026-01-23 09:30:00,124.05,127.3,108.75,18.55,entry_candle_range_gt_15
2026-01-23,NIFTY_2026-01-23_25350PE,PE,2026-01-23 10:05:00,133.0,135.0,114.05,20.950000000000003,entry_candle_range_gt_15
2026-01-23,NIFTY_2026-01-23_25350PE,PE,2026-01-23 10:30:00,115.65,127.3,105.5,21.8,entry_candle_range_gt_15
2026-01-27,NIFTY_2026-01-27_25050PE,PE,2026-01-27 10:55:00,114.4,115.0,94.7,20.3,entry_candle_range_gt_15
2026-01-27,NIFTY_2026-01-27_25050CE,CE,2026-01-27 11:55:00,110.05,118.1,94.15,23.94999999999999,entry_candle_range_gt_15
2026-01-27,NIFTY_2026-01-27_25050CE,CE,2026-01-27 12:00:00,118.0,133.5,100.75,32.75,entry_candle_range_gt_15
2026-01-27,NIFTY_2026-01-27_25050CE,CE,2026-01-27 12:20:00,124.0,131.75,100.0,31.75,entry_candle_range_gt_15
2026-01-27,NIFTY_2026-01-27_25050CE,CE,2026-01-27 13:25:00,112.8,115.85,85.65,30.19999999999999,entry_candle_range_gt_15
2026-01-27,NIFTY_2026-01-27_25050CE,CE,2026-01-27 14:50:00,116.9,123.15,82.95,40.2,entry_candle_range_gt_15
2026-01-27,NIFTY_2026-01-27_25050CE,CE,2026-01-27 14:55:00,114.65,140.9,87.65,53.25,entry_candle_range_gt_15
2026-01-27,NIFTY_2026-01-27_25050CE,CE,2026-01-27 15:10:00,119.6,133.2,100.45,32.749999999999986,entry_candle_range_gt_15
2026-01-28,NIFTY_2026-01-28_25250CE,CE,2026-01-28 10:05:00,251.85,276.0,244.8,31.19999999999999,entry_candle_range_gt_15
2026-01-28,NIFTY_2026-01-28_25250CE,CE,2026-01-28 10:10:00,250.9,257.6,242.35,15.250000000000028,entry_candle_range_gt_15
2026-01-28,NIFTY_2026-01-28_25250CE,CE,2026-01-28 10:15:00,252.55,255.5,238.0,17.5,entry_candle_range_gt_15
