month,trade_date,trades,stop_loss_exits,retest_entries,avg_mfe,avg_mae,total_daily_pnl
Apr,2026-04-01,3,3,3,33.5,-17.13,8.4
Apr,2026-04-02,2,2,2,94.93,-21.5,107.3
Apr,2026-04-06,3,3,3,16.73,-23.93,-32.85
Apr,2026-04-07,3,3,3,15.22,-24.23,-47.6
Apr,2026-04-08,2,2,2,59.35,-7.8,58.9
Apr,2026-04-09,2,2,2,39.95,-16.25,10.9
Apr,2026-04-10,3,2,3,43.8,-12.03,49.4
Apr,2026-04-13,1,1,1,93.2,-13.2,67.85
Apr,2026-04-15,3,2,3,22.73,-15.43,0.85
Apr,2026-04-16,1,1,1,58.7,-0.95,34.05
Apr,2026-04-20,4,4,4,15.8,-20.26,-44.45
Apr,2026-04-22,4,4,4,18.66,-13.33,-27.9
Apr,2026-04-23,1,1,1,10.5,-25.7,-22.45
Apr,2026-04-27,3,3,3,5.48,-27.18,-71.15
Jun,2026-06-01,2,2,2,36.27,-12.95,6.75
Jun,2026-06-03,1,1,1,129.4,-9.45,67.25
Jun,2026-06-04,1,1,1,77.8,-9.9,32.35
Jun,2026-06-05,2,2,2,106.93,-13.98,118.95
Jun,2026-06-08,1,1,1,17.9,-41.65,-35.9
Jun,2026-06-10,1,1,1,8.0,-23.7,-23.05
Jun,2026-06-11,2,1,2,26.75,-12.88,19.25
Jun,2026-06-12,2,2,2,14.97,-36.45,-48.95
Jun,2026-06-15,1,1,1,57.65,-2.6,25.2
Jun,2026-06-17,3,3,3,9.35,-21.82,-62.1
Jun,2026-06-18,2,1,2,42.92,-14.45,41.6
Mar,2026-03-04,1,0,1,35.7,-3.6,19.7
Mar,2026-03-06,2,2,2,44.5,-16.33,8.05
Mar,2026-03-09,3,3,3,32.32,-18.57,-11.35
Mar,2026-03-10,2,2,2,25.45,-19.82,-35.8
Mar,2026-03-12,3,3,3,42.92,-20.82,14.75
Mar,2026-03-13,1,1,1,140.25,-16.35,102.7
Mar,2026-03-16,2,2,2,13.5,-28.48,-46.15
Mar,2026-03-17,2,2,2,24.47,-19.98,-5.7
Mar,2026-03-18,1,1,1,1.95,-22.3,-20.0
Mar,2026-03-19,3,3,3,27.25,-13.3,-29.0
Mar,2026-03-20,1,1,1,12.25,-30.4,-20.35
Mar,2026-03-24,3,3,3,31.83,-45.62,-76.75
Mar,2026-03-30,1,1,1,19.6,-37.35,-34.95
May,2026-04-29,1,0,1,0.0,0.0,0.0
May,2026-04-30,2,1,2,37.5,-9.85,37.75
May,2026-05-04,3,3,3,4.22,-30.37,-66.55
May,2026-05-06,3,2,3,98.93,-8.97,210.5
May,2026-05-07,3,3,3,9.8,-29.58,-86.5
May,2026-05-08,3,3,3,25.48,-16.55,-42.45
May,2026-05-11,1,1,1,5.1,-24.5,-19.3
May,2026-05-12,2,2,2,44.62,-17.5,29.45
May,2026-05-13,1,1,1,67.75,-10.2,33.1
May,2026-05-14,2,2,2,36.5,-4.1,8.75
May,2026-05-15,4,4,4,25.05,-16.15,-51.55
May,2026-05-18,2,2,2,30.17,-16.22,-7.4
May,2026-05-20,1,1,1,0.0,-22.05,-17.8
May,2026-05-21,1,1,1,26.65,-19.3,-2.35
May,2026-05-22,1,0,1,33.05,-23.85,30.9
May,2026-05-25,2,1,2,48.0,-9.53,60.5
May,2026-05-27,2,1,2,17.78,-8.45,-6.2
May,2026-05-29,2,2,2,22.83,-22.5,-30.95
