trade_date,trades,wins,losses,gross_pnl,day_pnl
2026-06-01,2,1,1,6.749999999999972,6.749999999999972
2026-06-03,1,1,0,67.25,67.25
2026-06-04,1,1,0,32.35000000000002,32.35000000000002
2026-06-05,2,2,0,118.94999999999999,118.94999999999999
2026-06-08,1,0,1,-35.89999999999999,-35.89999999999999
2026-06-10,1,0,1,-23.05000000000001,-23.05000000000001
2026-06-11,2,1,1,19.25000000000003,19.25000000000003
2026-06-12,2,0,2,-48.95,-48.95
2026-06-15,1,1,0,25.200000000000017,25.200000000000017
2026-06-17,3,0,3,-62.099999999999994,-62.099999999999994
2026-06-18,2,1,1,41.599999999999994,41.599999999999994
